Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";11,834;Q1;143;3;24;0;774;24;35,40;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;19700174932;"Epigenetics and Chromatin";journal;"17568935";9,161;Q1;52;21;3;954;21;3;7,00;45,43;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009-2020";"Genetics (Q1); Molecular Biology (Q1)"
3;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";8,676;Q1;100;0;31;0;750;31;27,94;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
4;4000151808;"PLoS Genetics";journal;"15537390, 15537404";8,111;Q1;233;470;1051;27218;10019;1031;9,01;57,91;United States;Northern America;"Public Library of Science";"2005-2020";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
5;12977;"PLoS Biology";journal;"15449173, 15457885";7,847;Q1;271;287;848;12708;8868;814;9,50;44,28;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
6;4700152228;"Molecular Systems Biology";journal;"17444292";6,588;Q1;148;114;258;5309;2795;251;9,30;46,57;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
7;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";6,552;Q1;91;7;21;1952;256;21;13,69;278,86;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
8;6000195395;"Nuclear receptor signaling";journal;"15507629";5,618;Q1;33;5;34;685;288;34;9,86;137,00;United States;Northern America;"Nuclear Receptor Signaling Atlas";"2007-2016, 2018";"Medicine (miscellaneous) (Q1)"
9;6400153126;"Theoretical Economics";journal;"15557561";5,556;Q1;32;15;40;493;65;40;1,00;32,87;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1)"
10;24769;"Materials Today";journal;"13697021";5,442;Q1;177;80;231;3357;1676;145;4,54;41,96;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
11;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";5,409;Q1;208;271;638;4065;5642;397;9,69;15,00;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
12;14204;"Nucleic Acids Research";journal;"03051048, 13624962";5,381;Q1;537;760;3667;33069;27918;3659;7,66;43,51;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
13;21100199809;"Probability Surveys";journal;"15495787";5,121;Q1;43;6;18;219;70;18;3,00;36,50;United States;Northern America;"Institute of Mathematical Statistics";"2004-2020";"Statistics and Probability (Q1)"
14;40944;"Genome Biology";journal;"14747596";5,095;Q1;248;210;881;8527;5894;850;6,22;40,60;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
