Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";15,781;Q1;143;2;18;0;588;18;33,13;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";10,699;Q1;100;44;17;0;464;17;10,00;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";10,695;Q1;91;8;23;2774;428;23;18,92;346,75;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
4;12977;"PLoS Biology";journal;"15449173, 15457885";8,744;Q1;271;264;844;11095;8335;814;9,10;42,03;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
5;4700152228;"Molecular Systems Biology";journal;"17444292";7,621;Q1;148;104;290;5296;2813;283;8,50;50,92;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
6;4000151808;"PLoS Genetics";journal;"15537390, 15537404";7,415;Q1;233;564;1298;32116;12076;1280;8,95;56,94;United States;Northern America;"Public Library of Science";"2005-2020";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
7;40944;"Genome Biology";journal;"14747596";6,213;Q1;248;206;734;8834;5523;693;7,98;42,88;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
8;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";6,101;Q1;57;6;12;1758;135;12;12,30;293,00;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
9;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";6,099;Q1;208;326;742;4574;7014;621;10,00;14,03;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
10;6000195395;"Nuclear receptor signaling";journal;"15507629";6,067;Q1;33;1;27;0;288;27;10,29;0,00;United States;Northern America;"Nuclear Receptor Signaling Atlas";"2007-2016, 2018";"Medicine (miscellaneous) (Q1)"
