Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";11,199;Q1;143;10;44;437;1436;44;38,23;43,70;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";8,374;Q1;91;10;24;3132;354;24;14,82;313,20;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
3;12977;"PLoS Biology";journal;"15449173, 15457885";6,663;Q1;271;301;770;12914;8207;739;9,88;42,90;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
4;24135;"Bulletin of the American Museum of Natural History";book series;"00030090";6,549;Q1;57;9;20;2032;277;20;16,92;225,78;United States;Northern America;"American Museum of Natural History Library";"1996-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1)"
5;4700152228;"Molecular Systems Biology";journal;"17444292";6,006;Q1;148;75;184;3304;1584;167;9,01;44,05;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
6;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";5,615;Q1;100;16;37;0;652;37;19,39;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
7;24769;"Materials Today";journal;"13697021";5,266;Q1;177;82;248;2905;1556;164;8,02;35,43;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
8;4000151808;"PLoS Genetics";journal;"15537390, 15537404";5,063;Q1;233;352;497;19041;4400;483;8,58;54,09;United States;Northern America;"Public Library of Science";"2005-2020";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
9;145144;"Journal of Biology";journal;"14754924, 14785854";4,921;Q1;54;40;41;1144;288;40;7,48;28,60;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2010";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
10;14204;"Nucleic Acids Research";journal;"03051048, 13624962";4,912;Q1;537;1069;3415;41452;24386;3402;7,16;38,78;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
11;18391;"Aging Cell";journal;"14749726, 14749718";4,807;Q1;140;91;194;4836;1345;180;7,20;53,14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
12;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,375;Q1;513;3801;13290;180882;78175;13289;5,69;47,59;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
13;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";4,209;Q1;187;199;558;10181;5555;549;9,24;51,16;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"2002-2020";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
14;17495;"NeuroImage";journal;"10959572, 10538119";4,196;Q1;364;746;2035;39596;13407;2000;5,89;53,08;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
15;4000151810;"PLoS Computational Biology";journal;"15537358, 1553734X";4,045;Q1;182;287;459;14801;2719;431;5,87;51,57;United States;Northern America;"Public Library of Science";"2005-2020";"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)"
16;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,785;Q1;191;119;310;6595;1939;309;5,15;55,42;United States;Northern America;"Wiley-Liss Inc.";"1993-2020";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
17;4000151809;"PLoS Pathogens";journal;"15537374, 15537366";3,771;Q1;206;286;333;15769;2907;307;8,68;55,14;United States;Northern America;"Public Library of Science";"2005-2020";"Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
18;40944;"Genome Biology";journal;"14747596";3,763;Q1;248;301;923;13951;4610;879;5,44;46,35;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
19;144840;"PLoS Medicine";journal;"15491277, 15491676";3,658;Q1;228;236;1109;8508;5623;807;5,24;36,05;United States;Northern America;"Public Library of Science";"2004-2020";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
20;5800173370;"Cell Division";journal;"17471028";3,617;Q1;46;14;58;1069;192;45;3,31;76,36;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
21;12091;"Atmospheric Chemistry and Physics";journal;"16807324, 16807316";3,511;Q1;206;486;941;24578;4375;941;4,38;50,57;Germany;Western Europe;"European Geosciences Union";"2001-2020";"Atmospheric Science (Q1)"
22;7000153261;"Neural Development";journal;"17498104";3,508;Q1;51;35;31;1843;106;31;3,42;52,66;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Developmental Neuroscience (Q1)"
23;13096;"BMC Biology";journal;"17417007";3,362;Q1;106;54;123;2958;641;122;4,98;54,78;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
24;20228;"Emerging Infectious Diseases";journal;"10806040, 10806059";3,231;Q1;226;505;1452;8390;7281;1050;4,95;16,61;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1995-2020";"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)"
25;12862;"Optics Express";journal;"10944087";3,204;Q1;271;2331;4748;52532;21894;4740;4,41;22,54;United States;Northern America;"The Optical Society";"1997-2020";"Atomic and Molecular Physics, and Optics (Q1)"
26;21100199809;"Probability Surveys";journal;"15495787";3,129;Q1;43;8;30;461;80;30;2,82;57,63;United States;Northern America;"Institute of Mathematical Statistics";"2004-2020";"Statistics and Probability (Q1)"
27;5800173376;"Biology Direct";journal;"17456150";3,118;Q1;68;54;78;2677;287;74;3,68;49,57;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Immunology (Q1); Modeling and Simulation (Q1)"
28;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";2,980;Q1;208;180;728;1480;3572;467;5,63;8,22;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
29;29086;"Nuclear Physics B";journal;"05503213";2,917;Q1;274;342;1229;16429;5242;1228;4,18;48,04;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
