Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";40,949;Q1;143;10;9;1292;492;9;50,00;129,20;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";19,961;Q1;100;32;48;499;2235;48;57,77;15,59;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;6200180159;"World Psychiatry";journal;"17238617";15,510;Q1;93;100;283;3547;3026;62;9,57;35,47;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
4;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";11,551;Q1;91;4;20;1722;1261;20;73,77;430,50;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
5;21100972445;"Nature Reviews Physics";journal;"25225820";10,120;Q1;29;115;105;6032;1953;55;18,60;52,45;United Kingdom;Western Europe;"Springer Nature Switzerland AG";"2019-2020";"Physics and Astronomy (miscellaneous) (Q1)"
6;40944;"Genome Biology";journal;"14747596";9,027;Q1;248;296;741;19556;9017;699;11,71;66,07;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
7;14204;"Nucleic Acids Research";journal;"03051048, 13624962";9,008;Q1;537;1119;3970;64745;60949;3963;16,48;57,86;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
8;4700152228;"Molecular Systems Biology";journal;"17444292";8,523;Q1;148;87;178;6092;1889;156;10,39;70,02;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
9;24769;"Materials Today";journal;"13697021";8,071;Q1;177;156;319;17229;5938;218;25,64;110,44;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
10;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";7,992;Q1;208;397;1045;2928;9890;686;11,00;7,38;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
11;21100265444;"Lancet Global Health,The";journal;"2214109X";7,970;Q1;88;332;972;4999;6192;299;6,17;15,06;United Kingdom;Western Europe;"Elsevier BV";"2013-2020";"Medicine (miscellaneous) (Q1)"
12;21100201772;"Physical Review X";journal;"21603308";7,940;Q1;164;283;734;19632;17835;729;25,51;69,37;United States;Northern America;"American Physical Society";"2011-2020";"Physics and Astronomy (miscellaneous) (Q1)"
13;12137;"Journal of Statistical Software";journal;"15487660";7,636;Q1;145;71;208;3610;3031;208;6,49;50,85;United States;Northern America;"University of California at Los Angeles";"1996-2020";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
14;12429;"Molecular Cancer";journal;"14764598";7,274;Q1;126;166;511;13682;12320;478;25,55;82,42;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2020";"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
15;21100804406;"Lancet Public Health, The";journal;"24682667";7,226;Q1;45;172;433;2668;2651;134;5,33;15,51;United Kingdom;Western Europe;"Elsevier Ltd.";"2016-2020";"Public Health, Environmental and Occupational Health (Q1)"
16;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";6,861;Q1;57;5;14;1288;449;14;26,92;257,60;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
17;21100201068;"Cell Reports";journal;"22111247";6,264;Q1;154;1312;3619;84499;34014;3619;8,69;64,40;United States;Northern America;"Cell Press";"1970, 2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
18;17269;"Studies in Mycology";journal;"01660616";6,180;Q1;95;15;49;2353;774;49;16,03;156,87;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
19;21100278313;"Light: Science and Applications";journal;"20477538";6,104;Q1;96;193;348;9846;6314;312;18,49;51,02;United Kingdom;Western Europe;"Nature Publishing Group";"2012-2020";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
20;21100797856;"Journal of Extracellular Vesicles";journal;"20013078";5,940;Q1;68;120;161;7755;3212;151;21,22;64,63;Sweden;Western Europe;"Taylor and Francis Ltd.";"2012-2020";"Cell Biology (Q1); Histology (Q1)"
21;21100457028;"Science advances";journal;"23752548";5,928;Q1;146;2130;2892;107854;46429;2868;14,39;50,64;United States;Northern America;"American Association for the Advancement of Science";"2015-2020";"Multidisciplinary (Q1)"
22;21100242814;"eLife";journal;"2050084X";5,879;Q1;139;2054;4466;141957;34170;4331;7,45;69,11;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
23;5700191214;"Molecular Neurodegeneration";journal;"17501326";5,565;Q1;83;64;206;6059;2523;206;12,52;94,67;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
24;19700175140;"Genome Medicine";journal;"1756994X";5,564;Q1;89;109;304;7264;2818;255;7,94;66,64;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009-2020";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
