Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";10,230;Q1;143;15;64;315;1316;64;25,68;21,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;145144;"Journal of Biology";journal;"14754924, 14785854";9,020;Q1;54;20;33;510;269;30;8,15;25,50;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2010";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
3;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";8,054;Q1;100;11;25;0;461;25;19,45;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
4;12977;"PLoS Biology";journal;"15449173, 15457885";6,047;Q1;271;351;86;9791;499;81;5,80;27,89;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
5;14204;"Nucleic Acids Research";journal;"03051048, 13624962";4,912;Q1;537;1162;2585;35886;18620;2576;7,44;30,88;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
6;25846;"GSA Today";journal;"10525173";4,883;Q1;76;21;35;425;199;35;5,95;20,24;United States;Northern America;"Geological Society of America";"1991-2020";"Geology (Q1)"
7;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,376;Q1;513;6588;19447;308580;129209;19443;6,46;46,84;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
8;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";4,279;Q1;91;10;22;1396;194;22;4,67;139,60;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
9;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";3,863;Q1;208;382;784;1845;3848;716;5,12;4,83;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
10;29086;"Nuclear Physics B";journal;"05503213";3,833;Q1;274;468;1801;21961;9616;1801;5,89;46,93;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
11;21337;"Health Research Policy and Systems";journal;"14784505";3,805;Q1;49;8;2;299;15;2;7,50;37,38;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
12;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";3,580;Q1;187;101;154;4957;1593;152;10,34;49,08;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"2002-2020";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
13;17495;"NeuroImage";journal;"10959572, 10538119";3,481;Q1;364;534;1124;26356;6779;1112;5,29;49,36;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
14;145507;"Cybermetrics";journal;"11375019";3,400;Q1;15;2;4;67;14;4;1,00;33,50;Spain;Western Europe;"Centro de Informacion y Documentacion Cientifica";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)"
15;18391;"Aging Cell";journal;"14749726, 14749718";3,309;Q1;140;61;55;2526;268;53;4,87;41,41;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
16;17929;"BMC Bioinformatics";journal;"14712105";3,304;Q1;208;208;114;5723;697;114;6,04;27,51;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Structural Biology (Q1)"
17;17426;"DNA Research";journal;"17561663, 13402838";3,123;Q1;98;38;88;1221;533;88;4,96;32,13;United Kingdom;Western Europe;"Oxford University Press";"1994-2020";"Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
18;24660;"Bulletin of the American Mathematical Society";journal;"02730979, 10889485";3,107;Q1;66;16;36;863;125;35;3,37;53,94;United States;Northern America;"American Mathematical Society";"1891-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
19;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,022;Q1;191;75;190;3752;1193;188;5,50;50,03;United States;Northern America;"Wiley-Liss Inc.";"1993-2020";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
20;145164;"Human Genomics";journal;"14739542, 14797364";2,980;Q1;55;36;7;587;11;7;1,57;16,31;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2006, 2008-2020";"Drug Discovery (Q1); Genetics (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
21;29482;"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics";journal;"03702693";2,906;Q1;283;1029;3454;37485;14978;3454;4,75;36,43;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
22;12862;"Optics Express";journal;"10944087";2,819;Q1;271;787;832;13407;3568;824;4,36;17,04;United States;Northern America;"The Optical Society";"1997-2020";"Atomic and Molecular Physics, and Optics (Q1)"
23;20228;"Emerging Infectious Diseases";journal;"10806040, 10806059";2,683;Q1;226;501;926;8917;5188;794;5,51;17,80;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1995-2020";"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)"
24;17466;"Neurobiology of Disease";journal;"1095953X, 09699961";2,612;Q1;166;187;308;9914;1549;307;4,61;53,02;United States;Northern America;"Academic Press Inc.";"1994-2020";"Neurology (Q1)"
25;28520;"Journal of High Energy Physics";journal;"10298479";2,526;Q1;261;886;2152;39703;7907;2152;4,03;44,81;Germany;Western Europe;"Springer Verlag";"1997-2020";"Nuclear and High Energy Physics (Q1)"
26;18473;"Cell Structure and Function";journal;"13473700, 03867196";2,354;Q1;61;12;136;393;413;131;2,89;32,75;Japan;Asiatic Region;"Japan Society for Cell Biology";"1975-2020";"Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1)"
27;14238;"College and Research Libraries";journal;"00100870, 21506701";2,348;Q1;52;19;102;539;185;97;1,44;28,37;United States;Northern America;"Association of College and Research Libraries";"1946-1947, 1987-2020";"Library and Information Sciences (Q1)"
28;12091;"Atmospheric Chemistry and Physics";journal;"16807324, 16807316";2,324;Q1;206;171;199;8186;623;198;3,09;47,87;Germany;Western Europe;"European Geosciences Union";"2001-2020";"Atmospheric Science (Q1)"
29;27545;"European Physical Journal C";journal;"14346052, 14346044";2,316;Q1;198;654;802;19271;2761;801;3,64;29,47;Germany;Western Europe;"Springer New York";"1998-2020";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
30;24674;"Oikos";journal;"16000706, 00301299";2,294;Q1;179;262;749;13933;2188;729;2,79;53,18;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
31;21724;"BMC Evolutionary Biology";journal;"14712148";2,282;Q1;122;52;59;2446;195;59;2,91;47,04;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
32;21727;"BMC Genomics";journal;"14712164";2,218;Q1;167;101;98;3678;340;98;3,27;36,42;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Biotechnology (Q1); Genetics (Q1)"
33;32805;"Tellus, Series B: Chemical and Physical Meteorology";journal;"02806509";2,157;Q1;103;41;178;1604;493;178;2,07;39,12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Atmospheric Science (Q1)"
34;12495;"Neoplasia";journal;"14765586, 15228002";2,141;Q1;129;90;184;4012;856;182;4,58;44,58;United States;Northern America;"Neoplasia Press";"1999-2020";"Cancer Research (Q1)"
35;20276;"Ecography";journal;"16000587, 09067590";1,991;Q1;128;78;228;4254;667;228;2,85;54,54;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
36;13945;"Investigative Ophthalmology and Visual Science";journal;"01460404, 15525783";1,950;Q1;218;597;1691;25177;6712;1686;3,76;42,17;United States;Northern America;"Association for Research in Vision and Ophthalmology Inc.";"1976-2020";"Cellular and Molecular Neuroscience (Q1); Ophthalmology (Q1); Sensory Systems (Q1)"
37;13114;"BMC Developmental Biology";journal;"1471213X";1,945;Q1;76;16;35;710;105;35;2,80;44,38;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Developmental Biology (Q1)"
38;23358;"BMC Neuroscience";journal;"14712202";1,843;Q1;98;58;75;2397;260;75;3,52;41,33;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Neuroscience (miscellaneous) (Q1); Cellular and Molecular Neuroscience (Q2)"
39;70792;"Tellus, Series A: Dynamic Meteorology and Oceanography";journal;"16000870, 02806495";1,799;Q1;77;43;110;1407;225;110;1,85;32,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Oceanography (Q1); Atmospheric Science (Q2)"
40;21003;"Environmental Health Perspectives";journal;"15529924, 00916765";1,782;Q1;282;629;1821;13028;4377;993;2,29;20,71;United States;Northern America;"Public Health Services, US Dept of Health and Human Services";"1972-2020";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
41;19961;"Molecular Medicine";journal;"10761551, 15283658";1,765;Q1;118;16;208;731;782;207;3,74;45,69;United States;Northern America;"Feinstein Institute for Medical Research";"1994-2020";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1); Molecular Biology (Q2)"
42;14182;"NeuroSignals";journal;"14248638, 1424862X";1,726;Q1;67;29;99;2200;352;94;3,72;75,86;Switzerland;Western Europe;"Cell Physiol Biochem Press (Germany)";"1992-2019";"Developmental Neuroscience (Q1); Neurology (Q1); Cellular and Molecular Neuroscience (Q2)"
43;25981;"Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program";journal;"15204383, 15204391";1,707;Q1;91;27;81;2212;449;80;5,43;81,93;United States;Northern America;"American Society of Hematology";"2001-2019";"Hematology (Q1)"
44;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";1,691;Q1;230;113;87;3815;640;86;5,85;33,76;United States;Northern America;"Microtome Publishing";"2001-2020";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)"
45;18387;"Medicine (United States)";journal;"00257974, 15365964";1,673;Q1;148;30;112;2706;707;112;5,78;90,20;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1922-2020";"Medicine (miscellaneous) (Q1)"
46;17398;"Current Issues in Molecular Biology";journal;"14673037, 14673045";1,660;Q1;53;14;37;1758;131;37;3,79;125,57;United Kingdom;Western Europe;"Caister Academic Press";"1999-2021";"Medicine (miscellaneous) (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Molecular Biology (Q2)"
47;13116;"BMC Molecular Biology";journal;"14712199";1,605;Q2;73;21;42;797;113;42;3,07;37,95;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2019";"Molecular Biology (Q2)"
48;22172;"Genetical Research";journal;"00166723, 14695073";1,603;Q1;71;38;146;1247;406;146;2,01;32,82;United Kingdom;Western Europe;"Cambridge University Press";"1960-2020";"Medicine (miscellaneous) (Q1); Genetics (Q2)"
49;18640;"Respiratory Research";journal;"1465993X, 14659921";1,582;Q1;104;29;106;1495;475;104;2,84;51,55;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Pulmonary and Respiratory Medicine (Q1)"
50;21675;"Journal of Endovascular Therapy";journal;"15451550, 15266028";1,551;Q1;100;132;448;3563;1294;411;2,60;26,99;United States;Northern America;"SAGE Publications Inc.";"2000-2020";"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
51;23648;"Health Technology Assessment";journal;"20464924, 13665278";1,532;Q1;126;55;115;7829;453;115;3,33;142,35;United Kingdom;Western Europe;"National Co-ordinating Centre for HTA";"1994-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
52;25180;"Electrochemistry Communications";journal;"13882481";1,519;Q1;192;233;543;5163;1631;541;3,07;22,16;United States;Northern America;"Elsevier Inc.";"1999-2020";"Electrochemistry (Q1)"
53;27592;"Arthritis Research and Therapy";journal;"14786354";1,514;Q1;150;106;262;2218;1041;250;3,91;20,92;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
54;14551;"Diversity and Distributions";journal;"13669516, 14724642";1,487;Q1;118;53;87;2676;205;87;2,44;50,49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
55;110607;"Annals of Glaciology";journal;"02603055";1,476;Q1;82;150;404;3549;602;404;1,59;23,66;United Kingdom;Western Europe;"Cambridge University Press";"1980-1981, 1983-1986, 1988-2020";"Earth-Surface Processes (Q1)"
56;17392;"Soils and Foundations";journal;"00380806";1,474;Q1;79;65;193;1459;109;191;0,55;22,45;Japan;Asiatic Region;"Japanese Geotechnical Society";"1960-1972, 1975-2020";"Civil and Structural Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
57;12156;"Journal of Biomedical Optics";journal;"15602281, 10833668";1,463;Q1;141;163;219;4613;854;215;3,70;28,30;United States;Northern America;"SPIE";"1996-2020";"Atomic and Molecular Physics, and Optics (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
58;14026;"Human Resources for Health";journal;"14784491";1,453;Q1;60;17;12;713;28;12;2,33;41,94;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Public Administration (Q1); Public Health, Environmental and Occupational Health (Q1)"
59;14193;"Education Policy Analysis Archives";journal;"10682341";1,452;Q1;46;72;153;2883;140;153;1,05;40,04;United States;Northern America;"Arizona State University";"1996-2020";"Education (Q1)"
60;16833;"BMC Biochemistry";journal;"14712091";1,445;Q1;51;19;67;665;136;67;2,02;35,00;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2019";"Biochemistry (Q1); Molecular Biology (Q2)"
61;25884;"Geofluids";journal;"14688115, 14688123";1,442;Q1;56;22;60;1322;105;60;1,80;60,09;United Kingdom;Western Europe;"Hindawi Limited";"2001-2020";"Earth and Planetary Sciences (miscellaneous) (Q1)"
62;18410;"BMC Cell Biology";journal;"14712121";1,437;Q2;68;51;72;2114;202;72;2,55;41,45;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2018";"Cell Biology (Q2)"
63;18610;"Molecular Imaging";journal;"15353508, 15360121";1,420;Q1;60;27;45;774;172;44;3,82;28,67;United States;Northern America;"SAGE Publications Inc.";"2002-2020";"Biomedical Engineering (Q1); Biotechnology (Q1); Condensed Matter Physics (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Molecular Medicine (Q2)"
64;27424;"Annales Geophysicae";journal;"14320576, 09927689";1,388;Q1;93;356;526;12052;960;521;1,44;33,85;Germany;Western Europe;"European Geosciences Union";"1983-1985, 1988-1990, 1994-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Geology (Q1); Astronomy and Astrophysics (Q2); Atmospheric Science (Q2); Space and Planetary Science (Q2)"
65;40944;"Genome Biology";journal;"14747596";1,372;Q1;248;380;1687;2648;3261;1582;2,19;6,97;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Cell Biology (Q2); Genetics (Q2)"
66;13517;"Ultrasonics Sonochemistry";journal;"13504177, 18732828";1,367;Q1;128;74;170;1668;421;169;2,24;22,54;Netherlands;Western Europe;"Elsevier";"1994-2021";"Acoustics and Ultrasonics (Q1); Chemical Engineering (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
67;25441;"Cardiovascular Diabetology";journal;"14752840";1,354;Q1;75;10;24;445;74;24;3,08;44,50;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2020";"Cardiology and Cardiovascular Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
68;20912;"Environmental International";journal;"18736750, 01604120";1,348;Q1;191;139;334;6425;775;318;2,56;46,22;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Environmental Science (miscellaneous) (Q1)"
69;26398;"Electronic Journal of Probability";journal;"10836489";1,347;Q2;53;29;74;594;70;74;0,91;20,48;United States;Northern America;"Institute of Mathematical Statistics";"1996-2020";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)"
70;22452;"International Journal of Neuropsychopharmacology";journal;"14611457, 14695111";1,338;Q1;107;70;155;2716;475;138;2,95;38,80;United Kingdom;Western Europe;"Oxford University Press";"1998-2020";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
71;17905;"Yeast";journal;"10970061, 0749503X";1,338;Q1;102;103;362;4355;741;361;1,93;42,28;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1985-2020";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1); Biochemistry (Q2); Genetics (Q2)"
72;12429;"Molecular Cancer";journal;"14764598";1,326;Q1;126;36;51;1717;153;46;3,00;47,69;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2020";"Oncology (Q1); Cancer Research (Q2); Molecular Medicine (Q2)"
73;14921;"Comprehensive Psychiatry";journal;"0010440X, 15328384";1,323;Q1;106;67;209;2713;546;209;2,24;40,49;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1960-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
74;13444;"Journal of the Meteorological Society of Japan";journal;"21869057, 00261165";1,313;Q2;82;119;251;3328;341;251;1,29;27,97;Japan;Asiatic Region;"Meteorological Society of Japan";"1905-1907, 1910-1918, 1920-1922, 1966-1967, 1974, 1976-1978, 1980-1981, 1983, 1986-2020";"Atmospheric Science (Q2)"
75;13971;"Library and Information Science Research";journal;"07408188";1,301;Q1;57;29;76;1005;98;67;0,96;34,66;United Kingdom;Western Europe;"Elsevier BV";"1987-2020";"Information Systems (Q1); Library and Information Sciences (Q1)"
76;29424;"Acta Psychologica";journal;"18736297, 00016918";1,299;Q1;97;49;149;2229;289;147;1,58;45,49;Netherlands;Western Europe;"Elsevier";"1936-1937, 1939, 1941, 1949-1951, 1953-2020";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q2)"
77;24419;"Journal of Glaciology";journal;"00221430";1,287;Q1;100;80;171;2360;292;171;1,39;29,50;United Kingdom;Western Europe;"Cambridge University Press";"1979-1985, 1988-2020";"Earth-Surface Processes (Q1)"
78;21729;"BMC Medical Genetics";journal;"14712350";1,279;Q2;68;29;34;924;117;34;3,27;31,86;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Genetics (Q2); Genetics (clinical) (Q2)"
79;18486;"Cellular Physiology and Biochemistry";journal;"14219778, 10158987";1,276;Q2;87;46;122;1782;393;122;3,15;38,74;Switzerland;Western Europe;"Cell Physiol Biochem Press (Germany)";"1987, 1991-2020";"Physiology (Q2)"
80;14174;"Molecular Vision";journal;"10900535";1,269;Q1;92;123;193;4774;577;193;3,13;38,81;United States;Northern America;"Molecular Vision";"1995-2020";"Ophthalmology (Q1)"
81;13119;"BMC Structural Biology";journal;"14726807";1,254;Q2;55;10;23;338;65;23;3,00;33,80;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2019";"Structural Biology (Q2)"
82;12788;"Cost Effectiveness and Resource Allocation";journal;"14787547";1,248;Q1;38;4;8;130;22;8;2,75;32,50;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Health Policy (Q1)"
83;12344;"Scandinavian Journal of Work, Environment and Health";journal;"03553140, 1795990X";1,243;Q1;103;73;188;2451;457;157;2,18;33,58;Finland;Western Europe;"Finnish Institute of Occupational Health";"1975-2020";"Public Health, Environmental and Occupational Health (Q1)"
