Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";11,642;Q1;143;18;55;109;1263;55;18,09;6,06;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";10,221;Q1;100;9;33;0;709;33;15,96;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;145144;"Journal of Biology";journal;"14754924, 14785854";7,792;Q1;54;10;53;293;416;48;7,43;29,30;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2010";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
4;12977;"PLoS Biology";journal;"15449173, 15457885";7,087;Q1;271;241;437;10170;2868;417;6,56;42,20;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
5;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";5,446;Q1;91;13;25;2898;255;25;12,12;222,92;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
6;14204;"Nucleic Acids Research";journal;"03051048, 13624962";5,092;Q1;537;1176;3051;42163;24034;3041;8,06;35,85;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
7;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,178;Q1;513;5052;19579;237492;123216;19577;6,10;47,01;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
8;18391;"Aging Cell";journal;"14749726, 14749718";4,068;Q1;140;40;116;1615;699;102;5,35;40,38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
9;12788;"Cost Effectiveness and Resource Allocation";journal;"14787547";3,801;Q1;38;11;12;356;52;12;4,33;32,36;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Health Policy (Q1)"
10;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";3,794;Q1;187;173;255;7716;3008;249;10,22;44,60;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"2002-2020";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
11;17495;"NeuroImage";journal;"10959572, 10538119";3,780;Q1;364;575;1380;28402;9074;1368;5,60;49,39;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
12;25846;"GSA Today";journal;"10525173";3,733;Q1;76;22;43;566;202;41;3,84;25,73;United States;Northern America;"Geological Society of America";"1991-2020";"Geology (Q1)"
13;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";3,637;Q1;208;324;965;1729;4347;825;4,22;5,34;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
14;12862;"Optics Express";journal;"10944087";3,313;Q1;271;1233;1433;23327;7973;1424;5,64;18,92;United States;Northern America;"The Optical Society";"1997-2020";"Atomic and Molecular Physics, and Optics (Q1)"
15;29086;"Nuclear Physics B";journal;"05503213";3,195;Q1;274;517;1580;26174;8392;1580;5,66;50,63;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
16;13114;"BMC Developmental Biology";journal;"1471213X";3,162;Q1;76;28;36;1128;140;36;3,52;40,29;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Developmental Biology (Q1)"
17;29482;"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics";journal;"03702693";2,980;Q1;283;953;3150;31115;14958;3149;5,44;32,65;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
18;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,884;Q1;191;97;212;4933;1270;208;4,58;50,86;United States;Northern America;"Wiley-Liss Inc.";"1993-2020";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
19;21724;"BMC Evolutionary Biology";journal;"14712148";2,821;Q1;122;73;97;3865;422;97;4,39;52,95;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
20;20228;"Emerging Infectious Diseases";journal;"10806040, 10806059";2,816;Q1;226;468;1166;8415;6057;976;4,80;17,98;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1995-2020";"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)"
21;23648;"Health Technology Assessment";journal;"20464924, 13665278";2,795;Q1;126;52;134;8430;643;131;5,28;162,12;United Kingdom;Western Europe;"National Co-ordinating Centre for HTA";"1994-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
22;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";2,789;Q1;230;73;188;2447;1423;187;7,57;33,52;United States;Northern America;"Microtome Publishing";"2001-2020";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)"
23;13096;"BMC Biology";journal;"17417007";2,640;Q1;106;27;28;1461;113;28;4,04;54,11;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q2)"
24;17929;"BMC Bioinformatics";journal;"14712105";2,635;Q1;208;372;313;11218;1833;311;5,32;30,16;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Structural Biology (Q2)"
25;17426;"DNA Research";journal;"17561663, 13402838";2,592;Q1;98;36;95;1288;501;95;4,18;35,78;United Kingdom;Western Europe;"Oxford University Press";"1994-2020";"Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
26;24674;"Oikos";journal;"16000706, 00301299";2,503;Q1;179;259;782;13684;2747;757;3,22;52,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
27;24660;"Bulletin of the American Mathematical Society";journal;"02730979, 10889485";2,500;Q1;66;15;43;913;171;40;2,21;60,87;United States;Northern America;"American Mathematical Society";"1891-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
28;18473;"Cell Structure and Function";journal;"13473700, 03867196";2,423;Q1;61;17;88;468;339;85;3,32;27,53;Japan;Asiatic Region;"Japan Society for Cell Biology";"1975-2020";"Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1)"
29;16153;"International Journal of Methods in Psychiatric Research";journal;"10498931, 15570657";2,404;Q1;73;21;62;754;217;60;3,77;35,90;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Psychiatry and Mental Health (Q1)"
30;17466;"Neurobiology of Disease";journal;"1095953X, 09699961";2,398;Q1;166;210;399;11074;2085;398;4,65;52,73;United States;Northern America;"Academic Press Inc.";"1994-2020";"Neurology (Q1)"
31;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";2,387;Q1;57;13;2;3225;13;2;6,50;248,08;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
32;26801;"Computational Linguistics";journal;"08912017, 15309312";2,378;Q1;98;18;58;762;368;57;6,46;42,33;United States;Northern America;"MIT Press Journals";"1985, 1996-2020";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
33;28520;"Journal of High Energy Physics";journal;"10298479";2,358;Q1;261;859;2429;40358;9338;2429;4,02;46,98;Germany;Western Europe;"Springer Verlag";"1997-2020";"Nuclear and High Energy Physics (Q1)"
34;12091;"Atmospheric Chemistry and Physics";journal;"16807324, 16807316";2,293;Q1;206;239;363;10591;1323;362;3,70;44,31;Germany;Western Europe;"European Geosciences Union";"2001-2020";"Atmospheric Science (Q1)"
35;21727;"BMC Genomics";journal;"14712164";2,287;Q1;167;185;189;7835;773;189;4,17;42,35;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Biotechnology (Q1); Genetics (Q1)"
36;25981;"Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program";journal;"15204383, 15204391";2,285;Q1;91;81;78;245;591;78;7,64;3,02;United States;Northern America;"American Society of Hematology";"2001-2019";"Hematology (Q1)"
37;20276;"Ecography";journal;"16000587, 09067590";2,162;Q1;128;75;232;4393;748;232;2,76;58,57;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
38;37473;"Gold Bulletin";journal;"00171557";2,150;Q1;59;16;43;481;198;43;4,72;30,06;Germany;Western Europe;"Springer Berlin";"1971-2020";"Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1)"
39;18410;"BMC Cell Biology";journal;"14712121";2,145;Q1;68;47;98;2049;265;98;2,53;43,60;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2018";"Cell Biology (Q1)"
40;21003;"Environmental Health Perspectives";journal;"15529924, 00916765";2,135;Q1;282;610;1884;14025;5461;956;2,74;22,99;United States;Northern America;"Public Health Services, US Dept of Health and Human Services";"1972-2020";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
41;24330;"Journal of Artificial Intelligence Research";journal;"10769757";2,134;Q1;123;39;105;1723;564;105;4,72;44,18;United States;Northern America;"Morgan Kaufmann Publishers, Inc.";"1993, 1996-2020";"Artificial Intelligence (Q1)"
