Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2009);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";12,719;Q1;143;5;36;0;1420;36;33,68;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";9,430;Q1;91;6;21;1519;326;21;10,07;253,17;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
3;12977;"PLoS Biology";journal;"15449173, 15457885";7,722;Q1;271;256;830;12541;8817;796;9,89;48,99;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
4;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";7,389;Q1;100;1;44;0;929;44;18,93;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
5;24769;"Materials Today";journal;"13697021";7,211;Q1;177;77;228;3257;1768;144;7,37;42,30;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
6;4700152228;"Molecular Systems Biology";journal;"17444292";6,966;Q1;148;101;227;4691;2535;221;10,74;46,45;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
7;24135;"Bulletin of the American Museum of Natural History";book series;"00030090";6,676;Q1;57;13;22;2225;311;22;3,80;171,15;United States;Northern America;"American Museum of Natural History Library";"1996-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1)"
8;4000151808;"PLoS Genetics";journal;"15537390, 15537404";5,762;Q1;233;476;774;25766;6745;751;8,23;54,13;United States;Northern America;"Public Library of Science";"2005-2020";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
9;14204;"Nucleic Acids Research";journal;"03051048, 13624962";5,669;Q1;537;1454;3308;60068;26745;3299;8,09;41,31;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
10;18391;"Aging Cell";journal;"14749726, 14749718";4,985;Q1;140;77;245;3652;1749;233;7,37;47,43;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
11;6400153126;"Theoretical Economics";journal;"15557561";4,744;Q1;32;8;32;196;63;32;1,97;24,50;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1)"
12;40944;"Genome Biology";journal;"14747596";4,378;Q1;248;223;902;9577;5663;865;6,21;42,95;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
13;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,235;Q1;513;3725;12039;176206;69340;12035;5,57;47,30;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
14;144840;"PLoS Medicine";journal;"15491277, 15491676";4,142;Q1;228;199;1023;7268;7021;799;7,84;36,52;United States;Northern America;"Public Library of Science";"2004-2020";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
15;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";4,092;Q1;187;224;584;11879;5440;574;8,89;53,03;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"2002-2020";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
16;5800173370;"Cell Division";journal;"17471028";4,067;Q1;46;19;72;1551;259;58;3,60;81,63;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
17;17495;"NeuroImage";journal;"10959572, 10538119";3,954;Q1;364;736;2206;39581;14871;2164;6,08;53,78;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
18;4000151809;"PLoS Pathogens";journal;"15537374, 15537366";3,912;Q1;206;459;579;25486;5017;550;8,01;55,53;United States;Northern America;"Public Library of Science";"2005-2020";"Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
19;12091;"Atmospheric Chemistry and Physics";journal;"16807324, 16807316";3,781;Q1;206;606;1188;33591;6764;1188;5,17;55,43;Germany;Western Europe;"European Geosciences Union";"2001-2020";"Atmospheric Science (Q1)"
20;6000195395;"Nuclear receptor signaling";journal;"15507629";3,541;Q1;33;12;22;1433;180;22;8,18;119,42;United States;Northern America;"Nuclear Receptor Signaling Atlas";"2007-2016, 2018";"Medicine (miscellaneous) (Q1)"
21;13096;"BMC Biology";journal;"17417007";3,515;Q1;106;89;150;4868;883;148;6,14;54,70;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
22;21100199809;"Probability Surveys";journal;"15495787";3,469;Q1;43;3;25;102;86;25;3,53;34,00;United States;Northern America;"Institute of Mathematical Statistics";"2004-2020";"Statistics and Probability (Q1)"
23;7000153261;"Neural Development";journal;"17498104";3,464;Q1;51;44;66;2717;232;66;3,46;61,75;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Developmental Neuroscience (Q1)"
24;4000151810;"PLoS Computational Biology";journal;"15537358, 1553734X";3,428;Q1;182;376;674;20172;3961;641;5,28;53,65;United States;Northern America;"Public Library of Science";"2005-2020";"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)"
25;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,378;Q1;191;343;332;20131;2040;330;5,71;58,69;United States;Northern America;"Wiley-Liss Inc.";"1993-2020";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
