Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";6,994;Q1;143;20;59;0;691;59;11,17;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";6,386;Q1;100;10;30;0;382;30;16,24;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;24660;"Bulletin of the American Mathematical Society";journal;"02730979, 10889485";5,308;Q1;66;9;40;947;98;33;1,67;105,22;United States;Northern America;"American Mathematical Society";"1891-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
4;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,494;Q1;513;6472;17332;286309;120926;17316;6,71;44,24;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
5;29086;"Nuclear Physics B";journal;"05503213";4,299;Q1;274;597;2220;26786;10590;2220;5,07;44,87;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
6;14204;"Nucleic Acids Research";journal;"03051048, 13624962";4,217;Q1;537;826;2223;27205;13515;2219;6,57;32,94;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
7;14521;"BMC Pediatrics";journal;"14712431";4,204;Q1;75;12;2;337;23;2;11,50;28,08;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Pediatrics, Perinatology and Child Health (Q1)"
8;25846;"GSA Today";journal;"10525173";4,171;Q1;76;12;42;420;179;42;5,00;35,00;United States;Northern America;"Geological Society of America";"1991-2020";"Geology (Q1)"
9;27545;"European Physical Journal C";journal;"14346052, 14346044";4,003;Q1;198;212;954;8701;4155;954;5,34;41,04;Germany;Western Europe;"Springer New York";"1998-2020";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
10;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";3,697;Q1;208;251;616;1381;2658;611;4,37;5,50;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
11;17426;"DNA Research";journal;"17561663, 13402838";3,622;Q1;98;29;132;626;645;132;5,55;21,59;United Kingdom;Western Europe;"Oxford University Press";"1994-2020";"Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
12;32805;"Tellus, Series B: Chemical and Physical Meteorology";journal;"02806509";3,504;Q1;103;58;179;2654;774;179;4,65;45,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Atmospheric Science (Q1)"
13;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";3,387;Q1;91;8;16;1454;125;16;7,67;181,75;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
14;29482;"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics";journal;"03702693";3,189;Q1;283;1153;4144;36150;15730;4144;4,05;31,35;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
15;28520;"Journal of High Energy Physics";journal;"10298479";2,992;Q1;261;733;1494;29985;6105;1494;4,15;40,91;Germany;Western Europe;"Springer Verlag";"1997-2020";"Nuclear and High Energy Physics (Q1)"
16;17466;"Neurobiology of Disease";journal;"1095953X, 09699961";2,854;Q1;166;107;213;5261;1150;211;5,23;49,17;United States;Northern America;"Academic Press Inc.";"1994-2020";"Neurology (Q1)"
17;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,851;Q1;191;64;170;2995;993;169;5,04;46,80;United States;Northern America;"Wiley-Liss Inc.";"1993-2020";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
18;145507;"Cybermetrics";journal;"11375019";2,699;Q1;15;2;8;33;27;8;2,17;16,50;Spain;Western Europe;"Centro de Informacion y Documentacion Cientifica";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)"
19;17929;"BMC Bioinformatics";journal;"14712105";2,658;Q1;208;39;10;1081;41;10;4,10;27,72;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Structural Biology (Q1)"
20;14238;"College and Research Libraries";journal;"00100870, 21506701";2,567;Q1;52;40;106;634;168;106;1,87;15,85;United States;Northern America;"Association of College and Research Libraries";"1946-1947, 1987-2020";"Library and Information Sciences (Q1)"
21;24674;"Oikos";journal;"16000706, 00301299";2,462;Q1;179;230;748;12835;2202;730;2,48;55,80;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
