Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";19,166;Q1;143;4;20;1071;645;20;28,82;267,75;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";14,152;Q1;91;3;27;1267;783;27;38,06;422,33;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
3;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";9,575;Q1;100;19;111;195;1752;104;14,79;10,26;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
4;40944;"Genome Biology";journal;"14747596";9,167;Q1;248;283;715;14679;7476;638;10,40;51,87;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
5;4700152228;"Molecular Systems Biology";journal;"17444292";8,685;Q1;148;77;203;4336;2168;194;10,46;56,31;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
6;21100201068;"Cell Reports";journal;"22111247";8,545;Q1;154;809;1399;36892;12602;1393;8,70;45,60;United States;Northern America;"Cell Press";"1970, 2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
7;21100242814;"eLife";journal;"2050084X";7,741;Q1;139;997;1002;53601;7422;935;7,38;53,76;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
8;21100265444;"Lancet Global Health,The";journal;"2214109X";7,636;Q1;88;229;327;3472;1303;76;3,98;15,16;United Kingdom;Western Europe;"Elsevier BV";"2013-2020";"Medicine (miscellaneous) (Q1)"
9;14204;"Nucleic Acids Research";journal;"03051048, 13624962";7,358;Q1;537;1376;4253;71945;43055;4248;10,24;52,29;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
10;17269;"Studies in Mycology";journal;"01660616";7,213;Q1;95;16;34;1482;587;33;15,25;92,63;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
11;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";6,749;Q1;208;323;790;2537;6222;514;8,20;7,85;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
12;21100201772;"Physical Review X";journal;"21603308";6,568;Q1;164;171;391;9419;3479;379;8,87;55,08;United States;Northern America;"American Physical Society";"2011-2020";"Physics and Astronomy (miscellaneous) (Q1)"
13;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";6,463;Q1;57;9;15;2403;225;15;13,22;267,00;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
