Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";34,638;Q1;143;2;16;184;1053;16;80,90;92,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;17600155103;"Living Reviews in European Governance";journal;"1813856X";15,799;Q1;12;0;2;0;35;2;7,00;0,00;Austria;Western Europe;"Institute for Advanced Studies, Department of Political Science";"2009-2015";"Political Science and International Relations (Q1)"
3;12137;"Journal of Statistical Software";journal;"15487660";13,802;Q1;145;87;262;3548;4634;262;21,64;40,78;United States;Northern America;"University of California at Los Angeles";"1996-2020";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
4;40944;"Genome Biology";journal;"14747596";12,740;Q1;248;232;805;12736;11454;753;11,54;54,90;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
5;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";10,892;Q1;100;22;74;984;1641;70;23,45;44,73;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
6;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";9,323;Q1;208;385;953;2404;8364;616;9,38;6,24;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
7;14204;"Nucleic Acids Research";journal;"03051048, 13624962";9,025;Q1;537;1422;4062;70712;47190;4053;12,17;49,73;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
8;21100265444;"Lancet Global Health,The";journal;"2214109X";8,756;Q1;88;316;720;4638;3585;168;4,76;14,68;United Kingdom;Western Europe;"Elsevier BV";"2013-2020";"Medicine (miscellaneous) (Q1)"
9;4700152228;"Molecular Systems Biology";journal;"17444292";8,504;Q1;148;64;177;3742;1639;167;8,22;58,47;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
10;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";8,322;Q1;91;7;12;2488;923;12;49,40;355,43;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
11;21100797856;"Journal of Extracellular Vesicles";journal;"20013078";7,973;Q1;68;45;107;2476;2063;104;17,35;55,02;Sweden;Western Europe;"Taylor and Francis Ltd.";"2012-2020";"Cell Biology (Q1); Histology (Q1)"
12;21100201068;"Cell Reports";journal;"22111247";7,552;Q1;154;1088;2551;52507;22444;2544;8,32;48,26;United States;Northern America;"Cell Press";"1970, 2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
13;21100242814;"eLife";journal;"2050084X";7,121;Q1;139;1448;2857;87854;22047;2770;7,29;60,67;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
14;24769;"Materials Today";journal;"13697021";7,111;Q1;177;151;450;4645;3268;151;6,01;30,76;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
15;6200180159;"World Psychiatry";journal;"17238617";7,027;Q1;93;92;267;2389;1899;112;6,81;25,97;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
