Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";8,079;Q1;143;17;53;0;1067;53;20,88;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";7,698;Q1;91;6;30;1615;394;30;13,61;269,17;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
3;12977;"PLoS Biology";journal;"15449173, 15457885";6,415;Q1;271;238;678;10373;5725;650;8,55;43,58;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
4;145144;"Journal of Biology";journal;"14754924, 14785854";6,103;Q1;54;22;54;892;417;51;5,90;40,55;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2010";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
5;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";5,781;Q1;100;14;32;0;532;32;19,60;0,00;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
6;14204;"Nucleic Acids Research";journal;"03051048, 13624962";4,776;Q1;537;1095;3401;40144;26905;3389;7,47;36,66;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
7;17592;"Journal of Biological Chemistry";journal;"00219258, 1083351X";4,352;Q1;513;4344;18159;205406;115960;18159;6,21;47,28;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"1945-2020";"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
8;4000151808;"PLoS Genetics";journal;"15537390, 15537404";3,979;Q1;233;199;75;10553;552;75;7,36;53,03;United States;Northern America;"Public Library of Science";"2005-2020";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
9;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";3,753;Q1;208;237;1038;1581;4411;830;4,30;6,67;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
10;37473;"Gold Bulletin";journal;"00171557";3,651;Q1;59;24;48;635;282;48;6,32;26,46;Germany;Western Europe;"Springer Berlin";"1971-2020";"Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1)"
11;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";3,551;Q1;187;198;349;9730;3508;340;10,33;49,14;United States;Northern America;"American Society for Biochemistry and Molecular Biology Inc.";"2002-2020";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
12;25846;"GSA Today";journal;"10525173";3,499;Q1;76;22;53;462;219;42;3,35;21,00;United States;Northern America;"Geological Society of America";"1991-2020";"Geology (Q1)"
13;17495;"NeuroImage";journal;"10959572, 10538119";3,467;Q1;364;768;1597;38997;10635;1584;6,13;50,78;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
14;18391;"Aging Cell";journal;"14749726, 14749718";3,440;Q1;140;66;135;2979;775;119;5,27;45,14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
15;29086;"Nuclear Physics B";journal;"05503213";3,396;Q1;274;404;1500;20303;8188;1499;5,61;50,25;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
16;29482;"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics";journal;"03702693";3,265;Q1;283;983;2950;34158;14626;2945;5,40;34,75;Netherlands;Western Europe;"Elsevier";"1967-2020";"Nuclear and High Energy Physics (Q1)"
17;12862;"Optics Express";journal;"10944087";3,235;Q1;271;1544;2463;30698;13241;2455;5,27;19,88;United States;Northern America;"The Optical Society";"1997-2020";"Atomic and Molecular Physics, and Optics (Q1)"
18;4000151809;"PLoS Pathogens";journal;"15537374, 15537366";3,145;Q1;206;108;40;5685;219;35;5,48;52,64;United States;Northern America;"Public Library of Science";"2005-2020";"Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
