Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,734;Q2;34;26;56;789;78;56;1,54;30,35;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,496;Q1;35;39;128;823;81;128;0,57;21,10;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q2)"
3;19375;"Water S.A.";journal;"18167950, 03784738";0,466;Q2;59;76;197;1451;129;195;0,63;19,09;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q2); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
4;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,451;Q2;70;126;276;3313;265;276;1,08;26,29;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
5;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,443;Q2;89;256;699;6489;536;698;0,63;25,35;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
6;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,408;Q2;39;40;112;1382;40;112;0,34;34,55;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
7;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,406;Q2;88;189;594;5473;585;591;0,91;28,96;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
8;14730;"Revista Latinoamericana de Psicologia";journal;"01200534";0,365;Q2;27;18;64;732;46;64;1,07;40,67;Colombia;Latin America;"Konrad Lorenz Editores";"1980, 1984, 1992, 1996-2020";"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
9;26806;"Ciencias Marinas";journal;"01853880";0,337;Q3;29;36;104;1082;54;104;0,34;30,06;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q3)"
10;19700202606;"Andean Geology";journal;"07187092, 07187106";0,325;Q2;36;14;44;659;20;44;0,59;47,07;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
11;17944;"Darwiniana";journal;"00116793";0,322;Q3;21;17;65;344;23;65;0,28;20,24;Argentina;Latin America;"Instituto de Botanica Darwinion";"1985-1986, 1989-1990, 1992-1993, 1995-2020";"Plant Science (Q3)"
12;24880;"South African Journal of Science";journal;"03708462, 00382353";0,317;Q2;61;143;399;3338;232;373;0,64;23,34;South Africa;Africa;"National Research Foundation";"1973-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2)"
13;15162;"Eure";journal;"07176236, 02507161";0,302;Q2;27;21;18;935;11;18;0,61;44,52;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1979, 1982, 1996-1998, 2001-2020";"Urban Studies (Q2)"
14;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,288;Q2;49;67;204;1788;105;195;0,54;26,69;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
15;13260;"Biological Research";journal;"07176287, 07169760";0,287;Q2;55;47;82;1908;58;75;0,76;40,60;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
16;17323;"Bothalia";journal;"23119284, 00068241";0,287;Q3;20;54;87;1130;27;81;0,40;20,93;South Africa;Africa;"AOSIS (Pty) Ltd";"1978, 1993-2019";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
17;21479;"Quimica Nova";journal;"01004042, 16787064";0,283;Q2;73;164;402;7850;221;402;0,53;47,87;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1992, 1997-2020";"Chemistry (miscellaneous) (Q2)"
18;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,263;Q3;52;110;282;1764;119;273;0,37;16,04;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q4)"
19;18349;"South African Medical Journal";journal;"02569574, 20785135";0,256;Q2;57;489;1286;2533;333;625;0,28;5,18;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
20;25953;"Dados";journal;"16784588, 00115258";0,248;Q2;26;22;68;808;14;68;0,21;36,73;Brazil;Latin America;"Inst. Univ. de Pesquisas do Rio de Janeiro";"1996-2020";"Social Sciences (miscellaneous) (Q2)"
21;18819;"Pesquisa Veterinaria Brasileira";journal;"0100736X, 16785150";0,244;Q3;35;26;72;838;24;72;0,33;32,23;Brazil;Latin America;"Colegio Brasileiro de Patologia Animal";"1996-2020";"Veterinary (miscellaneous) (Q3)"
22;54988;"South African Journal of Animal Sciences";journal;"03751589";0,237;Q3;33;36;97;902;38;97;0,39;25,06;South Africa;Africa;"Bureau for Scientific Publications";"1974, 1996-2020";"Animal Science and Zoology (Q3)"
23;73135;"Ciencia del Suelo";journal;"03263169";0,236;Q3;18;16;53;322;15;53;0,24;20,13;Argentina;Latin America;"Asociacion Argentina de la Ciencia del Suelo";"1994-2020";"Soil Science (Q3)"
24;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,235;Q3;57;126;319;2180;140;299;0,36;17,30;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q3)"
25;13567;"Revista de Biologia Tropical";journal;"00347744";0,226;Q2;38;106;449;4006;158;449;0,31;37,79;Costa Rica;Latin America;"Universidad de Costa Rica";"1969-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
26;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,225;Q2;31;51;150;943;51;139;0,35;18,49;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3)"
27;18625;"Koedoe";journal;"20710771, 00756458";0,224;Q3;29;21;56;499;29;56;0,37;23,76;South Africa;Africa;"AOSIS (Pty) Ltd";"1980-1984, 1987-2006, 2008-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
28;18852;"Revista Brasileira de Zootecnia";journal;"18069290, 15163598";0,224;Q3;53;270;521;7366;216;521;0,36;27,28;Brazil;Latin America;"Sociedade Brasileira de Zootecnia";"1996-2020";"Animal Science and Zoology (Q3)"
29;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";0,221;Q3;53;101;168;2706;53;168;0,27;26,79;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2020";"Agricultural and Biological Sciences (miscellaneous) (Q3)"
30;23432;"Journal of the Chilean Chemical Society";journal;"07179324, 07179707";0,220;Q3;31;71;176;1462;59;176;0,26;20,59;Chile;Latin America;"Sociedad Chilena De Quimica";"2003-2020";"Chemistry (miscellaneous) (Q3)"
31;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,215;Q3;45;53;106;177;55;96;0,52;3,34;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3)"
