Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19700202606;"Andean Geology";journal;"07187092, 07187106";0,914;Q1;36;15;55;1004;77;55;1,29;66,93;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q1); Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2)"
2;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,729;Q2;34;27;81;908;70;81;0,85;33,63;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Space and Planetary Science (Q2); Astronomy and Astrophysics (Q3)"
3;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,605;Q2;89;238;578;6590;892;575;1,42;27,69;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
4;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,491;Q2;54;102;320;2926;287;265;0,51;28,69;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
5;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,469;Q2;39;43;165;2080;154;163;0,73;48,37;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
6;12079;"Atmosfera";journal;"01876236";0,464;Q3;29;16;47;397;34;47;0,41;24,81;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
7;18349;"South African Medical Journal";journal;"02569574, 20785135";0,452;Q2;57;389;1225;2310;327;299;0,25;5,94;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
8;19375;"Water S.A.";journal;"18167950, 03784738";0,450;Q2;59;92;244;2338;216;241;0,71;25,41;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2); Applied Microbiology and Biotechnology (Q3)"
9;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,448;Q1;88;193;686;5781;948;681;1,32;29,95;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
10;38551;"Annals of Hepatology";journal;"16652681";0,427;Q2;53;80;108;2188;189;106;1,67;27,35;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
