Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,973;Q1;89;184;570;5782;1346;558;2,31;31,42;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
2;5100154603;"Opiniao Publica";journal;"01046276, 18070191";0,841;Q1;17;20;49;760;29;48;0,54;38,00;Brazil;Latin America;"Universidade Estadual de Campinas";"2006-2020";"Sociology and Political Science (Q1)"
3;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,817;Q1;77;140;553;2776;737;508;1,05;19,83;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
4;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,788;Q1;77;250;1095;6841;1377;1016;1,14;27,36;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
5;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,716;Q1;56;199;719;4962;696;715;0,80;24,93;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1)"
6;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,701;Q1;51;200;601;6932;622;593;0,92;34,66;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
7;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,632;Q3;32;71;216;2044;178;202;0,68;28,79;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Epidemiology (Q3)"
8;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,607;Q2;52;93;358;2622;557;268;1,14;28,19;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
9;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,605;Q2;34;34;84;1280;76;84;0,94;37,65;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Space and Planetary Science (Q2); Astronomy and Astrophysics (Q3)"
10;38551;"Annals of Hepatology";journal;"16652681";0,578;Q2;53;98;210;2494;390;178;1,99;25,45;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Hepatology (Q2); Medicine (miscellaneous) (Q2)"
