Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2001);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,687;Q2;34;23;49;616;47;49;1,09;26,78;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;19375;"Water S.A.";journal;"18167950, 03784738";0,444;Q2;59;65;183;1731;103;182;0,52;26,63;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2); Applied Microbiology and Biotechnology (Q3)"
3;12079;"Atmosfera";journal;"01876236";0,416;Q3;29;17;50;305;19;50;0,41;17,94;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
4;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,373;Q2;88;202;595;5977;529;594;0,88;29,59;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
5;13565;"Revista de Biologia Marina y Oceanografia";journal;"07173326";0,367;Q2;25;19;60;625;17;60;0,21;32,89;Chile;Latin America;"Universidad de Valparaiso";"1996-2020";"Oceanography (Q2); Aquatic Science (Q3)"
6;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,364;Q2;89;226;694;5490;433;693;0,61;24,29;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
7;59940;"Journal of the Dental Association of South Africa = Die Tydskrif van die Tandheelkundige Vereniging van Suid-Afrika, The";journal;"00118516";0,357;Q2;11;0;3;0;3;3;0,00;0,00;South Africa;Africa;"African Medical Association";"1960-1961, 1965-1998";"Medicine (miscellaneous) (Q2)"
8;19700202606;"Andean Geology";journal;"07187092, 07187106";0,342;Q2;36;16;45;616;19;45;0,29;38,50;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
9;4400151728;"Revista Mexicana de Ciencias Geologicas";journal;"10268774";0,331;Q2;35;12;51;655;15;51;0,07;54,58;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Geology (Q2)"
10;26806;"Ciencias Marinas";journal;"01853880";0,309;Q4;29;33;106;1038;48;106;0,39;31,45;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q4)"
