Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;11700154202;"Revista Chilena de Derecho";journal;"07183437, 07160747";1,081;Q1;9;60;84;2688;20;76;0,26;44,80;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2007-2019";"Law (Q1)"
2;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";1,034;Q1;51;170;600;6358;679;559;0,90;37,40;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q1)"
3;16900154709;"Revista Ciencia Agronomica";journal;"00456888, 18066690";0,851;Q1;26;110;325;2969;354;325;1,03;26,99;Brazil;Latin America;"Universidade Federal do Ceara";"2008-2020";"Agronomy and Crop Science (Q1); Horticulture (Q1); Soil Science (Q2)"
4;19700202606;"Andean Geology";journal;"07187092, 07187106";0,842;Q1;36;29;68;1740;107;68;1,68;60,00;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2); Geology (Q2)"
5;19700175179;"Estudios Constitucionales";journal;"07185200, 07180195";0,842;Q1;10;44;113;1755;31;109;0,22;39,89;Chile;Latin America;"Universidad de Talca";"2009-2020";"Law (Q1); Sociology and Political Science (Q1)"
6;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,796;Q2;77;168;448;2933;684;418;1,32;17,46;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
7;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,752;Q2;89;200;597;6059;1051;579;1,69;30,30;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
8;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,751;Q1;56;207;654;5211;659;639;0,86;25,17;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1)"
9;5200153106;"Neotropical Ichthyology";journal;"16796225";0,743;Q2;40;88;250;3519;294;246;0,87;39,99;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q2)"
10;38490;"Bragantia";journal;"00068705";0,713;Q1;32;53;341;1446;259;329;0,72;27,28;Brazil;Latin America;"Instituto Agronomico";"1977, 1979, 1985, 1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2)"
11;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,710;Q1;28;60;260;1830;222;260;0,81;30,50;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q1)"
12;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,671;Q2;77;294;787;8534;922;710;1,04;29,03;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
13;21100268426;"Journal of Seed Science";journal;"23171537";0,668;Q1;27;63;244;1692;194;234;0,58;26,86;Brazil;Latin America;"Associacao Brasileira de Tecnologia de Sementes";"2013-2020";"Agronomy and Crop Science (Q1)"
14;4000151823;"Scientia Agricola";journal;"01039016";0,657;Q1;52;61;250;2033;337;222;1,09;33,33;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Animal Science and Zoology (Q1); Agronomy and Crop Science (Q2)"
15;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";0,652;Q1;30;57;420;1492;389;420;0,98;26,18;Brazil;Latin America;"Federal University of Lavras";"2007-2020";"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1); Agronomy and Crop Science (Q2); Food Science (Q2); Soil Science (Q2)"
16;29389;"Revista Latino-Americana de Enfermagem";journal;"01041169";0,650;Q1;36;179;499;3719;648;478;1,25;20,78;Brazil;Latin America;"University of Sao Paulo, Ribeirao Preto College of Nursing Organisation";"1993-2020";"Nursing (miscellaneous) (Q1)"
17;4000152106;"Journal of Applied Oral Science";journal;"16787757, 16787765";0,645;Q2;44;97;334;2594;483;318;1,10;26,74;Brazil;Latin America;"Faculdade de Odontologia de Bauru";"2006-2020";"Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
18;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366, 18071929";0,637;Q2;35;165;554;4383;503;554;0,72;26,56;Brazil;Latin America;"Departamento de Engenharia Agricola - UFCG/Cnpq";"2006-2020";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
