Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19700202606;"Andean Geology";journal;"07187092, 07187106";0,879;Q1;36;15;50;923;74;50;1,00;61,53;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q1); Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2)"
2;13260;"Biological Research";journal;"07176287, 07169760";0,697;Q1;55;52;186;1829;279;177;1,10;35,17;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
3;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,654;Q2;34;30;80;1010;62;80;0,79;33,67;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
4;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,607;Q2;89;181;600;5045;856;594;1,41;27,87;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
5;19375;"Water S.A.";journal;"18167950, 03784738";0,578;Q2;59;101;267;3037;259;262;0,98;30,07;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q2); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
6;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,550;Q2;77;184;513;3094;554;445;0,92;16,82;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
7;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,539;Q2;39;64;200;2362;78;199;0,34;36,91;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
8;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,507;Q2;77;387;754;10510;742;693;0,84;27,16;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
9;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,496;Q2;51;162;318;4912;222;318;0,55;30,32;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q2); Soil Science (Q3)"
10;4400151728;"Revista Mexicana de Ciencias Geologicas";journal;"10268774";0,486;Q2;35;40;97;1780;82;95;0,85;44,50;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Geology (Q2)"
11;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,473;Q1;88;201;655;6101;979;653;1,44;30,35;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
12;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,469;Q2;53;122;304;2760;309;190;1,01;22,62;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
13;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,461;Q2;49;78;215;1982;233;211;0,89;25,41;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
14;4000151823;"Scientia Agricola";journal;"01039016";0,452;Q2;52;89;284;2672;203;276;0,72;30,02;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
15;18349;"South African Medical Journal";journal;"02569574, 20785135";0,412;Q2;57;362;1199;3460;363;360;0,31;9,56;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
16;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,406;Q2;70;210;613;7202;959;596;1,50;34,30;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
17;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,403;Q2;57;97;327;2997;387;300;1,08;30,90;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q2)"
18;24880;"South African Journal of Science";journal;"03708462, 00382353";0,403;Q2;61;108;419;3079;295;386;0,46;28,51;South Africa;Africa;"National Research Foundation";"1973-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2)"
19;5200153106;"Neotropical Ichthyology";journal;"16796225";0,401;Q3;40;61;51;1881;39;51;0,76;30,84;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q3)"
20;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,393;Q3;45;160;226;3862;254;221;0,88;24,14;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3)"
21;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,373;Q2;39;44;151;1789;137;149;0,76;40,66;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
22;60803;"Gaceta Sanitaria";journal;"02139111";0,369;Q2;42;102;344;1918;308;282;0,73;18,80;Spain;Western Europe;"Ediciones Doyma, S.L.";"1987-2020";"Public Health, Environmental and Occupational Health (Q2)"
23;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,363;Q2;35;33;128;966;58;128;0,52;29,27;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
24;21100227020;"Latin American Journal of Sedimentology and Basin Analysis";journal;"18514979, 16697316";0,362;Q2;16;8;18;306;8;18;0,44;38,25;Argentina;Latin America;"Asociacion Argentina de Sedimentologia";"2005-2020";"Geology (Q2); Paleontology (Q2); Stratigraphy (Q2)"
25;38551;"Annals of Hepatology";journal;"16652681";0,348;Q2;53;56;159;1610;180;155;0,91;28,75;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
26;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,346;Q3;52;151;420;2947;297;404;0,64;19,52;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
27;145331;"Brazilian Archives of Biology and Technology";journal;"15168913";0,344;Q1;49;143;458;4653;272;458;0,47;32,54;Brazil;Latin America;"Instituto de Tecnologia do Parana";"1998-2020";"Multidisciplinary (Q1)"
28;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,343;Q2;52;139;396;3543;360;295;0,87;25,49;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
29;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,340;Q1;58;61;201;2383;233;201;1,08;39,07;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2020";"Multidisciplinary (Q1)"
30;4000148010;"Clinics";journal;"19805322, 18075932";0,337;Q2;61;132;244;3328;241;193;1,02;25,21;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
31;24371;"Brazilian Dental Journal";journal;"01036440";0,336;Q2;50;65;160;1234;122;160;0,59;18,98;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q2)"
32;12079;"Atmosfera";journal;"01876236";0,332;Q3;29;24;48;666;32;48;0,81;27,75;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
33;16349;"Brazilian Journal of Chemical Engineering";journal;"01046632";0,326;Q2;52;58;193;1258;132;192;0,53;21,69;Brazil;Latin America;"Association Brasiliera de Eng. Quimica / Braz. Soc. Chem. Eng.";"1995-2020";"Chemical Engineering (miscellaneous) (Q2)"
34;21479;"Quimica Nova";journal;"01004042, 16787064";0,317;Q2;73;348;616;13333;612;595;0,98;38,31;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1992, 1997-2020";"Chemistry (miscellaneous) (Q2)"
35;25359;"Revista Espanola de Enfermedades Digestivas";journal;"11300108";0,316;Q2;38;232;495;3785;283;285;0,52;16,31;Spain;Western Europe;"ARAN Ediciones S.A.";"1990-2020";"Medicine (miscellaneous) (Q2); Gastroenterology (Q3)"
36;21100228063;"Journal of the Southern African Institute of Mining and Metallurgy";journal;"22256253";0,314;Q2;37;101;288;1277;52;275;0,18;12,64;South Africa;Africa;"South African Institute of Mining and Metallurgy";"1988, 2006-2020";"Geotechnical Engineering and Engineering Geology (Q2); Materials Chemistry (Q2); Metals and Alloys (Q2)"
37;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,313;Q3;56;240;611;5376;258;609;0,34;22,40;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3)"
38;4300151406;"Revista Brasileira de Entomologia";journal;"00855626, 18069665";0,312;Q3;31;81;81;1892;34;81;0,42;23,36;Brazil;Latin America;"Sociedade Brasileira de Entomologia";"2003, 2005-2020";"Insect Science (Q3)"
39;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";0,305;Q2;53;145;326;4030;159;315;0,38;27,79;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
40;29389;"Revista Latino-Americana de Enfermagem";journal;"01041169";0,298;Q2;36;173;415;2642;200;393;0,40;15,27;Brazil;Latin America;"University of Sao Paulo, Ribeirao Preto College of Nursing Organisation";"1993-2020";"Nursing (miscellaneous) (Q2)"
41;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,296;Q2;31;43;131;1037;69;125;0,47;24,12;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3)"
42;52142;"Pesquisa odontologica brasileira = Brazilian oral research";journal;"15177491";0,292;Q2;45;68;175;1498;104;169;0,53;22,03;Brazil;Latin America;"University of Sao Paolo";"2001-2020";"Medicine (miscellaneous) (Q2); Dentistry (miscellaneous) (Q3)"
43;18819;"Pesquisa Veterinaria Brasileira";journal;"0100736X, 16785150";0,292;Q3;35;87;127;2394;76;123;0,66;27,52;Brazil;Latin America;"Colegio Brasileiro de Patologia Animal";"1996-2020";"Veterinary (miscellaneous) (Q3)"
44;13900154710;"Latin American Journal of Solids and Structures";journal;"16797825, 16797817";0,275;Q2;32;17;64;289;15;57;0,16;17,00;Brazil;Latin America;"Brazilian Association of Computational Mechanics";"2003-2020";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Ocean Engineering (Q2); Civil and Structural Engineering (Q3); Mechanics of Materials (Q3)"
45;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,274;Q3;47;88;281;3409;129;279;0,34;38,74;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q3)"
46;26806;"Ciencias Marinas";journal;"01853880";0,259;Q4;29;40;182;1548;96;180;0,55;38,70;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q4)"
47;17672;"Arquivo Brasileiro de Medicina Veterinaria e Zootecnia";journal;"01020935, 16784162";0,257;Q3;33;257;475;5078;120;475;0,22;19,76;Brazil;Latin America;"Universidade de Minas Gerais";"1996-2020";"Veterinary (miscellaneous) (Q3)"
48;14224;"Arquivos de Neuro-Psiquiatria";journal;"16784227, 0004282X";0,255;Q3;48;278;650;6071;431;635;0,54;21,84;Brazil;Latin America;"Arquivos de Neuro-Psiquiatria";"1945-1965, 1971-2020";"Biological Psychiatry (Q3); Neurology (clinical) (Q3)"
49;15601;"Gayana - Botanica";journal;"00165301, 07176643";0,251;Q3;16;23;45;666;21;45;0,48;28,96;Chile;Latin America;"Universidad de Concepcion";"1981-1982, 1984, 2002-2019";"Ecology (Q3); Horticulture (Q3); Plant Science (Q3)"
50;19930;"International braz j urol : official journal of the Brazilian Society of Urology";journal;"16776119, 16775538";0,250;Q2;39;332;596;2209;182;324;0,25;6,65;Brazil;Latin America;"Brazilian Society of Urology";"2002-2020";"Urology (Q2); Medicine (miscellaneous) (Q3)"
51;22599;"Revista Espanola de Salud Publica";journal;"21739110, 11355727, 16969820";0,244;Q3;35;60;168;1750;127;144;0,63;29,17;Spain;Western Europe;"Ministerio de Sanidad y Consumo";"1995-2020";"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
52;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,242;Q4;55;138;367;5089;233;364;0,54;36,88;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q4); Molecular Biology (Q4)"
53;28247;"Arquivos de Gastroenterologia";journal;"16784219, 00042803";0,240;Q3;30;67;169;2071;91;156;0,55;30,91;Brazil;Latin America;"IBEPEGE - Inst. Bras. Estudos Pesquisas Gastroent.";"1973-2020";"Gastroenterology (Q3)"
54;27018;"Journal of Energy in Southern Africa";trade journal;"1021447X";0,239;Q2;20;26;71;407;13;71;0,15;15,65;South Africa;Africa;"Energy Research Institute, University of Cape Town";"1993-2007, 2009-2020";"Computer Science (miscellaneous) (Q2); Energy (miscellaneous) (Q2)"
55;29996;"Archivos Latinoamericanos de Nutricion";journal;"00040622";0,238;Q3;34;53;192;1726;112;187;0,36;32,57;Venezuela;Latin America;"Archivos Latinoamericanos Nutricion";"1971-2019";"Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3)"
56;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,236;Q3;54;250;264;3871;143;217;0,49;15,48;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q3)"
