Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
204;30008;"Revista da Escola de Enfermagem da U S P";journal;"00806234";0,100;Q4;28;52;144;0;3;142;0,00;0,00;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Nursing (miscellaneous) (Q4)"
205;5100155067;"Revista de Estudios Historico-Juridicos";journal;"07176260, 07165455";0,100;Q4;6;19;89;2096;1;89;0,00;110,32;Chile;Latin America;"Ediciones Universitarias de Valparaiso";"1997-2019";"History (Q4); Law (Q4)"
206;29388;"Revista gaucha de enfermagem / EENFUFRGS";journal;"01026933, 19831447";0,100;Q4;15;36;71;117;1;71;0,02;3,25;Brazil;Latin America;"Universidade Federal do Rio Grande do Sul";"1984-1986, 1989-1992, 1994-1997, 1999-2020";"Medicine (miscellaneous) (Q4)"
207;21100823466;"Revista Habanera de Ciencias Medicas";journal;"1729519X";0,100;Q4;6;50;58;718;0;54;0,00;14,36;Cuba;Latin America;"";"2002-2020";"Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)"
208;19255;"Transactions of the South African Institute of Electrical Engineers";journal;"00382221";0,100;Q4;9;38;48;494;4;42;0,08;13,00;South Africa;Africa;"South African Institute of Electrical Engineers";"1969-1989, 1995, 2003-2008, 2010-2018";"Electrical and Electronic Engineering (Q4)"
209;21100865207;"Advances in Rheumatology";journal;"25233106";;-;27;57;57;1530;3;52;0,05;26,84;United Kingdom;Western Europe;"BioMed Central Ltd.";"2018-2020";"Rheumatology"
210;21100422060;"Archives of endocrinology and metabolism";journal;"23593997, 23594292";;-;50;127;0;3067;0;0;0,00;24,15;Brazil;Latin America;"Segmento Farma Editores";"2015-2020";"Endocrinology, Diabetes and Metabolism"
211;21100902145;"Austral journal of veterinary sciences";journal;"07198000, 07198132";;-;22;23;90;698;9;90;0,10;30,35;Chile;Latin America;"Universidad Austral de Chile";"2017-2020";"Veterinary (miscellaneous)"
212;21100309828;"CoDAS";journal;"23171782";;-;23;37;0;0;0;0;0,00;0,00;Brazil;Latin America;"Brazilian Society of Speech-Language Pathology and Audiology";"2013-2020";"Otorhinolaryngology; Speech and Hearing"
213;19300157105;"HTS Teologiese Studies / Theological Studies";journal;"20728050, 02599422";;-;15;75;0;2718;0;0;0,00;36,24;South Africa;Africa;"AOSIS (Pty) Ltd";"1987, 2004-2006, 2008-2020";"Religious Studies"
214;12045;"Interface: Communication, Health, Education";journal;"18075762, 14143283";;-;21;1;0;28;0;0;0,00;28,00;Brazil;Latin America;"Fundacao UNI Botucatu/UNESP";"1980, 2004, 2007-2020";"Communication; Education; Health (social science)"
215;4500151503;"Jornal Brasileiro de Pneumologia";journal;"18063713, 18063756";;-;39;14;0;443;0;0;0,00;31,64;Brazil;Latin America;"Sociedade Brasileira de Pneumologia e Tisiologia";"2004-2020";"Pulmonary and Respiratory Medicine"
216;21100246535;"Lankesteriana";journal;"14093871, 22152067";;-;13;15;0;157;0;0;0,00;10,47;Costa Rica;Latin America;"Universidad de Costa Rica";"2004-2007, 2013-2020";"Plant Science"
217;19400158901;"Perfiles Educativos";journal;"01852698";;-;10;17;0;203;0;0;0,00;11,94;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2004-2005, 2009-2020";"Education"
218;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";;-;51;105;0;3228;0;0;0,00;30,74;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science; Soil Science"
219;19300157111;"Revista Brasileira de Gestao de Negocios";journal;"19830807, 18064892";;-;11;20;0;372;0;0;0,00;18,60;Brazil;Latin America;"Fundacao Escola de Comercio Alvares Penteado";"2004-2020";"Business and International Management; Industrial Relations; Strategy and Management"
220;19700174720;"Revista Colombiana de Entomologia";journal;"01200488";;-;19;34;0;796;0;0;0,00;23,41;Colombia;Latin America;"Sociedad Colombiana de Entomologia";"2004-2020";"Insect Science"
221;66304;"Revista de Geografia Norte Grande";journal;"03798682";;-;18;18;0;447;0;0;0,00;24,83;Chile;Latin America;"Revista de Geografia Norte Grande";"1981, 1983, 2004-2020";"Earth-Surface Processes; Geography, Planning and Development"
222;21100200413;"Revista de Investigaciones Veterinarias del Peru";journal;"16099117, 16823419";;-;11;28;111;418;11;110;0,17;14,93;Peru;Latin America;"Facultad de Medicina Veterinaria, Universidad Nacional Mayor de San Marcos";"1999-2020";"Veterinary (miscellaneous)"
223;21100888590;"Revista Interamericana de Bibliotecologia";journal;"25389866, 01200976";;-;8;9;37;264;2;37;0,00;29,33;Colombia;Latin America;"Escuela Interamericana de Bibliotecologia";"2000-2019";"Library and Information Sciences"
224;21100200424;"Rodriguesia";journal;"03706583, 21757860";;-;32;17;22;633;5;22;0,36;37,24;Brazil;Latin America;"Rio de Janeiro Botanical Garden";"1980-1981, 1984-1985, 1989, 1999-2020";"Horticulture; Plant Science"
225;13600154752;"South African Journal of Enology and Viticulture";journal;"0253939X";;-;25;1;0;33;0;0;0,00;33,00;South Africa;Africa;"South African Society for Enology and Viticulture";"2004, 2007-2020";"Food Science; Horticulture"
226;4700152866;"Topoi";journal;"01677411, 15728749";;-;23;2;0;25;0;0;0,00;12,50;Netherlands;Western Europe;"Springer Netherlands";"1982-1996, 2004, 2006-2020";"Philosophy"
