Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";1,232;Q2;34;25;91;833;166;91;2,17;33,32;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;19700202606;"Andean Geology";journal;"07187092, 07187106";1,003;Q1;36;22;83;1415;166;81;2,09;64,32;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q1); Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2)"
3;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,941;Q1;28;60;181;1800;278;180;1,75;30,00;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q1)"
4;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,858;Q2;53;66;278;2008;526;192;1,83;30,42;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
5;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,842;Q2;89;145;571;6356;1060;560;1,82;43,83;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
6;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,774;Q2;52;96;280;2961;522;260;2,17;30,84;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
7;5400152643;"Ciencia Florestal";journal;"19805098, 01039954";0,771;Q1;21;100;279;3189;168;279;0,36;31,89;Brazil;Latin America;"Universidade Federal de Santa Maria";"2007-2020";"Forestry (Q1)"
8;6300153121;"Journal of Theoretical and Applied Electronic Commerce Research";journal;"07181876";0,749;Q1;30;19;74;1073;159;66;2,23;56,47;Chile;Latin America;"Universidad de Talca";"2007-2020";"Business, Management and Accounting (miscellaneous) (Q1); Computer Science Applications (Q2)"
9;38551;"Annals of Hepatology";journal;"16652681";0,726;Q2;53;127;394;3876;785;337;1,87;30,52;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Hepatology (Q2); Medicine (miscellaneous) (Q2)"
10;4000152106;"Journal of Applied Oral Science";journal;"16787757, 16787765";0,704;Q1;44;84;289;2579;495;273;1,37;30,70;Brazil;Latin America;"Faculdade de Odontologia de Bauru";"2006-2020";"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
11;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,700;Q1;51;178;547;6672;524;518;0,75;37,48;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
12;4500151523;"Educacao e Sociedade";journal;"01017330";0,684;Q2;23;59;198;1723;43;181;0,17;29,20;Brazil;Latin America;"Centro de Estudos Educacao e Sociedade - CEDES";"2006-2020";"Education (Q2)"
13;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,675;Q2;77;98;448;2462;730;421;1,41;25,12;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
14;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,665;Q3;55;67;307;3032;535;304;1,67;45,25;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q3); Molecular Biology (Q3)"
15;52142;"Pesquisa odontologica brasileira = Brazilian oral research";journal;"15177491";0,665;Q2;45;120;275;438;368;257;1,14;3,65;Brazil;Latin America;"University of Sao Paolo";"2001-2020";"Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
16;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,662;Q2;45;129;417;3043;585;319;1,28;23,59;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q2); Microbiology (medical) (Q2)"
17;8600153101;"Horticultura Brasileira";journal;"18069991, 01020536";0,659;Q1;22;90;320;2065;216;305;0,39;22,94;Brazil;Latin America;"Sociedade de Olericultura do Brasil";"2007-2020";"Horticulture (Q1); Plant Science (Q2); Soil Science (Q2)"
18;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,634;Q2;39;75;230;3383;385;230;1,62;45,11;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Soil Science (Q2)"
19;8100153107;"Magallania";journal;"07180209, 07182244";0,630;Q1;17;43;88;1713;54;87;0,29;39,84;Chile;Latin America;"Universidad de Magallanes";"2007-2019";"Social Sciences (miscellaneous) (Q1)"
20;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,625;Q2;54;126;402;2607;366;304;0,87;20,69;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
21;12400154709;"Terapia Psicologica";journal;"07166184, 07184808";0,620;Q2;20;24;86;1700;103;86;1,08;70,83;Chile;Latin America;"Sociedad Chilena de Psicologia Clinica";"2008-2020";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)"
22;21100268426;"Journal of Seed Science";journal;"23171537";0,609;Q2;27;38;196;1011;130;188;0,57;26,61;Brazil;Latin America;"Associacao Brasileira de Tecnologia de Sementes";"2013-2020";"Agronomy and Crop Science (Q2)"
23;4300151410;"Revista Arvore";journal;"01006762";0,599;Q1;30;120;360;3514;198;360;0,46;29,28;Brazil;Latin America;"Sociedade de Investigacoes Florestais";"2006-2020";"Forestry (Q1)"
24;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366, 18071929";0,599;Q2;35;180;540;4512;484;540;0,74;25,07;Brazil;Latin America;"Departamento de Engenharia Agricola - UFCG/Cnpq";"2006-2020";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
25;16900154709;"Revista Ciencia Agronomica";journal;"00456888, 18066690";0,597;Q1;26;101;331;2802;263;331;0,72;27,74;Brazil;Latin America;"Universidade Federal do Ceara";"2008-2020";"Horticulture (Q1); Agronomy and Crop Science (Q2); Soil Science (Q2)"
26;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,591;Q2;56;145;555;3840;523;549;0,77;26,48;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
27;4800156305;"Crop Breeding and Applied Biotechnology";journal;"15187853";0,590;Q2;23;49;137;960;143;120;1,06;19,59;Brazil;Latin America;"Brazilian Society of Plant Breeding";"2006-2020";"Agronomy and Crop Science (Q2); Biotechnology (Q2)"
28;13260;"Biological Research";journal;"07176287, 07169760";0,584;Q2;55;69;182;2866;346;177;1,61;41,54;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
29;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,581;Q2;77;292;867;9067;1043;727;0,98;31,05;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
30;4700152616;"Chungara";journal;"07161182";0,580;Q1;24;54;129;2145;92;121;0,68;39,72;Chile;Latin America;"Universidad de Tarapaca";"2000-2002, 2004, 2006-2020";"Anthropology (Q1); Archeology (Q1)"
31;5200153106;"Neotropical Ichthyology";journal;"16796225";0,577;Q2;40;69;251;3071;291;250;1,04;44,51;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q2)"
32;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,573;Q2;46;379;1136;12574;1151;1050;0,85;33,18;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
33;4500151538;"Revista Brasileira de Parasitologia Veterinaria";journal;"0103846X";0,569;Q2;31;76;291;2753;352;268;1,08;36,22;Brazil;Latin America;"BRAZILIAN COLL VETERINARY PARASITOLOGY";"2005-2020";"Veterinary (miscellaneous) (Q2); Parasitology (Q3)"
34;24371;"Brazilian Dental Journal";journal;"01036440";0,567;Q2;50;120;333;2862;450;331;1,16;23,85;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q2)"
35;4000148010;"Clinics";journal;"19805322, 18075932";0,561;Q2;61;136;725;4129;1156;662;1,49;30,36;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
