Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19375;"Water S.A.";journal;"18167950, 03784738";0,790;Q1;59;65;149;1638;114;149;0,63;25,20;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Management, Monitoring, Policy and Law (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Applied Microbiology and Biotechnology (Q2)"
2;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,511;Q2;34;15;51;641;28;51;0,33;42,73;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
3;19700202606;"Andean Geology";journal;"07187092, 07187106";0,403;Q2;36;15;47;647;20;47;0,36;43,13;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
4;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,377;Q2;35;41;129;454;57;129;0,38;11,07;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
5;18625;"Koedoe";journal;"20710771, 00756458";0,354;Q3;29;21;60;830;32;60;0,50;39,52;South Africa;Africa;"AOSIS (Pty) Ltd";"1980-1984, 1987-2006, 2008-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
6;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,346;Q2;39;25;147;955;43;147;0,20;38,20;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
7;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,303;Q2;89;243;548;4880;312;548;0,56;20,08;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
8;54988;"South African Journal of Animal Sciences";journal;"03751589";0,303;Q3;33;30;55;709;19;55;0,24;23,63;South Africa;Africa;"Bureau for Scientific Publications";"1974, 1996-2020";"Animal Science and Zoology (Q3)"
9;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,295;Q2;88;206;651;6310;412;650;0,56;30,63;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Biochemistry (Q4); Cell Biology (Q4); Physiology (Q4)"
10;12400154701;"Latin American Journal of Aquatic Research";journal;"0718560X";0,292;Q2;28;13;44;249;21;44;0,34;19,15;Chile;Latin America;"Pontificia Universidad Catolica de Valparaiso";"2008-2020";"Oceanography (Q2); Aquatic Science (Q4)"
11;13260;"Biological Research";journal;"07176287, 07169760";0,280;Q2;55;16;93;598;45;91;0,47;37,38;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
12;18349;"South African Medical Journal";journal;"02569574, 20785135";0,278;Q2;57;435;1243;3677;322;692;0,22;8,45;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
13;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,272;Q2;31;44;129;785;26;109;0,18;17,84;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3)"
14;26806;"Ciencias Marinas";journal;"01853880";0,271;Q4;29;37;102;1002;36;102;0,28;27,08;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q4)"
15;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,270;Q3;70;80;260;2056;119;260;0,43;25,70;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q3)"
16;22301;"South African Journal of Surgery";journal;"00382361";0,265;Q2;22;32;114;501;32;100;0,26;15,66;South Africa;Africa;"South African Medical Association";"1965-2020";"Surgery (Q2)"
17;24880;"South African Journal of Science";journal;"03708462, 00382353";0,248;Q1;61;119;431;2977;154;415;0,31;25,02;South Africa;Africa;"National Research Foundation";"1973-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
18;12079;"Atmosfera";journal;"01876236";0,246;Q3;29;16;45;384;24;45;0,50;24,00;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
19;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,239;Q2;58;61;186;1465;52;186;0,26;24,02;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2020";"Multidisciplinary (Q2)"
20;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,229;Q2;77;84;260;1465;43;251;0,12;17,44;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q3)"
21;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,229;Q3;54;98;215;2188;63;198;0,26;22,33;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q3)"
22;21544;"South African Journal of Chemistry";journal;"03794350";0,225;Q3;20;28;79;495;31;79;0,40;17,68;South Africa;Africa;"Bureau for Scientific Publications";"1996-2020";"Chemistry (miscellaneous) (Q3)"
23;16555;"Phyton";journal;"00319457";0,221;Q4;17;26;152;431;43;152;0,20;16,58;Argentina;Latin America;"Fundacion Romulo Raggio";"1984, 1996-2000, 2006-2020";"Biochemistry (Q4); Physiology (Q4); Plant Science (Q4)"
