Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;22596;"Revista de Saude Publica";journal;"00348910, 15188787";1,044;Q1;77;152;478;3044;865;443;1,43;20,03;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
2;4900153108;"Papeis Avulsos de Zoologia";journal;"00311049, 18070205";0,977;Q1;26;39;124;1228;152;124;1,03;31,49;Brazil;Latin America;"University of Sao Paolo";"2002-2020";"Animal Science and Zoology (Q1)"
3;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,918;Q1;51;187;636;6554;735;602;0,98;35,05;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q1)"
4;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,852;Q1;77;254;856;7428;1159;789;1,02;29,24;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)"
5;16900154709;"Revista Ciencia Agronomica";journal;"00456888, 18066690";0,742;Q1;26;101;308;2609;332;308;1,02;25,83;Brazil;Latin America;"Universidade Federal do Ceara";"2008-2020";"Agronomy and Crop Science (Q1); Horticulture (Q1); Soil Science (Q2)"
6;25953;"Dados";journal;"16784588, 00115258";0,732;Q1;26;29;81;1160;40;81;0,32;40,00;Brazil;Latin America;"Inst. Univ. de Pesquisas do Rio de Janeiro";"1996-2020";"Social Sciences (miscellaneous) (Q1)"
7;13600154752;"South African Journal of Enology and Viticulture";journal;"0253939X";0,729;Q1;25;29;75;1136;118;75;1,35;39,17;South Africa;Africa;"South African Society for Enology and Viticulture";"2004, 2007-2020";"Food Science (Q1); Horticulture (Q1)"
8;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,728;Q2;89;205;630;6838;1437;613;1,53;33,36;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
9;21100268426;"Journal of Seed Science";journal;"23171537";0,710;Q1;27;81;265;2006;205;259;0,61;24,77;Brazil;Latin America;"Associacao Brasileira de Tecnologia de Sementes";"2013-2020";"Agronomy and Crop Science (Q1)"
10;19700202606;"Andean Geology";journal;"07187092, 07187106";0,703;Q1;36;28;58;1911;104;55;1,43;68,25;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Paleontology (Q1); Geochemistry and Petrology (Q2); Geology (Q2); Stratigraphy (Q2)"
11;5200153106;"Neotropical Ichthyology";journal;"16796225";0,673;Q2;40;84;248;3597;334;245;1,19;42,82;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q2)"
12;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";0,665;Q1;21;10;32;477;39;31;1,00;47,70;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2020";"Law (Q1); Applied Psychology (Q2)"
13;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,665;Q1;56;228;665;6007;655;649;0,78;26,35;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Animal Science and Zoology (Q1); Agronomy and Crop Science (Q2)"
14;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366, 18071929";0,649;Q2;35;195;478;5260;474;478;0,92;26,97;Brazil;Latin America;"Departamento de Engenharia Agricola - UFCG/Cnpq";"2006-2020";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
15;101441;"Engenharia Agricola";journal;"01006916";0,628;Q1;27;118;306;2527;269;306;0,83;21,42;Brazil;Latin America;"Sociedade Brasileira de Engenharia Agricola";"1981, 2006-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1)"
16;13260;"Biological Research";journal;"07176287, 07169760";0,616;Q1;55;50;157;2650;228;152;1,37;53,00;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
17;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,607;Q3;32;82;217;2473;220;210;1,03;30,16;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Epidemiology (Q3)"
18;4000151823;"Scientia Agricola";journal;"01039016";0,607;Q2;52;56;307;1530;362;289;1,06;27,32;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
19;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,596;Q3;34;25;89;929;81;89;1,02;37,16;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
20;12079;"Atmosfera";journal;"01876236";0,594;Q3;29;19;83;553;73;82;0,80;29,11;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
21;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,591;Q2;46;368;1161;10308;841;1097;0,62;28,01;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
22;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,579;Q2;54;100;459;2397;486;336;0,84;23,97;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
23;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";0,578;Q1;30;68;630;1881;423;630;0,62;27,66;Brazil;Latin America;"Federal University of Lavras";"2007-2020";"Veterinary (miscellaneous) (Q1); Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Food Science (Q2); Soil Science (Q2)"
24;18852;"Revista Brasileira de Zootecnia";journal;"18069290, 15163598";0,571;Q2;53;339;1181;9545;1051;1180;0,69;28,16;Brazil;Latin America;"Sociedade Brasileira de Zootecnia";"1996-2020";"Animal Science and Zoology (Q2)"
25;4300151410;"Revista Arvore";journal;"01006762";0,569;Q2;30;120;380;3615;224;380;0,41;30,13;Brazil;Latin America;"Sociedade de Investigacoes Florestais";"2006-2020";"Forestry (Q2)"
26;13900154710;"Latin American Journal of Solids and Structures";journal;"16797825, 16797817";0,560;Q1;32;36;74;1160;97;72;1,47;32,22;Brazil;Latin America;"Brazilian Association of Computational Mechanics";"2003-2020";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Ocean Engineering (Q1); Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
27;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,538;Q2;28;60;300;1468;195;300;0,56;24,47;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q2)"
