Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19700202606;"Andean Geology";journal;"07187092, 07187106";0,940;Q1;36;16;53;846;55;53;0,79;52,88;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q1); Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2)"
2;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,782;Q2;34;34;73;1155;60;73;0,87;33,97;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
3;13260;"Biological Research";journal;"07176287, 07169760";0,705;Q1;55;42;159;1623;249;150;1,15;38,64;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
4;4900153108;"Papeis Avulsos de Zoologia";journal;"00311049, 18070205";0,582;Q2;26;26;24;774;13;24;0,21;29,77;Brazil;Latin America;"University of Sao Paolo";"2002-2020";"Animal Science and Zoology (Q2)"
5;12079;"Atmosfera";journal;"01876236";0,494;Q3;29;16;48;385;25;48;0,45;24,06;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
6;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,482;Q2;89;186;648;6135;706;645;0,97;32,98;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
7;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,454;Q2;39;72;170;2833;81;169;0,38;39,35;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
8;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,422;Q2;35;41;121;900;70;121;0,49;21,95;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
9;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,407;Q2;39;53;178;2386;137;176;0,55;45,02;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
10;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,391;Q1;88;227;648;7232;730;643;1,02;31,86;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
11;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,386;Q3;45;73;174;1840;152;171;0,82;25,21;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3)"
12;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,380;Q2;49;69;207;1917;206;200;0,91;27,78;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
13;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,377;Q2;70;223;414;6282;449;403;1,11;28,17;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
14;19375;"Water S.A.";journal;"18167950, 03784738";0,374;Q2;59;78;242;2166;149;238;0,65;27,77;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2); Applied Microbiology and Biotechnology (Q3)"
15;24880;"South African Journal of Science";journal;"03708462, 00382353";0,373;Q2;61;145;431;3692;274;396;0,66;25,46;South Africa;Africa;"National Research Foundation";"1973-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2)"
16;18625;"Koedoe";journal;"20710771, 00756458";0,371;Q2;29;19;57;565;37;56;0,50;29,74;South Africa;Africa;"AOSIS (Pty) Ltd";"1980-1984, 1987-2006, 2008-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
17;38551;"Annals of Hepatology";journal;"16652681";0,363;Q2;53;49;89;1376;96;88;1,32;28,08;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
18;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,357;Q3;52;155;372;2386;236;354;0,55;15,39;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
19;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,349;Q2;54;81;331;1803;235;286;0,76;22,26;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
20;18349;"South African Medical Journal";journal;"02569574, 20785135";0,346;Q2;57;388;1326;2079;309;305;0,23;5,36;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
21;13565;"Revista de Biologia Marina y Oceanografia";journal;"07173326";0,333;Q3;25;20;33;1122;42;33;1,35;56,10;Chile;Latin America;"Universidad de Valparaiso";"1996-2020";"Aquatic Science (Q3); Oceanography (Q3)"
22;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,315;Q1;58;51;175;2876;151;175;0,80;56,39;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2020";"Multidisciplinary (Q1)"
23;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,312;Q2;57;112;362;3011;249;330;0,73;26,88;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q2)"
24;4000151823;"Scientia Agricola";journal;"01039016";0,305;Q3;52;96;343;2243;107;317;0,30;23,36;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3)"
25;16349;"Brazilian Journal of Chemical Engineering";journal;"01046632";0,278;Q2;52;66;173;1085;81;171;0,42;16,44;Brazil;Latin America;"Association Brasiliera de Eng. Quimica / Braz. Soc. Chem. Eng.";"1995-2020";"Chemical Engineering (miscellaneous) (Q2)"
26;24371;"Brazilian Dental Journal";journal;"01036440";0,275;Q3;50;44;130;826;76;130;0,41;18,77;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q3)"
27;14224;"Arquivos de Neuro-Psiquiatria";journal;"16784227, 0004282X";0,272;Q3;48;216;634;4804;411;624;0,58;22,24;Brazil;Latin America;"Arquivos de Neuro-Psiquiatria";"1945-1965, 1971-2020";"Biological Psychiatry (Q3); Neurology (clinical) (Q3)"
28;24740;"Latin American Applied Research";journal;"03270793";0,265;Q2;23;49;172;996;44;169;0,29;20,33;Argentina;Latin America;"PLAPIQUI Planta Piloto de Ingenieria Quimica, CONICET / Universidad Nacional del Sur";"1996-2020";"Chemical Engineering (miscellaneous) (Q2); Mechanical Engineering (Q2); Chemistry (miscellaneous) (Q3)"
29;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,261;Q3;56;181;606;3882;147;605;0,23;21,45;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3)"
30;4300151406;"Revista Brasileira de Entomologia";journal;"00855626, 18069665";0,259;Q4;31;14;1;771;3;1;3,00;55,07;Brazil;Latin America;"Sociedade Brasileira de Entomologia";"2003, 2005-2020";"Insect Science (Q4)"
