Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2014);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";1,349;Q2;34;34;89;1488;178;89;2,63;43,76;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";0,947;Q1;30;60;269;1860;396;269;0,78;31,00;Brazil;Latin America;"Federal University of Lavras";"2007-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1); Soil Science (Q1); Veterinary (miscellaneous) (Q1)"
3;19700202606;"Andean Geology";journal;"07187092, 07187106";0,911;Q1;36;26;76;2091;145;74;1,93;80,42;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q1); Paleontology (Q1); Stratigraphy (Q1); Geochemistry and Petrology (Q2)"
4;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,893;Q1;51;190;570;7183;646;529;0,90;37,81;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
5;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,780;Q2;89;166;613;6674;1124;596;1,65;40,20;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
6;38551;"Annals of Hepatology";journal;"16652681";0,766;Q2;53;123;372;4422;752;328;1,98;35,95;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Hepatology (Q2); Medicine (miscellaneous) (Q2)"
7;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,760;Q2;53;78;301;2709;448;201;1,54;34,73;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
8;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,752;Q2;77;319;831;8639;1161;723;1,22;27,08;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
9;16900154709;"Revista Ciencia Agronomica";journal;"00456888, 18066690";0,749;Q1;26;120;340;3224;346;340;0,86;26,87;Brazil;Latin America;"Universidade Federal do Ceara";"2008-2020";"Agronomy and Crop Science (Q1); Horticulture (Q1); Soil Science (Q2)"
10;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,713;Q2;46;378;1274;12671;1473;1175;1,05;33,52;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
11;21100268426;"Journal of Seed Science";journal;"23171537";0,694;Q1;27;52;226;1391;193;218;0,76;26,75;Brazil;Latin America;"Associacao Brasileira de Tecnologia de Sementes";"2013-2020";"Agronomy and Crop Science (Q1)"
12;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,665;Q1;56;120;662;3037;633;645;0,75;25,31;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q2)"
13;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,663;Q1;28;61;220;1846;260;220;1,24;30,26;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q1)"
