Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2003);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,628;Q2;34;28;67;821;71;67;0,90;29,32;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;24880;"South African Journal of Science";journal;"03708462, 00382353";0,592;Q1;61;141;423;3561;367;392;0,78;25,26;South Africa;Africa;"National Research Foundation";"1973-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
3;19375;"Water S.A.";journal;"18167950, 03784738";0,527;Q2;59;69;208;1596;131;205;0,54;23,13;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q2); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
4;13260;"Biological Research";journal;"07176287, 07169760";0,484;Q2;55;37;113;1425;97;103;0,94;38,51;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
5;19700202606;"Andean Geology";journal;"07187092, 07187106";0,438;Q2;36;20;43;830;29;43;0,57;41,50;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
6;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,438;Q2;39;53;127;2318;63;127;0,51;43,74;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
7;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,401;Q2;89;216;712;6302;583;711;0,85;29,18;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
8;25953;"Dados";journal;"16784588, 00115258";0,387;Q2;26;25;69;888;21;69;0,30;35,52;Brazil;Latin America;"Inst. Univ. de Pesquisas do Rio de Janeiro";"1996-2020";"Social Sciences (miscellaneous) (Q2)"
9;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,381;Q2;88;224;577;6379;579;575;0,86;28,48;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
10;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,364;Q2;49;72;201;1766;187;192;0,79;24,53;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
11;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,363;Q2;35;37;126;911;66;126;0,60;24,62;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
12;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,341;Q2;39;57;66;2647;43;65;0,65;46,44;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
13;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,331;Q2;31;32;157;542;66;148;0,32;16,94;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
14;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,318;Q3;52;135;298;2546;162;282;0,49;18,86;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
15;13567;"Revista de Biologia Tropical";journal;"00347744";0,317;Q2;38;128;415;4882;118;414;0,27;38,14;Costa Rica;Latin America;"Universidad de Costa Rica";"1969-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
16;16349;"Brazilian Journal of Chemical Engineering";journal;"01046632";0,316;Q2;52;54;197;851;64;196;0,35;15,76;Brazil;Latin America;"Association Brasiliera de Eng. Quimica / Braz. Soc. Chem. Eng.";"1995-2020";"Chemical Engineering (miscellaneous) (Q2)"
17;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,316;Q2;70;134;322;4737;297;317;0,92;35,35;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
