Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2009);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100211763;"Boletin de la Sociedad Argentina de Botanica";journal;"18512372, 0373580X";1,137;Q1;14;26;87;658;30;87;0,30;25,31;Argentina;Latin America;"Sociedad Argentina de Botanica";"2006-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
2;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,791;Q2;34;23;88;760;90;88;1,08;33,04;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
3;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,767;Q1;77;182;585;3122;721;516;1,09;17,15;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)"
4;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,749;Q1;89;238;570;9943;1134;557;2,23;41,78;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
5;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,710;Q2;77;323;1068;9242;1182;976;0,89;28,61;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
6;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,708;Q1;46;249;576;4604;405;478;0,55;18,49;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
7;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,648;Q2;52;106;380;2769;552;285;1,30;26,12;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
8;4000148010;"Clinics";journal;"19805322, 18075932";0,620;Q2;61;210;381;4912;558;273;1,37;23,39;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
9;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,574;Q2;51;223;484;7728;440;482;0,76;34,65;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q2); Soil Science (Q2)"
10;4000151823;"Scientia Agricola";journal;"01039016";0,545;Q2;52;113;284;3128;304;281;0,98;27,68;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
11;4500151524;"Acta Ortopedica Brasileira";journal;"14137852";0,528;Q1;19;54;176;1099;105;176;0,75;20,35;Brazil;Latin America;"Sociedade Brasileira de Ortopedia e Traumatologia";"2006-2020";"Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)"
12;13260;"Biological Research";journal;"07176287, 07169760";0,523;Q2;55;51;168;1617;234;160;0,83;31,71;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
13;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,523;Q2;56;239;729;6089;625;729;0,77;25,48;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
14;19375;"Water S.A.";journal;"18167950, 03784738";0,518;Q2;59;97;276;2967;277;273;0,97;30,59;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q2); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
15;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,493;Q2;53;104;328;2719;374;195;0,99;26,14;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
16;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,493;Q2;57;155;306;4963;369;283;0,99;32,02;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q2)"
17;38551;"Annals of Hepatology";journal;"16652681";0,486;Q2;53;88;202;2726;278;178;1,53;30,98;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
18;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,485;Q3;32;63;213;1872;150;193;0,68;29,71;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Epidemiology (Q3)"
19;5200153106;"Neotropical Ichthyology";journal;"16796225";0,481;Q3;40;82;185;3212;233;184;1,02;39,17;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q3)"
20;4400151728;"Revista Mexicana de Ciencias Geologicas";journal;"10268774";0,475;Q2;35;55;107;3096;170;102;1,36;56,29;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Geology (Q2)"
21;19700201507;"Zoologia";journal;"19844689, 19844670";0,474;Q2;32;103;403;3341;308;403;0,59;32,44;Brazil;Latin America;"Sociedade Brasileira de Zoologia";"2009-2020";"Animal Science and Zoology (Q2)"
22;18349;"South African Medical Journal";journal;"02569574, 20785135";0,469;Q2;57;248;1036;2334;489;522;0,51;9,41;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
23;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,459;Q2;39;124;176;5031;134;173;0,79;40,57;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
24;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,457;Q3;52;153;452;3453;435;436;0,77;22,57;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
25;14578;"Ecologia Austral";journal;"03275477, 1667782X";0,441;Q2;30;28;75;959;55;73;0,59;34,25;Argentina;Latin America;"Asociacion Argentina de Ecologia";"1991, 1993-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
26;4700152458;"Iheringia - Serie Zoologia";journal;"00734721";0,435;Q2;27;66;211;2179;135;210;0,60;33,02;Brazil;Latin America;"Fundacao Zoobotanica do Rio Grande do Sul";"2001-2002, 2006-2020";"Animal Science and Zoology (Q2)"
27;101441;"Engenharia Agricola";journal;"01006916";0,426;Q2;27;70;260;1416;107;260;0,42;20,23;Brazil;Latin America;"Sociedade Brasileira de Engenharia Agricola";"1981, 2006-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
28;29389;"Revista Latino-Americana de Enfermagem";journal;"01041169";0,425;Q2;36;150;464;2414;374;439;0,75;16,09;Brazil;Latin America;"University of Sao Paulo, Ribeirao Preto College of Nursing Organisation";"1993-2020";"Nursing (miscellaneous) (Q2)"
29;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,424;Q1;88;182;568;5940;824;564;1,29;32,64;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Cell Biology (Q4); Physiology (Q4)"
30;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,421;Q2;47;128;282;5269;258;281;0,63;41,16;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q2)"
31;4700152859;"Maderas: Ciencia y Tecnologia";journal;"07173644, 0718221X";0,421;Q1;26;20;70;415;27;69;0,40;20,75;Chile;Latin America;"Universidade Federal de Sao Carlos";"2001-2002, 2006-2020";"Industrial and Manufacturing Engineering (Q1); Chemical Engineering (miscellaneous) (Q2); Forestry (Q2); Materials Science (miscellaneous) (Q2)"
32;19700202606;"Andean Geology";journal;"07187092, 07187106";0,419;Q2;36;18;47;804;40;47;0,81;44,67;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
33;4700152203;"Revista Brasileira de Saude Materno Infantil";journal;"15193829";0,417;Q2;20;50;178;1307;105;165;0,46;26,14;Brazil;Latin America;"Instituto Materno Infantil Professor Fernando Figueira";"2002, 2005-2020";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2); Public Health, Environmental and Occupational Health (Q2)"
34;19917;"Revista Brasileira de Medicina do Esporte";journal;"15178692";0,414;Q2;28;90;251;3066;148;246;0,63;34,07;Brazil;Latin America;"Redprint Editora Ltda";"2003-2020";"Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q3)"
35;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366, 18071929";0,413;Q2;35;119;310;2753;161;310;0,47;23,13;Brazil;Latin America;"Departamento de Engenharia Agricola - UFCG/Cnpq";"2006-2020";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
36;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,409;Q2;28;100;100;2307;126;100;1,26;23,07;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q2)"
37;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,406;Q2;70;257;678;9581;1066;658;1,47;37,28;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
38;4900153106;"Revista Cubana de Salud Publica";journal;"08643466";0,403;Q2;13;42;143;850;42;132;0,23;20,24;Cuba;Latin America;"Editorial Ciencias Medicas";"1996-2002, 2006-2020";"Public Health, Environmental and Occupational Health (Q2)"
39;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,401;Q2;49;65;232;2010;281;225;1,11;30,92;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
40;21100268426;"Journal of Seed Science";journal;"23171537";0,397;Q2;27;102;246;2552;160;246;0,46;25,02;Brazil;Latin America;"Associacao Brasileira de Tecnologia de Sementes";"2013-2020";"Agronomy and Crop Science (Q2)"
41;4300151410;"Revista Arvore";journal;"01006762";0,393;Q2;30;120;324;3043;193;324;0,36;25,36;Brazil;Latin America;"Sociedade de Investigacoes Florestais";"2006-2020";"Forestry (Q2)"
42;24371;"Brazilian Dental Journal";journal;"01036440";0,389;Q2;50;74;192;1429;178;191;0,69;19,31;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q2)"
43;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,388;Q2;39;44;132;2183;132;129;0,78;49,61;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
44;4700152250;"Revista Brasileira de Ciencias Sociais";journal;"01026909";0,382;Q2;16;34;111;1290;30;103;0,18;37,94;Brazil;Latin America;"Associacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS";"2006-2021";"Social Sciences (miscellaneous) (Q2)"
45;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";0,374;Q2;53;150;427;4924;346;383;0,71;32,83;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
46;18625;"Koedoe";journal;"20710771, 00756458";0,373;Q2;29;7;40;269;27;39;0,90;38,43;South Africa;Africa;"AOSIS (Pty) Ltd";"1980-1984, 1987-2006, 2008-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
47;18825;"Sao Paulo Medical Journal";journal;"15163180, 18069460";0,373;Q2;40;75;238;1890;230;203;0,78;25,20;Brazil;Latin America;"Associacao Paulista de Medicina";"1994-2020";"Medicine (miscellaneous) (Q2)"
48;6300153121;"Journal of Theoretical and Applied Electronic Commerce Research";journal;"07181876";0,369;Q2;30;24;53;956;97;47;1,83;39,83;Chile;Latin America;"Universidad de Talca";"2007-2020";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q3)"
49;33067;"Arquivos Brasileiros de Cardiologia";journal;"0066782X";0,364;Q3;53;277;692;7044;649;644;0,99;25,43;Brazil;Latin America;"Arquivos Brasileiros de Cardiologia";"1950-2020";"Cardiology and Cardiovascular Medicine (Q3)"
50;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";0,358;Q2;30;278;400;5651;212;400;0,53;20,33;Brazil;Latin America;"Federal University of Lavras";"2007-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Food Science (Q2); Veterinary (miscellaneous) (Q2); Soil Science (Q3)"
51;4500151501;"Planta Daninha";journal;"01008358";0,358;Q2;31;127;300;3141;379;300;1,26;24,73;Brazil;Latin America;"Sociedade Brasileira da Ciencia das Plantas Daninhas";"2006-2020";"Agronomy and Crop Science (Q2); Biochemistry (Q3); Plant Science (Q3); Physiology (Q4)"
52;18748;"Acta Amazonica";journal;"00445967";0,356;Q2;30;120;256;3360;154;256;0,42;28,00;Brazil;Latin America;"Instituto Nacional de Pesquisas da Amazonia";"1979, 2006-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
53;28002;"Revista de Nutricao";journal;"14155273";0,351;Q2;36;81;215;2663;121;210;0,42;32,88;Brazil;Latin America;"";"2000-2020";"Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
