Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;22596;"Revista de Saude Publica";journal;"00348910, 15188787";1,225;Q1;77;156;509;3182;845;479;1,57;20,40;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
2;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,988;Q1;77;283;958;8719;1360;888;1,11;30,81;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
3;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,841;Q2;32;83;224;2301;201;213;0,63;27,72;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Epidemiology (Q2)"
4;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,817;Q1;89;208;573;7968;1374;564;2,48;38,31;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
5;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,719;Q1;51;213;639;7468;719;626;0,89;35,06;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
6;19200157040;"Ciencia e Agrotecnologia";journal;"14137054, 19811829";0,686;Q1;30;144;762;3321;550;762;0,56;23,06;Brazil;Latin America;"Federal University of Lavras";"2007-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1); Veterinary (miscellaneous) (Q1); Soil Science (Q2)"
7;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,683;Q1;28;100;300;2448;225;300;0,53;24,48;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q1)"
8;4000148010;"Clinics";journal;"19805322, 18075932";0,675;Q2;61;381;595;11682;1152;460;2,00;30,66;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
9;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,652;Q2;53;101;328;2706;413;198;0,96;26,79;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
10;5200153106;"Neotropical Ichthyology";journal;"16796225";0,648;Q2;40;91;230;3411;325;227;1,27;37,48;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q2)"
