Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100853560;"African Journal of Disability";journal;"22267220, 22239170";1,463;Q1;8;0;7;0;37;6;5,29;0,00;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2020";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
2;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";1,172;Q1;89;124;434;3682;1136;422;2,89;29,69;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
3;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,823;Q1;39;80;235;2860;544;235;2,46;35,75;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q2)"
4;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,817;Q2;45;124;391;2919;654;316;1,65;23,54;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q2); Microbiology (medical) (Q2)"
5;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,807;Q2;77;164;340;1044;604;330;1,52;6,37;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
6;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,803;Q2;53;76;209;2171;376;153;1,68;28,57;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
7;4500151538;"Revista Brasileira de Parasitologia Veterinaria";journal;"0103846X";0,775;Q1;31;80;248;2907;425;231;1,38;36,34;Brazil;Latin America;"BRAZILIAN COLL VETERINARY PARASITOLOGY";"2005-2020";"Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
8;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";0,755;Q1;21;11;32;717;83;32;2,76;65,18;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2020";"Law (Q1); Applied Psychology (Q2)"
9;21100200424;"Rodriguesia";journal;"03706583, 21757860";0,734;Q1;32;172;287;4567;494;281;1,91;26,55;Brazil;Latin America;"Rio de Janeiro Botanical Garden";"1980-1981, 1984-1985, 1989, 1999-2020";"Horticulture (Q1); Plant Science (Q2)"
10;21100824974;"African Journal of Laboratory Medicine";journal;"22252002, 22252010";0,718;Q1;11;10;69;178;50;61;0,58;17,80;South Africa;Africa;"AOSIS (Pty) Ltd";"2014, 2016-2020";"Medical Laboratory Technology (Q1); Clinical Biochemistry (Q2); Public Health, Environmental and Occupational Health (Q2)"
11;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,704;Q2;52;104;296;3074;547;286;1,68;29,56;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
12;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,679;Q1;51;81;471;3608;589;454;0,98;44,54;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
13;19700202606;"Andean Geology";journal;"07187092, 07187106";0,674;Q1;36;15;62;1083;90;62;1,33;72,20;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Paleontology (Q1); Geochemistry and Petrology (Q2); Geology (Q2); Stratigraphy (Q2)"
14;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,669;Q2;49;92;306;2839;479;281;1,54;30,86;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
15;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,658;Q2;52;166;481;3828;649;434;1,37;23,06;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Microbiology (medical) (Q2); Infectious Diseases (Q3); Parasitology (Q3)"
