Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";1,203;Q2;34;31;91;1361;196;91;0,41;43,90;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";1,137;Q1;89;123;511;4005;1277;502;2,81;32,56;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
3;22596;"Revista de Saude Publica";journal;"00348910, 15188787";1,067;Q1;77;114;394;1297;767;372;1,63;11,38;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
4;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";1,029;Q2;53;65;244;2004;512;175;1,86;30,83;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
5;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";0,955;Q1;21;11;31;472;82;31;2,52;42,91;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2020";"Law (Q1); Applied Psychology (Q2)"
6;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,917;Q1;52;106;282;3243;616;274;2,03;30,59;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q1)"
7;19500157320;"Acta Scientiarum - Agronomy";journal;"18078621, 16799275";0,888;Q1;28;60;181;1756;335;180;0,76;29,27;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2021";"Agronomy and Crop Science (Q1)"
8;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,877;Q2;54;110;428;2438;497;328;0,88;22,16;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
9;19700202606;"Andean Geology";journal;"07187092, 07187106";0,850;Q1;36;14;77;935;153;75;1,35;66,79;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Paleontology (Q1); Geochemistry and Petrology (Q2); Geology (Q2); Stratigraphy (Q2)"
10;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,782;Q2;77;261;905;5789;1092;756;1,08;22,18;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
11;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,750;Q1;39;80;235;2825;463;235;1,72;35,31;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q1); Plant Science (Q2); Soil Science (Q2)"
12;17300154961;"MEDICC Review";journal;"15273172, 15557960";0,744;Q2;21;38;160;876;150;98;1,02;23,05;United States;Northern America;"MEDICC Medical Education Cooperation with Cuba";"2009-2020";"Medicine (miscellaneous) (Q2)"
13;17700154930;"Missionalia";journal;"02569507";0,725;Q1;9;22;73;772;21;65;0,26;35,09;South Africa;Africa;"Southern African Missiological Society";"2002-2005, 2007-2018";"Religious Studies (Q1)"
14;38551;"Annals of Hepatology";journal;"16652681";0,679;Q2;53;128;387;3687;658;335;1,62;28,80;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
15;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,676;Q2;45;131;403;2870;552;327;1,31;21,91;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Microbiology (medical) (Q2); Infectious Diseases (Q3)"
16;5200153106;"Neotropical Ichthyology";journal;"16796225";0,656;Q2;40;68;236;3220;341;236;1,26;47,35;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q2)"
17;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,648;Q3;55;77;235;3494;389;233;1,36;45,38;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q3); Molecular Biology (Q3)"
18;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,617;Q2;51;103;538;4152;535;517;0,89;40,31;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q2); Soil Science (Q2)"
19;21100200424;"Rodriguesia";journal;"03706583, 21757860";0,616;Q1;32;133;218;3980;339;214;1,81;29,92;Brazil;Latin America;"Rio de Janeiro Botanical Garden";"1980-1981, 1984-1985, 1989, 1999-2020";"Horticulture (Q1); Plant Science (Q2)"
20;4000148010;"Clinics";journal;"19805322, 18075932";0,604;Q2;61;125;572;3855;995;529;1,34;30,84;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
21;21100211740;"Floresta e Ambiente";journal;"21798087, 14150980";0,602;Q1;12;65;184;2033;117;184;0,59;31,28;Brazil;Latin America;"Universidade Federal Rural do Rio de Janeiro, Instituto de Florestas";"2012-2021";"Forestry (Q1)"
22;4500151538;"Revista Brasileira de Parasitologia Veterinaria";journal;"0103846X";0,597;Q2;31;81;244;2900;349;234;1,44;35,80;Brazil;Latin America;"BRAZILIAN COLL VETERINARY PARASITOLOGY";"2005-2020";"Veterinary (miscellaneous) (Q2); Parasitology (Q3)"
23;5000153602;"Pesquisa Operacional";journal;"01017438";0,587;Q2;18;29;92;1158;70;90;0,81;39,93;Brazil;Latin America;"Sociedade Brasileira de Pesquisa Operacional";"2006-2020";"Management Science and Operations Research (Q2)"
24;13260;"Biological Research";journal;"07176287, 07169760";0,575;Q2;55;45;201;2306;418;197;2,05;51,24;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
25;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,575;Q1;88;151;453;4497;734;453;1,77;29,78;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
26;4000152107;"Journal of Venomous Animals and Toxins Including Tropical Diseases";journal;"16789199";0,575;Q2;30;37;120;1346;207;113;1,69;36,38;United Kingdom;Western Europe;"Centro de Estudos de Venenos e Animais Peconhentos";"2006-2020";"Animal Science and Zoology (Q2); Infectious Diseases (Q3); Parasitology (Q3); Toxicology (Q3)"
27;4700152859;"Maderas: Ciencia y Tecnologia";journal;"07173644, 0718221X";0,571;Q1;26;84;138;2421;245;132;1,69;28,82;Chile;Latin America;"Universidade Federal de Sao Carlos";"2001-2002, 2006-2020";"Forestry (Q1); Industrial and Manufacturing Engineering (Q1); Chemical Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2)"
28;4500151503;"Jornal Brasileiro de Pneumologia";journal;"18063713, 18063756";0,566;Q2;39;110;320;2059;364;223;1,13;18,72;Brazil;Latin America;"Sociedade Brasileira de Pneumologia e Tisiologia";"2004-2020";"Pulmonary and Respiratory Medicine (Q2)"
