Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";2,021;Q1;21;10;31;607;211;31;8,95;60,70;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2020";"Applied Psychology (Q1); Law (Q1)"
2;21100378340;"Psychosocial Intervention";journal;"11320559, 21734712";1,159;Q1;21;18;57;1105;255;57;5,22;61,39;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2011-2020";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Social Psychology (Q1)"
3;13260;"Biological Research";journal;"07176287, 07169760";1,127;Q1;55;54;160;2740;824;159;5,09;50,74;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
4;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";1,123;Q2;34;24;108;980;456;108;2,13;40,83;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
5;93433;"Southern African Journal of HIV Medicine";journal;"16089693";0,859;Q2;18;58;83;1758;157;79;1,23;30,31;South Africa;Africa;"AOSIS (Pty) Ltd";"2001-2020";"Infectious Diseases (Q2)"
6;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,857;Q2;77;160;405;3333;921;398;1,77;20,83;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
7;52142;"Pesquisa odontologica brasileira = Brazilian oral research";journal;"15177491";0,847;Q1;45;135;361;4187;961;357;2,30;31,01;Brazil;Latin America;"University of Sao Paolo";"2001-2020";"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
8;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,839;Q2;89;98;327;3452;812;321;2,41;35,22;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
9;21100399153;"Boletin del Museo Chileno de Arte Precolombino";journal;"07161530, 07186894";0,830;Q1;6;25;52;1310;42;45;0,32;52,40;Chile;Latin America;"Museo Chileno de Arte Precolombino";"2014-2020";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Visual Arts and Performing Arts (Q1)"
10;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,808;Q2;53;133;260;4092;516;183;1,79;30,77;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
11;4000152106;"Journal of Applied Oral Science";journal;"16787757, 16787765";0,754;Q1;44;92;281;2926;703;277;2,36;31,80;Brazil;Latin America;"Faculdade de Odontologia de Bauru";"2006-2020";"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
12;15162;"Eure";journal;"07176236, 02507161";0,728;Q1;27;40;123;1676;140;116;1,17;41,90;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1979, 1982, 1996-1998, 2001-2020";"Urban Studies (Q1)"
13;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,708;Q1;39;240;251;13471;920;251;3,57;56,13;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q1); Plant Science (Q2); Soil Science (Q2)"
14;38551;"Annals of Hepatology";journal;"16652681";0,705;Q2;53;111;423;4401;912;378;1,94;39,65;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
15;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,702;Q2;46;471;1251;17085;1742;1181;1,18;36,27;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
16;19700202606;"Andean Geology";journal;"07187092, 07187106";0,697;Q1;36;27;67;2042;158;66;2,29;75,63;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Paleontology (Q1); Geochemistry and Petrology (Q2); Geology (Q2); Stratigraphy (Q2)"
17;21100229216;"Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery";journal;"01026720, 23176326";0,692;Q2;16;68;214;1716;370;202;1,80;25,24;Brazil;Latin America;"Colegio Brasileiro de Cirurgia Digestiva";"2012-2020";"Medicine (miscellaneous) (Q2); Surgery (Q2); Gastroenterology (Q3)"
18;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,687;Q2;32;121;260;3590;461;241;1,27;29,67;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3)"
19;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,671;Q3;45;94;284;2381;539;253;1,66;25,33;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3)"
20;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,668;Q2;54;150;430;3212;507;284;1,31;21,41;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q2)"
21;21100203104;"African Journal of Primary Health Care and Family Medicine";journal;"20712936, 20712928";0,654;Q1;20;115;241;2564;409;230;1,45;22,30;South Africa;Africa;"AOSIS (Pty) Ltd";"2009-2020";"Family Practice (Q1); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
22;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,645;Q2;52;153;311;4803;690;299;1,86;31,39;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
23;130143;"Brazilian Journal of Microbiology";journal;"15178382";0,643;Q3;64;228;411;9704;1197;408;2,40;42,56;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Microbiology (Q3)"
24;21100199539;"Politica Criminal";journal;"07183399";0,637;Q1;7;26;95;1580;44;95;0,38;60,77;Chile;Latin America;"Centro de Estudios de Derecho Penal de la Universidad de Talca";"2009-2020";"Law (Q1); Sociology and Political Science (Q1)"
25;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,633;Q2;77;309;869;8913;1250;746;1,29;28,84;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
26;21100872043;"Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil";journal;"22379622, 16794974";0,620;Q2;15;131;220;0;381;215;1,20;0,00;Brazil;Latin America;"Secretaria de Vigilancia em Saude do Ministerio da Saude";"2016-2020";"Medicine (miscellaneous) (Q2)"
27;4000148010;"Clinics";journal;"19805322, 18075932";0,618;Q2;61;221;409;4071;875;391;2,07;18,42;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
28;24371;"Brazilian Dental Journal";journal;"01036440";0,616;Q2;50;90;282;2558;498;281;1,69;28,42;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q2)"
29;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,613;Q2;88;147;487;5061;1208;487;2,38;34,43;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry (Q3); Cell Biology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Immunology (Q4)"
30;4700152701;"Pharmacy Practice";journal;"1885642X, 18863655";0,608;Q1;24;82;170;3164;396;164;1,95;38,59;Spain;Western Europe;"Centro de Investigaciones y Publicaciones Farmaceuticas";"2006-2020";"Pharmacy (Q1); Pharmaceutical Science (Q2)"
31;13302;"Arquivos Brasileiros de Oftalmologia";journal;"16782925, 00042749";0,603;Q2;29;115;314;2177;256;234;0,71;18,93;Brazil;Latin America;"Conselho Brasileiro De Oftalmologia";"1945, 1949, 1960-1977, 1979-1994, 2000-2020";"Medicine (miscellaneous) (Q2); Ophthalmology (Q3)"
32;4800156305;"Crop Breeding and Applied Biotechnology";journal;"15187853";0,601;Q2;23;66;202;1566;303;179;1,31;23,73;Brazil;Latin America;"Brazilian Society of Plant Breeding";"2006-2020";"Agronomy and Crop Science (Q2); Biotechnology (Q2)"
33;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,594;Q2;49;103;241;2382;413;225;1,50;23,13;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
34;5200153106;"Neotropical Ichthyology";journal;"16796225";0,593;Q2;40;59;180;3196;336;180;1,77;54,17;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Animal Science and Zoology (Q2); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
35;21100201082;"Trends in Psychiatry and Psychotherapy";journal;"22380019, 22376089";0,589;Q2;16;52;140;1669;253;137;1,50;32,10;Brazil;Latin America;"Associacao de Psiquiatria do Rio Grande do Sul";"2011-2020";"Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)"
36;21100422060;"Archives of endocrinology and metabolism";journal;"23593997, 23594292";0,582;Q3;50;117;286;3565;586;253;1,83;30,47;Brazil;Latin America;"Segmento Farma Editores";"2015-2020";"Endocrinology, Diabetes and Metabolism (Q3)"
37;19200156918;"Anales de Psicologia";journal;"16952294, 02129728";0,578;Q2;31;60;211;3257;512;211;2,10;54,28;Spain;Western Europe;"Universidad de Murcia Servicio de Publicaciones";"2008-2020";"Psychology (miscellaneous) (Q2)"
38;21100197910;"Dental Press Journal of Orthodontics";journal;"21776709, 21769451";0,570;Q2;22;61;210;1385;345;182;1,11;22,70;Brazil;Latin America;"Dental Press Editora Ltda";"2010-2020";"Oral Surgery (Q2); Orthodontics (Q2)"
39;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,563;Q2;35;20;85;946;171;85;1,67;47,30;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
40;6300153121;"Journal of Theoretical and Applied Electronic Commerce Research";journal;"07181876";0,556;Q2;30;35;50;2474;191;42;4,25;70,69;Chile;Latin America;"Universidad de Talca";"2007-2020";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2)"
41;11900154360;"Revista INVI";journal;"07181299, 07188358";0,556;Q1;12;25;62;898;54;62;0,54;35,92;Chile;Latin America;"Instituto de la Vivienda";"2008-2020";"Architecture (Q1); Urban Studies (Q2)"
42;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,549;Q3;55;165;276;8693;577;269;1,57;52,68;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q3); Molecular Biology (Q4)"
43;4000151823;"Scientia Agricola";journal;"01039016";0,549;Q2;52;133;194;4970;420;184;2,18;37,37;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
44;19700172802;"Dementia e Neuropsychologia";journal;"19805764";0,540;Q3;21;64;183;2101;310;176;1,66;32,83;Brazil;Latin America;"Academia Brasileira de Neurologia";"2009-2020";"Cognitive Neuroscience (Q3); Geriatrics and Gerontology (Q3); Neurology (Q3); Neurology (clinical) (Q3); Sensory Systems (Q4)"
45;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,535;Q2;31;27;70;686;121;70;1,38;25,41;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
46;5100152922;"Revista de Ciencia Politica";journal;"07161417";0,534;Q1;18;28;77;1718;85;75;1,02;61,36;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2002, 2006-2020";"Political Science and International Relations (Q1)"
47;21100349558;"Animal Reproduction";journal;"19843143, 18069614";0,531;Q2;12;58;223;2917;348;219;1,59;50,29;Brazil;Latin America;"Colegio Brasileiro de Reproducao Animal";"2014-2020";"Animal Science and Zoology (Q2); Veterinary (miscellaneous) (Q2)"
48;4700152859;"Maderas: Ciencia y Tecnologia";journal;"07173644, 0718221X";0,529;Q2;26;60;163;2131;300;161;1,64;35,52;Chile;Latin America;"Universidade Federal de Sao Carlos";"2001-2002, 2006-2020";"Chemical Engineering (miscellaneous) (Q2); Forestry (Q2); Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2)"
49;4500151503;"Jornal Brasileiro de Pneumologia";journal;"18063713, 18063756";0,527;Q3;39;151;344;2919;457;198;1,20;19,33;Brazil;Latin America;"Sociedade Brasileira de Pneumologia e Tisiologia";"2004-2020";"Pulmonary and Respiratory Medicine (Q3)"
50;18349;"South African Medical Journal";journal;"02569574, 20785135";0,527;Q3;57;333;801;5640;836;621;1,00;16,94;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q3)"
51;21100865207;"Advances in Rheumatology";journal;"25233106";0,524;Q3;27;49;239;1787;440;232;1,95;36,47;United Kingdom;Western Europe;"BioMed Central Ltd.";"2018-2020";"Rheumatology (Q3)"
52;14578;"Ecologia Austral";journal;"03275477, 1667782X";0,517;Q2;30;42;138;2077;203;135;1,68;49,45;Argentina;Latin America;"Asociacion Argentina de Ecologia";"1991, 1993-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
53;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366, 18071929";0,517;Q2;35;125;431;3204;550;431;1,14;25,63;Brazil;Latin America;"Departamento de Engenharia Agricola - UFCG/Cnpq";"2006-2020";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
54;4000152107;"Journal of Venomous Animals and Toxins Including Tropical Diseases";journal;"16789199";0,510;Q2;30;47;109;2685;359;106;2,71;57,13;United Kingdom;Western Europe;"Centro de Estudos de Venenos e Animais Peconhentos";"2006-2020";"Animal Science and Zoology (Q2); Infectious Diseases (Q3); Parasitology (Q3); Toxicology (Q3)"
55;5800169849;"Colombia Internacional";journal;"01215612";0,505;Q1;7;29;90;1751;79;88;0,86;60,38;Colombia;Latin America;"Universidad de los Andes";"2011-2020";"History (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
56;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,505;Q2;51;44;182;2201;316;181;1,60;50,02;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q2); Soil Science (Q2)"
57;4000151814;"Radiologia Brasileira";journal;"01003984";0,503;Q3;17;81;358;1531;339;170;0,91;18,90;Brazil;Latin America;"Colegio Brasileiro de Radiologia";"2006-2020";"Radiology, Nuclear Medicine and Imaging (Q3)"
58;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,503;Q3;52;276;563;5060;791;483;1,20;18,33;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
59;19900191915;"Intersecciones en Antropologia";journal;"16662105, 1850373X";0,500;Q1;11;17;54;716;57;54;0,96;42,12;Argentina;Latin America;"Universidad Nacional del Centro de la Provincia de Buenos Aires";"2010-2019";"Anthropology (Q1)"
60;14730;"Revista Latinoamericana de Psicologia";journal;"01200534";0,497;Q2;27;16;66;917;120;63;1,29;57,31;Colombia;Latin America;"Konrad Lorenz Editores";"1980, 1984, 1992, 1996-2020";"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
61;21100824974;"African Journal of Laboratory Medicine";journal;"22252002, 22252010";0,490;Q2;11;42;70;1021;79;63;1,25;24,31;South Africa;Africa;"AOSIS (Pty) Ltd";"2014, 2016-2020";"Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3); Public Health, Environmental and Occupational Health (Q3)"
62;4700152300;"Brazilian Journal of Otorhinolaryngology";journal;"18088694, 18088686";0,488;Q3;33;269;401;6348;549;364;1,19;23,60;Brazil;Latin America;"Elsevier Editora Ltda";"2005-2020";"Otorhinolaryngology (Q3)"
63;4500151502;"Food Science and Technology";journal;"01012061, 1678457X";0,488;Q2;43;240;518;8692;1053;518;1,76;36,22;Brazil;Latin America;"Sociedade Brasileira de Ciencia e Tecnologia de Alimentos, SBCTA";"2006-2020";"Food Science (Q2); Biotechnology (Q3)"
64;4500151538;"Revista Brasileira de Parasitologia Veterinaria";journal;"0103846X";0,484;Q2;31;121;281;4457;430;280;1,41;36,83;Brazil;Latin America;"BRAZILIAN COLL VETERINARY PARASITOLOGY";"2005-2020";"Veterinary (miscellaneous) (Q2); Parasitology (Q3)"
65;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";0,479;Q1;16;54;124;3609;86;120;0,36;66,83;Chile;Latin America;"Universidad Catolica del Norte";"2007-2020";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)"
66;19900193855;"Revista de Psicologia del Trabajo y de las Organizaciones";journal;"15765962, 21740534";0,478;Q2;17;21;70;1650;166;70;2,28;78,57;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2011-2019";"Organizational Behavior and Human Resource Management (Q2); Social Psychology (Q3)"
67;4300151406;"Revista Brasileira de Entomologia";journal;"00855626, 18069665";0,477;Q2;31;51;156;1831;218;156;1,23;35,90;Brazil;Latin America;"Sociedade Brasileira de Entomologia";"2003, 2005-2020";"Insect Science (Q2)"
68;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,474;Q2;47;56;221;3103;353;221;1,33;55,41;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q2)"
69;5800219327;"Boletin de Filologia";journal;"07189303, 00679674";0,474;Q1;6;32;67;1695;40;66;0,72;52,97;Chile;Latin America;"Universidad de Chile";"2014-2020";"History (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1)"
70;19400158712;"Chilean Journal of Agricultural Research";journal;"07185820, 07185839";0,474;Q2;31;57;176;2181;305;173;1,80;38,26;Chile;Latin America;"Instituto de Investigaciones Agropecuarias, INIA";"2008-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
71;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";0,472;Q2;53;129;350;4596;486;306;1,36;35,63;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
72;19930;"International braz j urol : official journal of the Brazilian Society of Urology";journal;"16776119, 16775538";0,472;Q3;39;273;602;4215;717;477;1,05;15,44;Brazil;Latin America;"Brazilian Society of Urology";"2002-2020";"Medicine (miscellaneous) (Q3); Urology (Q3)"
73;21100266566;"Brazilian Journal of Geology";journal;"23174692, 23174889";0,468;Q2;19;46;115;3053;181;114;1,44;66,37;Brazil;Latin America;"Sociedade Brasileira de Geologia";"2013-2020";"Earth and Planetary Sciences (miscellaneous) (Q2)"
74;4700152616;"Chungara";journal;"07161182";0,468;Q1;24;32;133;1872;113;126;0,78;58,50;Chile;Latin America;"Universidad de Tarapaca";"2000-2002, 2004, 2006-2020";"Anthropology (Q1); Archeology (Q1)"
75;21100200823;"International Archives of Otorhinolaryngology";journal;"18099777, 18094864";0,468;Q3;17;107;228;2916;304;215;1,19;27,25;United States;Northern America;"Thieme Medical Publishers Inc.";"2011-2020";"Otorhinolaryngology (Q3)"
76;11700154202;"Revista Chilena de Derecho";journal;"07183437, 07160747";0,466;Q1;9;26;118;1171;41;111;0,37;45,04;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2007-2019";"Law (Q1)"
77;24247;"Anais Brasileiros de Dermatologia";journal;"03650596, 18064841";0,461;Q3;44;182;678;3620;941;550;1,22;19,89;Brazil;Latin America;"Elsevier BV";"1963-1977, 1979-1980, 1990-2020";"Dermatology (Q3)"
