Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,761;Q2;34;31;91;1138;67;91;0,89;36,71;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
2;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,759;Q1;89;151;605;4790;993;595;1,49;31,72;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
3;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,670;Q2;77;187;545;3257;677;478;0,95;17,42;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
4;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,598;Q2;77;385;905;10849;998;831;0,89;28,18;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
5;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,582;Q2;57;109;309;3470;433;285;1,20;31,83;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q2)"
6;13260;"Biological Research";journal;"07176287, 07169760";0,572;Q2;55;47;163;1598;201;154;1,23;34,00;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
7;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,541;Q2;53;105;325;2881;331;193;0,97;27,44;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
8;19700202606;"Andean Geology";journal;"07187092, 07187106";0,539;Q2;36;17;46;1024;39;46;0,67;60,24;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Paleontology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3)"
9;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,535;Q2;51;216;375;7046;339;373;0,72;32,62;Brazil;Latin America;"Revista Brasileira de Ciencia do Solo";"2004-2020";"Agronomy and Crop Science (Q2); Soil Science (Q2)"
10;21100211763;"Boletin de la Sociedad Argentina de Botanica";journal;"18512372, 0373580X";0,528;Q2;14;32;55;792;12;55;0,22;24,75;Argentina;Latin America;"Sociedad Argentina de Botanica";"2006-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
11;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,518;Q2;35;41;116;1108;79;116;0,73;27,02;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
12;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,498;Q2;52;113;396;3014;412;297;1,11;26,67;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
13;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,487;Q1;88;174;621;5272;982;618;1,41;30,30;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
14;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,479;Q2;49;76;225;1898;258;220;0,99;24,97;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
15;5200153106;"Neotropical Ichthyology";journal;"16796225";0,471;Q3;40;73;112;2208;103;111;0,92;30,25;Brazil;Latin America;"Sociedade Brasileira de Ictiologia";"2006-2020";"Aquatic Science (Q3)"
16;4400151728;"Revista Mexicana de Ciencias Geologicas";journal;"10268774";0,463;Q2;35;37;102;2153;122;98;1,23;58,19;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Geology (Q2)"
17;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,440;Q2;39;45;140;2332;131;136;0,77;51,82;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
18;18349;"South African Medical Journal";journal;"02569574, 20785135";0,433;Q2;57;285;1139;2397;460;472;0,44;8,41;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
19;19375;"Water S.A.";journal;"18167950, 03784738";0,429;Q2;59;83;271;2640;229;267;0,70;31,81;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2); Applied Microbiology and Biotechnology (Q3)"
20;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,427;Q2;46;253;323;6484;180;274;0,56;25,63;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
21;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,427;Q2;56;240;670;5692;439;669;0,59;23,72;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
22;4000151823;"Scientia Agricola";journal;"01039016";0,422;Q2;52;112;268;3092;203;262;0,67;27,61;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
23;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,415;Q3;52;163;444;3377;397;431;0,84;20,72;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
24;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";0,409;Q1;16;20;14;1044;6;14;0,43;52,20;Chile;Latin America;"Universidad Catolica del Norte";"2007-2020";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1); Anthropology (Q2)"
25;4000148010;"Clinics";journal;"19805322, 18075932";0,394;Q2;61;148;312;4083;327;224;0,89;27,59;Brazil;Latin America;"University of Sao Paolo";"1945-1946, 2005-2020";"Medicine (miscellaneous) (Q2)"
26;60803;"Gaceta Sanitaria";journal;"02139111";0,394;Q2;42;144;330;3393;301;264;0,91;23,56;Spain;Western Europe;"Ediciones Doyma, S.L.";"1987-2020";"Public Health, Environmental and Occupational Health (Q2)"
27;14594;"Social Work/Maatskaplike Werk";journal;"00378054";0,394;Q2;15;35;100;1205;23;99;0,15;34,43;South Africa;Africa;"University of Stellenbosch";"1972-1978, 1994-2020";"Social Work (Q2); Sociology and Political Science (Q2)"
28;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,381;Q2;70;232;669;7467;930;649;1,38;32,19;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
29;38551;"Annals of Hepatology";journal;"16652681";0,376;Q2;53;66;185;2237;222;172;1,19;33,89;Mexico;Latin America;"Mexican Association of Hepatology";"2002-2020";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
30;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,365;Q3;47;105;278;4088;173;276;0,54;38,93;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q3)"
31;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";0,360;Q1;58;64;177;2720;243;177;1,06;42,50;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2020";"Multidisciplinary (Q1)"
32;21100227020;"Latin American Journal of Sedimentology and Basin Analysis";journal;"18514979, 16697316";0,360;Q2;16;9;26;520;13;26;0,25;57,78;Argentina;Latin America;"Asociacion Argentina de Sedimentologia";"2005-2020";"Geology (Q2); Stratigraphy (Q2); Paleontology (Q3)"
33;145331;"Brazilian Archives of Biology and Technology";journal;"15168913";0,357;Q1;49;189;480;5218;338;480;0,49;27,61;Brazil;Latin America;"Instituto de Tecnologia do Parana";"1998-2020";"Multidisciplinary (Q1)"
