Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100853560;"African Journal of Disability";journal;"22267220, 22239170";1,944;Q1;8;34;7;1565;37;6;0,00;46,03;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2020";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
2;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";1,256;Q1;89;117;392;3426;1125;383;2,38;29,28;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
3;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";1,213;Q1;21;10;32;681;126;32;3,95;68,10;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2020";"Applied Psychology (Q1); Law (Q1)"
4;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,995;Q2;34;35;96;1474;308;96;4,25;42,11;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
5;19700175084;"Revista Colombiana de Estadistica";journal;"01201751";0,937;Q2;16;12;65;308;55;61;0,66;25,67;Colombia;Latin America;"Universidad Nacional de Colombia";"2001-2020";"Statistics and Probability (Q2)"
6;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,931;Q1;39;79;235;2859;601;235;2,09;36,19;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q1)"
7;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,920;Q2;45;87;384;2160;697;309;1,78;24,83;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q2); Microbiology (medical) (Q2)"
8;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,890;Q1;77;125;376;3805;702;365;1,57;30,44;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)"
9;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";0,884;Q2;53;79;207;2711;410;148;1,82;34,32;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2020";"Psychiatry and Mental Health (Q2)"
10;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,791;Q3;55;94;238;4621;546;229;2,21;49,16;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q3); Molecular Biology (Q3)"
11;13260;"Biological Research";journal;"07176287, 07169760";0,763;Q1;55;57;156;2840;445;155;2,57;49,82;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
12;21100824974;"African Journal of Laboratory Medicine";journal;"22252002, 22252010";0,762;Q1;11;32;55;919;56;47;1,02;28,72;South Africa;Africa;"AOSIS (Pty) Ltd";"2014, 2016-2020";"Medical Laboratory Technology (Q1); Clinical Biochemistry (Q2); Public Health, Environmental and Occupational Health (Q2)"
13;130143;"Brazilian Journal of Microbiology";journal;"15178382";0,737;Q3;64;162;427;6075;1208;426;3,04;37,50;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Microbiology (Q3)"
14;4000152106;"Journal of Applied Oral Science";journal;"16787757, 16787765";0,722;Q1;44;100;252;1425;502;240;1,64;14,25;Brazil;Latin America;"Faculdade de Odontologia de Bauru";"2006-2020";"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
15;4000152107;"Journal of Venomous Animals and Toxins Including Tropical Diseases";journal;"16789199";0,720;Q1;30;39;130;2104;364;125;3,00;53,95;United Kingdom;Western Europe;"Centro de Estudos de Venenos e Animais Peconhentos";"2006-2020";"Animal Science and Zoology (Q1); Parasitology (Q2); Toxicology (Q2); Infectious Diseases (Q3)"
16;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X, 19805497";0,708;Q3;32;65;274;1909;352;254;1,06;29,37;Brazil;Latin America;"Associacao Brasileira de Pos - Graduacao em Saude Coletiva";"2006-2020";"Epidemiology (Q3)"
17;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,701;Q3;52;172;480;3646;719;434;1,39;21,20;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
18;19700202606;"Andean Geology";journal;"07187092, 07187106";0,696;Q2;36;22;51;1313;89;51;1,79;59,68;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geochemistry and Petrology (Q2); Geology (Q2); Paleontology (Q2); Stratigraphy (Q2)"
19;15096;"Jornal de Pediatria";journal;"16784782, 00217557";0,693;Q2;52;95;306;2615;584;297;1,63;27,53;Brazil;Latin America;"Elsevier Editora Ltda";"1945-1965, 1973-2020";"Pediatrics, Perinatology and Child Health (Q2)"
