Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2000);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,465;Q3;34;18;51;571;32;51;0,87;31,72;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
2;26806;"Ciencias Marinas";journal;"01853880";0,463;Q3;29;34;105;943;45;105;0,40;27,74;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q3)"
3;19700202606;"Andean Geology";journal;"07187092, 07187106";0,397;Q2;36;13;48;562;21;48;0,47;43,23;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geology (Q2); Stratigraphy (Q2); Geochemistry and Petrology (Q3); Paleontology (Q3)"
4;24880;"South African Journal of Science";journal;"03708462, 00382353";0,390;Q1;61;141;417;1794;143;397;0,30;12,72;South Africa;Africa;"National Research Foundation";"1973-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
5;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,348;Q2;35;42;126;898;68;126;0,62;21,38;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
6;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,323;Q2;89;230;648;4731;391;647;0,58;20,57;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
7;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,312;Q2;39;38;137;1406;46;137;0,31;37,00;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
8;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,306;Q2;88;186;616;5529;438;615;0,72;29,73;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Medicine (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biophysics (Q3); Neuroscience (miscellaneous) (Q3); Biochemistry (Q4); Cell Biology (Q4); Immunology (Q4); Physiology (Q4)"
9;73135;"Ciencia del Suelo";journal;"03263169";0,296;Q3;18;19;52;378;13;52;0,24;19,89;Argentina;Latin America;"Asociacion Argentina de la Ciencia del Suelo";"1994-2020";"Soil Science (Q3)"
10;14594;"Social Work/Maatskaplike Werk";journal;"00378054";0,296;Q2;15;31;87;893;31;87;0,27;28,81;South Africa;Africa;"University of Stellenbosch";"1972-1978, 1994-2020";"Sociology and Political Science (Q2); Social Work (Q3)"
