Cibotium schiedei
Calea crocinervosa
Calea megacephala
Calea oaxacana
Carminatia alvarezii
Carminatia papagayana
Carphochaete durangensis
Carphochaete grahamii
Carphochaete macrocephala
Carphochaete pringlei
Carphochaete schaffneri
Carphochaete wislizeni
Centromadia perennis
Cirsium acantholepis
Cirsium acrolepis
Cirsium anartiolepis
Cirsium bicentenariale
Cirsium cernuum
Cirsium coahuilense
Cirsium conspicuum
Cirsium durangense
Cirsium ehrenbergii
Cirsium excelsius
Cirsium faucium
Cirsium imbricatum
Cirsium jorullense
Cirsium lappoides
Cirsium liebmannii
Cirsium lomatolepis
Cirsium nivale
Cirsium pascuarense
Cirsium pinetorum
Cirsium pringlei
Cirsium reglense
Cirsium rhaphilepis
Cirsium subuliforme
Cirsium tolucanum
Cirsium trachylomum
Cirsium velatum
Cirsium zamoranense
Conoclinium gonzlaeziae
Conoclinium mayfieldii
Conoclinium oligolepis
Conyza microcephala
Coreocarpus congregatus
Coreocarpus dissectus
Coreocarpus ixtapanus
Coreocarpus parthenioides
Coreocarpus sanpedroensis
Coreocarpus sonoranus
Coreopsis bolanosana
Coreopsis crawfordii
Coreopsis davilae
Coreopsis guanajuatensis
Coreopsis insularis
Coreopsis mcvaughii
Coreopsis oaxacensis
Coreopsis paludosa
Coreopsis petrophila
Coreopsis petrophiloides
Coreopsis pringlei
Coreopsis queretarensis
Coreopsis rhyacophila
Coreopsis rudis
Cosmos atrosanguineus
Cosmos carvifolius
Cosmos concolor
Cosmos deficiens
Cosmos intercedens
Cosmos jaliscensis
Cosmos juxtlahuacensis
Cosmos landii
Cosmos linearifolius
Cosmos longipetiolatus
Cosmos mattfeldii
Cosmos mcvaughii
Cosmos modestus
Cosmos montanus
Cosmos nelsonii
Cosmos nitidus
Cosmos ochroleucoflorus
Cosmos pacificus
Cosmos palmeri
Cosmos pringlei
Cosmos pseudoperfoliatus
Cosmos purpureus
Cosmos ramirezianus
Cosmos scabiosoides
Cosmos schaffneri
Cosmos sessilis
Cosmos sherffii
Coulterella capitata
Critonia conzattii
Critonia guerrerensis
Critonia lozanoana
Critonia paneroi
Critonia siltepecana
Critonia yashanalensis
Cymophora accedens
Cymophora hintonii
Cymophora luckowana
Cymophora pringlei
Chaenactis furcata
Chaetopappa plomoensis
Chaetopappa pulchella
Chaetymenia peduncularis
Chaptalia estribensis
Chaptalia hidalgoensis
Chaptalia hintonii
Chaptalia hololeuca
Chaptalia lyratifolia
Chaptalia pringlei
Chionolaena aecidiocephala
Chionolaena concinna
Chionolaena cryptocephala
Chionolaena durangensis
Chionolaena eleagnoides
Chionolaena lavandulifolia
Chionolaena macdonaldii
Chionolaena sartorii
Chromolaena breedlovei
Chromolaena guiengolense
Chromolaena haenkeana
Chromolaena misella
Chromolaena opadoclinia
Chromolaena ovaliflora
Chromolaena pulchella
Chromolaena sagittata
Chromolaena tamaulipasensis
Chromolepis heterophylla
Chrysactinia acerosa
Chrysactinia lehtoae
Chrysactinia luzmariae
Chrysactinia pinnata
Chrysactinia truncata
Chrysanthellum filiforme
Chrysanthellum involutum
Chrysanthellum keilii
Chrysanthellum michoacanum
Chrysanthellum perennans
Chrysanthellum pilzii
Chrysanthellum tamaulipense
Dahlia apiculata
Dahlia atropurpurea
Dahlia barkeriae
Dahlia brevis
Dahlia calzadana
Dahlia campanulata
Dahlia congestifolia
Dahlia cordifolia
Dahlia cuspidata
Dahlia dissecta
Dahlia foeniculifolia
Dahlia hintonii
Dahlia hjertingii
Dahlia linearis
Dahlia macdougallii
Dahlia merckii
Dahlia mixtecana
Dahlia mollis
Dahlia moorei
Dahlia neglecta
Dahlia parvibracteata
Dahlia pteropoda
Dahlia pugana
Dahlia purpusii
Dahlia rudis
Dahlia rupicola
Dahlia scapigera
Dahlia scapigeroides
Dahlia sherffii
Dahlia spectabilis
Dahlia sublignosa
Dahlia tamaulipana
Dahlia tenuicaulis
Dahlia tenuis
Dahlia tubulata
Dahlia wixarika
Damnxanthodium calvum
Davilanthus davilae
Davilanthus hidalgoanus
Davilanthus huajuapanus
Davilanthus hypargyreus
Davilanthus purpusii
Davilanthus sericeus
Davilanthus veracruzanus
Decachaeta haenkeana
Decachaeta ovandensis
Decachaeta ovatifolia
Decachaeta perornata
Decachaeta pyramidalis
Decachaeta scabrella
Decachaeta serboana
Deinandra greeneana
Deinandra martirensis
Deinandra palmeri
Deinandra streetsii
Dendroviguiera adenophylla
Dendroviguiera eriophora
Dendroviguiera guerrerana
Dendroviguiera insignis
Dendroviguiera mirandae
Dendroviguiera neocronquistii
Dendroviguiera oaxacana
Dendroviguiera pringlei
Dendroviguiera puruana
Dendroviguiera quinqueradiata
Dendroviguiera sharpiana
Dendroviguiera sphaerocephala
Dendroviguiera splendens
Desmanthodium fruticosum
Desmanthodium hintoniorum
Desmanthodium ovatum
Desmanthodium perfoliatum
Dicoria argentea
Digitacalia crypta
Digitacalia chiapensis
Digitacalia hintoniorum
Digitacalia jatrophoides
Digitacalia napeifolia
Dugesia mexicana
Dyscritothamnus filifolius
Dyscritothamnus mirandae
Dyssodia pinnata
Dyssodia tagetiflora
Electranthera cuneifolia
Electranthera parvifolia
Encelia asperifolia
Encelia densifolia
Encelia halimifolia
Encelia laciniata
Encelia palmeri
Encelia ravenii
Encelia stenophylla
Encelia ventorum
Eremosis autumnalis
Eremosis baadii
Eremosis barbinervis
Eremosis corymbosa
Eremosis feddemae
Eremosis foliosa
Eremosis littoralis
Eremosis macvaughii
Eremosis obtusa
Eremosis oolepis
Eremosis ovata
Eremosis pallens
Eremosis pugana
Eremosis solorzanoana
Eremosis steetzii
Eremosis tarchonanthifolia
Eremosis tomentosa
Eremosis villaregalis
Ericameria juarezensis
Ericameria martirensis
Erigeron annuactis
Erigeron astranthioides
Erigeron barbarensis
Erigeron basaseachensis
Erigeron basilobatus
Erigeron breweri
Erigeron caulinifolius
Erigeron cieloensis
Erigeron circulis
Erigeron coronarius
Erigeron coroniglandifer
Erigeron crenatus
Erigeron cuatrocienegensis
Erigeron chiangii
Erigeron dactyloides
Erigeron dryophyllus
Erigeron eruptens
Erigeron exilis
Erigeron forreri
Erigeron fraternus
Erigeron fundus
Erigeron galeottii
Erigeron griseus
Erigeron gypsoverus
Erigeron heleniae
Erigeron heteromorphus
Erigeron hintoniorum
Erigeron inoptatus
Erigeron janivultus
Erigeron jenkinsii
Erigeron lepidopodus
Erigeron macdonaldii
Erigeron mayoensis
Erigeron metrius
Erigeron mimus
Erigeron mohinorensis
Erigeron morelensis
Erigeron nacoriensis
Erigeron narcissus
Erigeron nitens
Erigeron oaxacanus
Erigeron onofrensis
Erigeron palmeri
Erigeron pattersonii
Erigeron pinkavii
Erigeron podophyllus
Erigeron polycephalus
Erigeron potosinus
Erigeron quiexobrensis
Erigeron rhizomactis
Erigeron scoparioides
Erigeron seemannii
Erigeron socorrensis
Erigeron stanfordii
Erigeron strigulosus
Erigeron subacaulis
Erigeron tephropodus
Erigeron turnerorum
Erigeron unguiphyllus
Erigeron velutipes
Erigeron veracruzensis
Erigeron vicinus
Erigeron wellsii
Erigeron wislizeni
Erigeron zacatensis
Eryngiophyllum pinnatisectum
Eryngiophyllum rosei
Eupatoriastrum corvi
Eupatoriastrum chlorostylum
Eupatoriastrum johnbeamanii
Eupatoriastrum pochutlanum
Eupatoriastrum triangulare
Euphrosyne partheniifolia
Eutetras palmeri
Eutetras pringlei
Faxonia pusilla
Flaveria angustifolia
Flaveria anomala
Flaveria cronquistii
Flaveria intermedia
Flaveria kochiana
Flaveria oppositifolia
Flaveria palmeri
Flaveria pringlei
Flaveria pubescens
Flaveria ramosissima
Flaveria robusta
Flaveria sonorensis
Flaveria vaginata
Fleischmannia gonzalezii
Fleischmannia holwayana
Fleischmannia porphyranthema
Fleischmannia purpusii
Fleischmannia sideritidis
Fleischmannia trinervia
Florestina liebmannii
Florestina lobata
Florestina platyphylla
Florestina purpurea
Florestina simplicifolia
Flourensia collodes
Flourensia dentata
Flourensia glutinosa
Flourensia ilicifolia
Flourensia laurifolia
Flourensia microphylla
Flourensia monticola
Flourensia pulcherrima
Flourensia resinosa
Flourensia retinophylla
Flourensia solitaria
Flyriella harrimanii
Flyriella leonensis
Flyriella stanfordii
Gaillardia candelaria
Gaillardia comosa
Gaillardia gypsophila
Gaillardia henricksonii
Gaillardia mexicana
Gaillardia powellii
Gaillardia turneri
Galinsoga crozierae
Galinsoga durangensis
Galinsoga longipes
Galinsoga mollis
Galinsoga spellenbergii
Galinsoga subdiscoidea
Galinsoga triradiata
Geissolepis suaedifolia
Gonzalezia decurrens
Gonzalezia hypargyrea
Gonzalezia rosei
Greenmaniella resinosa
Grindelia confusa
Grindelia greenmanii
Grindelia hintoniorum
Grindelia hirtella
Grindelia inuloides
Grindelia leptocarpa
Grindelia macvaughii
Grindelia nelsonii
Grindelia oaxacana
Grindelia obovatifolia
Grindelia oxylepis
Grindelia palmeri
Grindelia robinsonii
Grindelia subdecurrens
Grindelia sublanuginosa
Grindelia tricuspis
Grindelia turneri
Grindelia villarrealii
Guardiola arguta
Guardiola carinata
Guardiola mexicana
Guardiola odontophylla
Guardiola pappifera
Guardiola rosei
Guardiola rotundifolia
Guardiola stenodonta
Guardiola thompsonii
Guardiola tulocarpus
Gundlachia diffusa
Gundlachia truncata
Gutierrezia argyrocarpa
Gutierrezia conoidea
Gutierrezia dunalii
Gutierrezia grandis
Gutierrezia megalocephala
Gutierrezia ramulosa
Gutierrezia sericocarpa
Gymnolaena chiapasana
Gymnolaena oaxacana
Gymnolaena serratifolia
Haploesthes fruticosa
Haploesthes hintoniana
Haploesthes robusta
Hazardia berberidis
Hazardia enormidens
Hazardia ferrisiae
Hazardia odontolepis
Hazardia rosarica
Hazardia vernicosa
Helenium apterum
Helenium chihuahuensis
Helianthella ciliata
Helianthella durangensis
Helianthella gypsophila
Helianthella mexicana
Heliomeris obscura
Heliomeris serboana
Heliopsis annua
Heliopsis anomala
Heliopsis brachactis
Heliopsis filifolia
Heliopsis longipes
Heliopsis novogaliciana
Heliopsis parviceps
Heliopsis procumbens
Heliopsis sinaloensis
Heliopsis suffruticosa
Henricksonia mexicana
Heterosperma mexicanum
Heterotheca chihuahuana
Heterotheca gypsophila
Heterotheca inuloides
Heterotheca leptoglossa
Heterotheca martirensis
Heterotheca mexicana
Heterotheca mucronata
Heterotheca thiniicola
Hidalgoa pentamera
Hidalgoa uspanapa
Hieracium beamanii
Hieracium dysonymum
Hieracium gypsophilum
Hieracium herrerae
Hieracium hintonii
Hieracium macdonaldii
Hofmeisteria anomalochaeta
Hofmeisteria crassifolia
Hofmeisteria dissecta
Hofmeisteria fasciculata
Hofmeisteria filifolia
Hofmeisteria gayleana
Hofmeisteria malvifolia
Hofmeisteria mexiae
Hofmeisteria schaffneri
Hofmeisteria sinaloensis
Hofmeisteria standleyi
Hofmeisteria urenifolia
Hybridella anthemidifolia
Hybridella globosa
Hydropectis aquatica
Hydropectis estradii
Hydropectis stevensii
Hymenopappus flavomarginatus
Hymenopappus hintoniorum
Hymenostephium brandegei
Hymenostephium hintonii
Hymenostephium kingii
Hymenostephium superaxillare
Hymenostephium uniseriatum
Hymenostephium websteri
Hymenostephium woronowii
Hymenothrix greenmanii
Hymenothrix palmeri
Hymenoxys chrysanthemoides
Hymenoxys insignis
Hymenoxys pinetorum
Iostephane heterophylla
Iostephane madrensis
Iostephane trilobata
Isocoma gypsophila
Isocoma hartwegii
Isocoma tehuacana
Isocoma tomentosa
Isocoma veneta
Iva asperifolia
Jaegeria bellidiflora
Jaegeria glabra
Jaegeria macrocephala
Jaegeria pedunculata
Jaegeria purpurascens
Jaegeria robustior
Jaegeria sterilis
Jaliscoa goldmanii
Jaliscoa paleacea
Jaliscoa pringlei
Jefea gnaphalioides
Jefea lantanifolia
Jefea pringlei
Jungia pringlei
Koanophyllon coixtlahuacum
Koanophyllon concordianum
Koanophyllon galeana
Koanophyllon gracilicaule
Koanophyllon hintoniorum
Koanophyllon longifolium
Koanophyllon monanthum
Koanophyllon palmeri
Koanophyllon peninsulare
Koanophyllon pochutlana
Koanophyllon potosinum
Koanophyllon pseudoperfoliatum
Koanophyllon ravenii
Koanophyllon revealii
Koanophyllon reyrobinsonii
Koanophyllon rzedowskii
Koanophyllon sinaloense
Koanophyllon tripartitum
Kyrsteniopsis cymulifera
Kyrsteniopsis chiapasana
Kyrsteniopsis dibollii
Kyrsteniopsis eriocarpa
Kyrsteniopsis heathiae
Kyrsteniopsis nelsonii
Kyrsteniopsis spinaciifolia
Laennecia chihuahuana
Laennecia mapimiana
Laennecia microglossa
Laennecia pimana
Laennecia spellenbergii
Lagascea angustifolia
Lagascea aurea
Lagascea heteropappus
Lagascea palmeri
Lagascea rigida
Lasianthaea aurea
Lasianthaea beckeri
Lasianthaea ceanothifolia
Lasianthaea crocea
Lasianthaea gentryi
Lasianthaea helianthoides
Lasianthaea macrocephala
Lasianthaea machucana
Lasianthaea palmeri
Lasianthaea ritovegana
Lasianthaea rosei
Lasianthaea seemannii
Lasianthaea squarrosa
Lasianthaea zinnioides
Leibnitzia occimadrensis
Leiboldia guerreroana
Leiboldia serrata
Lepidaploa diazlunana
Lepidaploa koelzii
Lepidonia alba
Lepidonia callilepis
Lepidonia jonesii
Lepidonia mexicana
Lepidonia wendtiana
Leucactinia bracteata
Leucosyris crispa
Leucosyris turneri
Liabellum angustissimum
Liabellum cervinum
Liabellum gentryi
Liabellum hintoniorum
Liabellum palmeri
Loxothysanus pedunculatus
Loxothysanus sinuatus
Lundellianthus breedlovei
Lundellianthus jaliscensis
Macvaughiella mexicana
Malacothrix insularis
Malacothrix xanti
Marshalljohnstonia gypsophila
Medranoa johnstonii
Medranoa parrasana
Medranoa pseudobaccharis
Medranoa purpusii
Megaliabum pringlei
Melampodium argophyllum
Melampodium aureum
Melampodium cupulatum
Melampodium dicoelocarpum
Melampodium ellottianum
Melampodium glabribracteatum
Melampodium glabrum
Melampodium longifolium
Melampodium longipes
Melampodium mayfieldii
Melampodium mimulifolium
Melampodium nayaritense
Melampodium northingtonii
Melampodium nutans
Melampodium pilosum
Melampodium pringlei
Melampodium repens
Melampodium rosei
Melampodium sinaloense
Melampodium sinuatum
Melampodium tenellum
Melampodium tepicense
Mexerion mexicanum
Mexerion sarmentosum
Mexianthus mexicanus
Microspermum debile
Microspermum flaccidum
Microspermum gonzalezii
Microspermum gracillimum
Microspermum hintonii
Microspermum michoacanum
Microspermum nummulariifolium
Microspermum tenue
Mikania neei
Mikania pascualii
Mikania pooleana
Mikania tehuacanensis
Mixtecalia teitaensis
Montanoa andersonii
Montanoa bipinnatifida
Montanoa frutescens
Montanoa grandiflora
Montanoa imbricata
Montanoa karwinskii
Montanoa laskowskii
Montanoa liebmannii
Montanoa mollissima
Montanoa revealii
Montanoa serboana
Montanoa standleyi
Nahuatlea arborescens
Nahuatlea hiriartiana
Nahuatlea obtusata
Nahuatlea purpusii
Nahuatlea smithii
Nelsonianthus tapianus
Nesomia chiapensis
Neurolaena balsana
Neurolaena fulva
Neurolaena jannaweissana
Neurolaena lamina
Neurolaena macrocephala
Neurolaena oaxacana
Neurolaena venturana
Neurolaena wendtii
Nicolletia trifida
Oritrophium durangense
Oritrophium orizabense
Osbertia bartlettii
Oteiza acuminata
Oteiza mixtecana
Oteiza scandens
Otopappus acuminatus
Otopappus epaleaceus
Otopappus imbricatus
Otopappus koelzii
Otopappus mexicanus
Otopappus microcephalus
Otopappus robustus
Otopappus serboana
Otopappus tequilanus
Oxylobus coyulensis
Oxylobus oaxacanus
Oxylobus preecei
Oxylobus subglabrus
Oxypappus scaber
Packera bellidifolia
Packera candidissima
Packera coahuilensis
Packera hintoniorum
Packera loratifolia
Packera montereyana
Packera moranii
Packera quebradensis
Packera rosei
Packera sanguisorbae
Packera scalaris
Packera umbraculifera
Packera zimapanica
Palafoxia lindenii
Paneroa stachyofolia
Parthenium densipilum
Parthenium fruticosum
Parthenium lozanoanum
Parthenium rollinsianum
Parthenium schottii
Parthenium tomentosum
Pectis amplifolia
Pectis barberi
Pectis berlandieri
Pectis canescens
Pectis decemcarinata
Pectis depressa
Pectis diffusa
Pectis exilis
Pectis exserta
Pectis haenkeana
Pectis holochaeta
Pectis incisifolia
Pectis latisquama
Pectis leavenworthii
Pectis liebmannii
Pectis luckoviae
Pectis multiseta
Pectis pimana
Pectis pringlei
Pectis propetes
Pectis purpurea
Pectis repens
Pectis schaffneri
Pectis sinaloensis
Pectis stenophylla
Pectis vandevenderi
Pectis vollmeri
Pelucha trifida
Pentacalia guerrerensis
Pentacalia venturae
Pericome macrocephala
Perityle aurea
Perityle batopilensis
Perityle californica
Perityle canescens
Perityle carmenensis
Perityle castillonii
Perityle coahuilensis
Perityle cordifolia
Perityle crassifolia
Perityle cuneata
Perityle feddemae
Perityle gentryi
Perityle glaucescens
Perityle grandifolia
Perityle harkerae
Perityle hofmeisteria
Perityle incana
Perityle jaliscana
Perityle leptoglossa
Perityle lineariloba
Perityle lobata
Perityle microcephala
Perityle montana
Perityle palmeri
Perityle pennellii
Perityle reinana
Perityle rosei
Perityle scopulorum
Perityle socorrosensis
Perityle stevensii
Perityle trichodonta
Perityle turneri
Perityle vandevenderi
Perityle vigilans
Perymenium alticola
Perymenium arriagae
Perymenium asperifolium
Perymenium basaseachicanum
Perymenium beckeri
Perymenium berlandieri
Perymenium buphthalmoides
Perymenium cornutum
Perymenium cualense
Perymenium discolor
Perymenium episcopale
Perymenium fayi
Perymenium garciaruizii
Perymenium glandulosum
Perymenium globosum
Perymenium gypsophilum
Perymenium hintonii
Perymenium hintoniorum
Perymenium huentitanum
Perymenium ibarrarum
Perymenium jaliscense
Perymenium klattianum
Perymenium macrocephalum
Perymenium mendezii
Perymenium moctezumae
Perymenium oaxacanum
Perymenium ovalifolium
Perymenium ovatum
Perymenium oxycarphum
Perymenium paneroi
Perymenium pinetorum
Perymenium pringlei
Perymenium reticulatum
Perymenium rogmacvaughii
Perymenium sedasanum
Perymenium sonoranum
Perymenium sotoarenasii
Perymenium stenophyllum
Perymenium subsquarrosum
Perymenium tamaulipense
Perymenium tehuacanum
Perymenium uxoris
Perymenium wilburorum
Perymenium yanezii
Peteravenia malvifolia
Philactis fayi
Pinaropappus diguetii
Pinaropappus junceus
Pinaropappus mojadanus
Pinaropappus multicaulis
Pinaropappus pattersonii
Pinaropappus pooleanus
Pinaropappus powellii
Pippenalia delphinifolia
Piqueria glandulosa
Piqueria laxiflora
Piqueria pilosa
Piqueria serrata
Piqueria triflora
Pittocaulon bombycophole
Pittocaulon filare
Pittocaulon hintonii
Pittocaulon praecox
Plagiolophus millspaughii
Pleurocoronis gentryi
Pleurocoronis laphamioides
Pluchea mexicana
Pluchea parvifolia
Podachaenium chiapanum
Podachaenium chimalapanum
Porophyllum amplexicaule
Porophyllum calcicola
Porophyllum coloratum
Porophyllum filiforme
Porophyllum linaria
Porophyllum maritimum
Porophyllum pausodynum
Porophyllum pringlei
Porophyllum viridiflorum
Porophyllum warnockii
Porophyllum zimapanum
Psacaliopsis macdonaldii
Psacaliopsis paneroi
Psacaliopsis pinetorum
Psacaliopsis purpusii
Psacalium amplifolium
Psacalium amplum
Psacalium beamanii
Psacalium brachycomum
Psacalium calvum
Psacalium cervinum
Psacalium cirsiifolium
Psacalium cronquistiorum
Psacalium eriocarpum
Psacalium filicifolium
Psacalium globosum
Psacalium goldsmithii
Psacalium guerreroanum
Psacalium hintonii
Psacalium hintoniorum
Psacalium holwayanum
Psacalium latilobum
Psacalium laxiflorum
Psacalium matudae
Psacalium megaphyllum
Psacalium mollifolium
Psacalium multilobum
Psacalium nanum
Psacalium napellifolium
Psacalium nelsonii
Psacalium nephrophyllum
Psacalium pachyphyllum
Psacalium palmeri
Psacalium paucicapitatum
Psacalium peltatum
Psacalium peltigerum
Psacalium pentaflorum
Psacalium perezii
Psacalium platylepis
Psacalium poculiferum
Psacalium pringlei
Psacalium purpusii
Psacalium putlanum
Psacalium quercifolium
Psacalium radulifolium
Psacalium schillingii
Psacalium sharpii
Psacalium silphiifolium
Psacalium sinuatum
Psacalium tabulare
Psacalium tussilaginoides
Psacalium villosum
Psathyrotopsis hintoniorum
Psathyrotopsis purpusii
Pseudognaphalium altamiranum
Pseudognaphalium bourgovii
Pseudognaphalium conoideum
Pseudognaphalium crenatum
Pseudognaphalium chartaceum
Pseudognaphalium ehrenbergianum
Pseudognaphalium hintoniorum
Pseudognaphalium inornatum
Pseudognaphalium nubicola
Pseudognaphalium oaxacanum
Pseudognaphalium purpurascens
Pseudognaphalium semilanatum
Psilactis odysseus
Ratibida coahuilensis
Ratibida latipalearis
Ratibida mexicana
Robinsonecio porphyresthes
Roldana albonervia
Roldana anisophylla
Roldana calzadana
Roldana candicans
Roldana cordovensis
Roldana chapalensis
Roldana chiapensis
Roldana ehrenbergiana
Roldana elizondoarum
Roldana eriophylla
Roldana gentryi
Roldana gesneriifola
Roldana glinophylla
Roldana gonzaleziae
Roldana grimesii
Roldana guadalajarensis
Roldana hederifolia
Roldana heracleifolia
Roldana heteroidea
Roldana hintonii
Roldana hirsuticaulis
Roldana kerberi
Roldana langlassei
Roldana lobata
Roldana marquesii
Roldana mazatepecana
Roldana metepecus
Roldana mexicana
Roldana michoacana
Roldana mixtecana
Roldana neogibsonii
Roldana nesomiorum
Roldana oaxacana
Roldana pennellii
Roldana platanifolia
Roldana reticulata
Roldana robinsoniana
Roldana sartorii
Roldana sessilifolia
Roldana subcymosa
Roldana subpeltata
Roldana suffulta
Roldana sundbergii
Roldana tlacotepecana
Roldana uxordecora
Rumfordia alcortae
Rumfordia connata
Rumfordia exauriculata
Rumfordia floribunda
Rumfordia revealii
Sabazia elata
Sabazia glandulosa
Sabazia humilis
Sabazia lapsensis
Sabazia leavenworthii
Sabazia microspermoides
Sabazia multiradiata
Sabazia mullerae
Sabazia purpusii
Salmea oligocephala
Salmea palmeri
Sanrobertia gypsophila
Sanvitalia angustifolia
Sanvitalia fruticosa
Sartwellia gypsophila
Sartwellia mexicana
Sartwellia puberula
Sclerocarpus multifidus
Sclerocarpus papposus
Sclerocarpus sessilifolius
Sclerocarpus spatulatus
Schistocarpha bicolor
Schistocarpha calzadana
Schistocarpha liebmannii
Schistocarpha matudae
Schistocarpha pedicellata
Schkuhria schkuhrioides
Selloa plantaginea
Senecio alvarezensis
Senecio argutus
Senecio barkleyi
Senecio bartlettii
Senecio billieturneri
Senecio bracteatus
Senecio carnerensis
Senecio cedrosensis
Senecio cinerarioides
Senecio claryae
Senecio conzattii
Senecio chihuahuensis
Senecio deformis
Senecio durangensis
Senecio helodes
Senecio heterodontus
Senecio iodanthus
Senecio jacalensis
Senecio lasiocaulon
Senecio lithophilus
Senecio madrensis
Senecio martirensis
Senecio mohinorensis
Senecio mulgediifolius
Senecio orizabensis
Senecio palmeri
Senecio pattersonii
Senecio pinacatensis
Senecio platypus
Senecio polypodioides
Senecio powellii
Senecio prionopterus
Senecio procumbens
Senecio pseudopicridis
Senecio richardsonii
Senecio riomayensis
Senecio riskindii
Senecio roseus
Senecio runcinatus
Senecio sandersiana
Senecio sandersii
Senecio stoechadiformis
Senecio subauriculatus
Senecio viejoanus
Sidneya pinnatilobata
Sigesbeckia repens
Simsia annectens
Simsia benziorum
Simsia bicentenarialis
Simsia chaseae
Simsia eurylepis
Simsia ovata
Simsia rhombifolia
Simsia setosa
Simsia spooneri
Simsia sylvicola
Simsia tenuis
Simsia villasenorii
Sinclairia broomeae
Sinclairia deppeana
Sinclairia liebmannii
Sinclairia manriquei
Sinclairia moorei
Sinclairia sericolepis
Sinclairia similis
Sinclairiopsis ismaelis
Sinclairiopsis klattii
Smallanthus apus
Smallanthus mcvaughii
Smallanthus putlanus
Solidago durangensis
Solidago ericamerioides
Solidago gypsophila
Solidago hintoniorum
Solidago macvaughii
Solidago orientalis
Solidago paniculata
Sphaeromeria martirensis
Stachycephalum mexicanum
Stenocarpha filiformis
Stenocarpha ritovegana
Stenotus pulvinatus
Stephanodoria tomentella
Stephanomeria guadalupensis
Stephanomeria monocephala
Stevia amblyolepis
Stevia anadenotricha
Stevia aschenborniana
Stevia baccharifolia
Stevia berlandieri
Stevia burrana
Stevia caltepecana
Stevia calzadana
Stevia clinopodioides
Stevia coahuilensis
Stevia concordiana
Stevia constricta
Stevia cordifolia
Stevia crassifolia
Stevia cruzii
Stevia chiapensis
Stevia chilapensis
Stevia decumbens
Stevia dictyophylla
Stevia ecatepecana
Stevia enigmatica
Stevia ephemera
Stevia eupatoria
Stevia filodecaballoana
Stevia glandulosa
Stevia hintonii
Stevia hintoniorum
Stevia hypomalaca
Stevia iltisiana
Stevia isomeca
Stevia jaliscensis
Stevia karwinskyana
Stevia lasioclada
Stevia latifolia
Stevia liebmannii
Stevia lita
Stevia macvaughii
Stevia martinii
Stevia mascotensis
Stevia miahuatlana
Stevia micradenia
Stevia mitopoda
Stevia monardifolia
Stevia myricoides
Stevia nelsonii
Stevia neurophylla
Stevia oaxacana
Stevia occidentalis
Stevia oligophylla
Stevia origanoides
Stevia orizabensis
Stevia ovalis
Stevia palmeri
Stevia pelophila
Stevia perfoliata
Stevia phlebophylla
Stevia pilosa
Stevia porphyrea
Stevia porphyreoides
Stevia potosina
Stevia pratheri
Stevia puricana
Stevia purpusii
Stevia pyrolifolia
Stevia quiexobra
Stevia reinana
Stevia reticulata
Stevia revoluta
Stevia rosei
Stevia rotundifolia
Stevia rzedowskii
Stevia sahuaribana
Stevia scabrella
Stevia scabrelloides
Stevia schiblii
Stevia seemannioides
Stevia seleriana
Stevia serboana
Stevia stolonifera
Stevia strotheriana
Stevia subpubescens
Stevia talpensis
Stevia tephra
Stevia tomentosa
Stevia totalcoana
Stevia triangularis
Stevia trifida
Stevia urceolata
Stevia vacana
Stevia velutinella
Stevia vernicosa
Stevia viejoana
Stevia villaregalis
Stevia zacatecana
Stevia zaragozana
Stevia zephyrantha
Steviopsis adenosperma
Steviopsis amblyolepis
Steviopsis dryophila
Steviopsis nesomii
Steviopsis rapunculoides
Steviopsis vigintiseta
Stramentopappus congestiflorus
Stramentopappus pooleae
Strotheria gypsophila
Symphyotrichum carnerosanum
Symphyotrichum hintonii
Symphyotrichum potosinum
Symphyotrichum schaffneri
Tagetes arenicola
Tagetes coronopifolia
Tagetes epapposa
Tagetes hartwegii
Tagetes lacera
Tagetes linifolia
Tagetes lunulata
Tagetes moorei
Tagetes mulleri
Tagetes oaxacana
Tagetes palmeri
Tagetes parryi
Tagetes persicifolius
Tagetes pringlei
Tagetes stenophylla
Tehuana calzadae
Tehuasca magna
Telanthophora andrieuxii
Telanthophora liebmannii
Telanthophora standleyi
Tetrachyron brandegeei
Tetrachyron chimalapanum
Tetrachyron discolor
Tetrachyron grayi
Tetrachyron manicatum
Tetrachyron omissum
Tetrachyron torresii
Tetrachyron websteri
Thelesperma graminiformis
Thelesperma muelleri
Thelesperma scabridulum
Thelesperma shinnersii
Thelesperma subaequale
Thymophylla aurantiaca
Thymophylla gentryi
Thymophylla gypsophila
Thymophylla mutica
Thymophylla tenuifolia
Tithonia auriculata
Tithonia brachypappa
Tithonia calva
Tithonia fruticosa
Tithonia koelzii
Tithonia paneroi
Tithonia pedunculata
Tomentaurum niveum
Townsendia mexicana
Trichocoronis sessilifolia
Trichocoryne connata
Tridax balbisioides
Tridax bicolor
Tridax bilabiata
Tridax brachylepis
Tridax candidissima
Tridax coronopifolia
Tridax dubia
Tridax durangensis
Tridax erecta
Tridax hintoniorum
Tridax luisana
Tridax mexicana
Tridax moorei
Tridax oaxacana
Tridax obovata
Tridax palmeri
Tridax paneroi
Tridax petrophila
Tridax purpusii
Tridax rosea
Tridax serboana
Tridax tenuifolia
Tridax trilobata
Tridax yecorana
Trigonospermum adenostemmoides
