Cibotium schiedei
Dioon spinulosum
Dioon tomasellii
Dioon vovidesii
Zamia cremnophila
Zamia fischeri
Zamia furfuracea
Zamia inermis
Zamia katzeriana
Zamia lacandona
Zamia purpurea
Zamia soconuscensis
Zamia vazquezii
Zamia verschaffeltii
Ephedra compacta
Abies coahuilensis
Abies durangensis
Abies flinckii
Abies hidalgensis
Abies jaliscana
Abies vejarii
Picea chihuahuana
Pinus culminicola
Pinus douglasiana
Pinus durangensis
Pinus georginae
Pinus greggii
Pinus herrerae
Pinus jaliscana
Pinus lawsonii
Pinus lumholtzii
Pinus luzmariae
Pinus maximartinezii
Pinus nelsonii
Pinus pinceana
Pinus ponderosa
Pinus praetermissa
Pinus pringlei
Pinus radiata
Pinus rzedowskii
Pinus stylesii
Pinus vallartensis
Pinus yecorensis
Echinodorus virgatus
Sagittaria macrophylla
Anthurium berriozabalense
Anthurium cerrobaulense
Anthurium cerropelonense
Anthurium clarinervium
Anthurium coicoyanense
Anthurium cordatotriangulum
Anthurium chamulense
Anthurium chiapasense
Anthurium faustomirandae
Anthurium hagsaterianum
Anthurium halmoorei
Anthurium huautlense
Anthurium huixtlense
Anthurium ixtlanense
Anthurium joseanum
Anthurium leuconeurum
Anthurium lezamae
Anthurium longipeltatum
Anthurium luzense
Anthurium machetioides
Anthurium nakamurae
Anthurium nelsonii
Anthurium nizandense
Anthurium ocotepecense
Anthurium parvifolium
Anthurium podophyllum
Anthurium riograndicola
Anthurium rionegrense
Anthurium rzedowskii
Anthurium sarukhanianum
Anthurium subovatum
Anthurium umbrosum
Anthurium yetlense
Arisaema macrospathum
Monstera acacoyaguensis
Monstera florescanoana
Monstera guzmanjacobiae
Philodendron advena
Philodendron basii
Philodendron breedlovei
Philodendron dressleri
Philodendron escuintlense
Philodendron glanduliferum
Philodendron guadarramanum
Philodendron jodavisianum
Philodendron sousae
Philodendron subincisum
Spathiphyllum brevirostre
Spathiphyllum cochlearispathum
Spathiphyllum matudae
Spathiphyllum uxpanapense
Syngonium chiapense
Syngonium sagittatum
Syngonium tacotalpense
Xanthosoma kerberi
Xanthosoma mendozae
Xanthosoma obtusilobum
Xanthosoma yucatanense
Ruppia mexicana
Attalea guacuyule
Brahea aculeata
Brahea armata
Brahea berlandieri
Brahea brandegeei
Brahea decumbens
Brahea edulis
Brahea elegans
Brahea moorei
Brahea pimo
Brahea roezlii
Brahea sarukhanii
Coccothrinax readii
Cryosophila nana
Chamaedorea alternans
Chamaedorea atrovirens
Chamaedorea cataractarum
Chamaedorea glaucifolia
Chamaedorea hooperiana
Chamaedorea ibarrae
Chamaedorea karwinskyana
Chamaedorea klotzschiana
Chamaedorea metallica
Chamaedorea microspadix
Chamaedorea monostachys
Chamaedorea oreophila
Chamaedorea plumosa
Chamaedorea pochutlensis
Chamaedorea pringlei
Chamaedorea queroana
Chamaedorea radicalis
Chamaedorea rhizomatosa
Chamaedorea rigida
Gaussia gomez-pompae
Sabal gretherae
Sabal pumos
Sabal rosei
Sabal uresana
Allium eurotophilum
Allium fantasmosense
Allium hintoniorum
Allium huntiae
Allium mannii
Allium melliferum
Allium mexicanum
Allium michoacanum
Allium ownbeyi
Allium potosiense
Allium pueblanum
Allium stoloniferum
Allium telaponense
Allium traubii
Chlidanthus ehrenbergii
Diphalangium graminifolium
Habranthus arenicola
Habranthus concolor
Habranthus conzattii
Habranthus chichimeca
Habranthus howardii
Habranthus immaculatus
Habranthus medinae
Habranthus mexicanus
Habranthus tepicensis
Habranthus vittatus
Hymenocallis acutifolia
Hymenocallis araniflora
Hymenocallis astrostephana
Hymenocallis azteciana
Hymenocallis baumlii
Hymenocallis cleo
Hymenocallis clivorum
Hymenocallis concinna
Hymenocallis cordifolia
Hymenocallis durangensis
Hymenocallis eucharidifolia
Hymenocallis glauca
Hymenocallis graminifolia
Hymenocallis guerreroensis
Hymenocallis harrisiana
Hymenocallis howardii
Hymenocallis imperialis
Hymenocallis jaliscensis
Hymenocallis leavenworthii
Hymenocallis lehmilleri
Hymenocallis longibracteata
Hymenocallis maximillianii
Hymenocallis partita
Hymenocallis phalangidis
Hymenocallis pimana
Hymenocallis portamonetensis
Hymenocallis proterantha
Hymenocallis pumila
Hymenocallis sonorensis
Hymenocallis vasconcelosii
Hymenocallis woelfleana
Sprekelia formosissima
Sprekelia howardii
Zephyranthes bella
Zephyranthes clintiae
Zephyranthes crociflora
Zephyranthes dichromantha
Zephyranthes fosteri
Zephyranthes katheriniae
Zephyranthes latissimifolia
Zephyranthes leucantha
Zephyranthes lilacina
Zephyranthes macrosiphon
Zephyranthes minuta
Zephyranthes miradorensis
Zephyranthes moctezumae
Zephyranthes morrisclintii
Zephyranthes nelsonii
Zephyranthes nymphaea
Zephyranthes orellanae
Zephyranthes primulina
Zephyranthes reginae
Zephyranthes sessilis
Zephyranthes stellatorosea
Zephyranthes subflava
Agave abisaii
Agave aktites
Agave albicans
Agave albomarginata
Agave albopilosa
Agave andreae
Agave angustiarum
Agave applanata
Agave arcedianoensis
Agave asperrima
Agave atrovirens
Agave attenuata
Agave aurea
Agave avellanidens
Agave bovicornuta
Agave bracteosa
Agave breedlovei
Agave calciphila
Agave calodonta
Agave capensis
Agave celsii
Agave cerulata
Agave colimana
Agave colorata
Agave collina
Agave congesta
Agave cupreata
Agave chazaroi
Agave chiapensis
Agave chrysoglossa
Agave datylio
Agave difformis
Agave doctorensis
Agave durangensis
Agave ellemeetiana
Agave ensifera
Agave felgeri
Agave filifera
Agave flexispina
Agave fortiflora
Agave franzosinii
Agave funkiana
Agave garciae-mendozae
Agave geminiflora
Agave gentryi
Agave gigantensis
Agave gilbertii
Agave gomezpompae
Agave gracielae
Agave grijalvensis
Agave guadalajarana
Agave guiengola
Agave gypsicola
Agave gypsophila
Agave hookeri
Agave horrida
Agave impressa
Agave inaequidens
Agave isthmensis
Agave jaiboli
Agave jimenoi
Agave karwinskii
Agave kavandivi
Agave kerchovei
Agave kewensis
Agave kirchneriana
Agave kristenii
Agave lexii
Agave lurida
Agave lyobaa
Agave macrantha
Agave macroacantha
Agave macroculmis
Agave manantlanicola
Agave mapisaga
Agave margaritae
Agave maria-patriciae
Agave marmorata
Agave maximiliana
Agave megalodonta
Agave microceps
Agave mitis
Agave montana
Agave montium-sancticaroli
Agave moranii
Agave multifilifera
Agave muxii
Agave nayaritensis
Agave nickelsii
Agave nizandensis
Agave nussaviorum
Agave obscura
Agave ocahui
Agave ornithobroma
Agave oroensis
Agave ovatifolia
Agave pablocarrilloi
Agave parrasana
Agave peacockii
Agave pedunculifera
Agave pelona
Agave pendula
Agave petrophila
Agave pintilla
Agave polianthiflora
Agave polyacantha
Agave potatorum
Agave potrerana
Agave promontorii
Agave pygmaea
Agave qiotepecensis
Agave quilae
Agave rhodacantha
Agave rzedowskiana
Agave salmiana
Agave scaposa
Agave schidigera
Agave schneideriana
Agave sebastiana
Agave shrevei
Agave sobria
Agave striata
Agave stricta
Agave stringens
Agave subsimplex
Agave temacapulinensis
Agave tenuifolia
Agave tequilana
Agave titanota
Agave triangularis
Agave turneri
Agave valenciana
Agave vazquezgarciae
Agave victoriae-reginae
Agave vilmoriniana
Agave vizcainoensis
Agave warelliana
Agave wendtii
Agave wocomahi
Agave x madrensis
Agave xylonacantha
Agave yuccifolia
Agave zebra
Anthericum ciliatum
Anthericum humboldtii
Beaucarnea compacta
Beaucarnea glassiana
Beaucarnea goldmanii
Beaucarnea gracilis
Beaucarnea hiriartiae
Beaucarnea hookeri
Beaucarnea inermis
Beaucarnea olsonii
Beaucarnea purpusii
Beaucarnea recurvata
Beaucarnea sanctomariana
Beaucarnea stricta
Beschorneria calcicola
Beschorneria rigida
Beschorneria septentrionalis
Beschorneria tubiflora
Beschorneria wrightii
Beschorneria yuccoides
Bessera elegans
Bessera tenuiflora
Bessera tuitensis
Dandya balsensis
Dandya hannibalii
Dandya purpusii
Dandya thadhowardii
Dasylirion acrotrichum
Dasylirion berlandieri
Dasylirion cedrosanum
Dasylirion gentryi
Dasylirion glaucophyllum
Dasylirion graminifolium
Dasylirion longissimum
Dasylirion longistylum
Dasylirion lucidum
Dasylirion micropterum
Dasylirion miquihuanense
Dasylirion occidentalis
Dasylirion palaciosii
Dasylirion palmeri
Dasylirion parryanum
Dasylirion quadrangulatum
Dasylirion sereke
Dasylirion serratifolium
Dasylirion simplex
Dasylirion stewartii
Dasylirion treleasei
Echeandia albiflora
Echeandia atoyacana
Echeandia attenuata
Echeandia breedlovei
Echeandia campechiana
Echeandia coalcomanensis
Echeandia confertiflora
Echeandia conzattii
Echeandia crudeniana
Echeandia chiapensis
Echeandia drepanoides
Echeandia durangensis
Echeandia elegans
Echeandia falcata
Echeandia flexuosa
Echeandia formosa
Echeandia gentryi
Echeandia gracilis
Echeandia grandiflora
Echeandia hallbergii
Echeandia hintonii
Echeandia hirticaulis
Echeandia imbricata
Echeandia jaliscensis
Echeandia longifolia
Echeandia llanicola
Echeandia macrophylla
Echeandia magnifica
Echeandia mcvaughii
Echeandia mexiae
Echeandia mexicana
Echeandia michoacensis
Echeandia mirandae
Echeandia montealbanensis
Echeandia nana
Echeandia nayaritensis
Echeandia novogaliciana
Echeandia oaxacana
Echeandia occidentalis
Echeandia palmeri
Echeandia paniculata
Echeandia parva
Echeandia parvicapsulata
Echeandia pihuamensis
Echeandia platyphylla
Echeandia pseudopetiolata
Echeandia pseudoreflexa
Echeandia ramosissima
Echeandia robusta
Echeandia sanmiguelensis
Echeandia scabrella
Echeandia sinaloensis
Echeandia smithii
Echeandia tamaulipensis
Echeandia taxacana
Echeandia tenuifolia
Echeandia tenuis
Echeandia udipratensis
Echeandia vaginata
Furcraea cahum
Furcraea elegans
Furcraea flavo-viridis
Furcraea guerrerensis
Furcraea macdougallii
Furcraea martinezii
Furcraea niquivilensis
Furcraea parmentieri
Furcraea undulata
Hemiphylacus alatostylus
Hemiphylacus hintoniorum
Hemiphylacus latifolius
Hemiphylacus mahindae
Hemiphylacus novogalicianus
Hesperaloe campanulata
Hesperaloe chiangii
Hesperaloe malacophylla
Hesperaloe nocturna
Hesperaloe tenuifolia
Hesperoyucca peninsularis
Jaimehintonia gypsophila
Maianthemum comaltepecense
Maianthemum macrophyllum
Maianthemum mexicanum
Manfreda arceliensis
Manfreda brunnea
Manfreda bulbulifera
Manfreda chamelensis
Manfreda elongata
Manfreda galvaniae
Manfreda guerrerensis
Manfreda guttata
Manfreda hauniensis
Manfreda involuta
Manfreda jaliscana
Manfreda justosierrana
Manfreda littoralis
Manfreda longibracteata
Manfreda maculata
Manfreda malinaltenangensis
Manfreda nanchititlensis
Manfreda paniculata
Manfreda parva
Manfreda petskinil
Manfreda planifolia
Manfreda potosina
Manfreda pringlei
Manfreda pubescens
Manfreda revoluta
Manfreda rubescens
Manfreda singuliflora
Manfreda umbrophila
Manfreda verhoekiae
Milla bryantii
Milla delicata
Milla filifolia
Milla magnifica
Milla mexicana
Milla mortoniana
Milla oaxacana
Milla potosina
Milla rosea
Milla valliflora
Nolina azureogladiata
Nolina beldingii
Nolina caxcana
Nolina cespitifera
Nolina durangensis
Nolina excelsa
Nolina hibernica
Nolina humilis
Nolina juncea
Nolina matapensis
Nolina nelsonii
Nolina orbicularis
Nolina palmeri
Nolina parviflora
Nolina pumila
Nolina rigida
Nolina robusta
Nolina rodriguezii
Nolina watsoni
Petronymphe decora
Petronymphe rara
Polianthes alboaustralis
Polianthes bicolor
Polianthes cernua
Polianthes densiflora
Polianthes elongata
Polianthes geminiflora
Polianthes howardii
Polianthes longiflora
Polianthes montana
Polianthes multicolor
Polianthes nelsonii
Polianthes oaxacana
Polianthes palustris
Polianthes platyphylla
Polianthes pringlei
Polianthes sessiliflora
Polianthes venustiliflora
Polianthes zapopanensis
Prochnyanthes mexicana
Triteleia guadalupensis
Yucca capensis
Yucca coahuilensis
Yucca decipiens
Yucca declinata
Yucca desmetiana
Yucca endlichiana
Yucca filifera
Yucca grandiflora
Yucca jaliscensis
Yucca lacandonica
Yucca linearifolia
Yucca madrensis
Yucca mixtecana
Yucca periculosa
Yucca pinicola
Yucca potosina
Yucca queretaroensis
Yucca rigida
Yucca valida
Hypoxis colliculata
Hypoxis lucens
Hypoxis pulchella
Hypoxis tepicensis
Ainea conzattii
Alophia intermedia
Alophia veracruzana
Colima convoluta
Colima tuitensis
Cypella mexicana
Cypella rosei
Fosteria oaxacana
Nemastylis versicolor
Sisyrinchium abietum
Sisyrinchium alatum
Sisyrinchium angustissimum
Sisyrinchium arguellesiae
Sisyrinchium bracteatum
Sisyrinchium conzattii
Sisyrinchium coulterianum
Sisyrinchium cholewae
Sisyrinchium guanajuatense
Sisyrinchium hintoniorum
Sisyrinchium longispathum
Sisyrinchium macrophyllum
Sisyrinchium microbracteatum
Sisyrinchium novoleonense
Sisyrinchium parvum
Sisyrinchium planicola
Sisyrinchium platyphyllum
Sisyrinchium polycladon
Sisyrinchium pringlei
Sisyrinchium quadrangulatum
Sisyrinchium schaffneri
Sisyrinchium serrulatum
Sisyrinchium tolucense
Sisyrinchium translucens
Tigridia alpestris
Tigridia amatlanensis
Tigridia augusta
Tigridia bicolor
Tigridia catarinensis
Tigridia citrina
Tigridia coerulea
Tigridia chiapensis
Tigridia chrysantha
Tigridia dugesii
Tigridia durangense
Tigridia ehrenbergii
Tigridia estelae
Tigridia flammea
Tigridia fosteri
Tigridia galanthoides
Tigridia gracielae
Tigridia hallbergii
Tigridia heliantha
Tigridia hintonii
Tigridia huajuapanensis
Tigridia illecebrosa
Tigridia inusitata
Tigridia longispatha
Tigridia mariaetrinitatis
Tigridia martinezii
Tigridia matudae
Tigridia mexicana
Tigridia mortonii
Tigridia multiflora
Tigridia potosina
Tigridia pugana
Tigridia pulchella
Tigridia purpusii
Tigridia rzedowskiana
Tigridia seleriana
Tigridia suarezii
Tigridia tepoxtlana
Tigridia tuitensis
Tigridia vanhouttei
Tigridia venusta
Trimezia sobolifera
Acianthera chrysantha
Acianthera eximia
Acianthera greenwoodii
Acianthera hartwegiifolia
Acianthera majakoluckae
Acianthera obscura
Acianthera pollardiana
Acianthera sotoana
Acianthera unguicallosa
Acineta barkeri
Acineta hagsateri
Alamania punicea
Amoana kienastii
Amoana latipetala
Anathallis greenwoodii
Anathallis involuta
Anathallis oblanceolata
Arpophyllum giganteum
Arpophyllum laxiflorum
Arpophyllum medium
Arpophyllum spicatum
Artorima erubescens
Aulosepalum nelsonii
Aulosepalum oestlundii
Aulosepalum ramentaceum
Aulosepalum riodelayense
Aulosepalum tenuiflorum
Barkeria barkeriola
Barkeria dorotheae
Barkeria fritz-halbingeriana
Barkeria melanocaulon
Barkeria naevosa
Barkeria palmeri
Barkeria scandens
Barkeria shoemakeri
Barkeria skinneri
Barkeria spectabilis
Barkeria vanneriana
Barkeria whartoniana
Beloglottis mexicana
Bletia adenocarpa
Bletia amabilis
Bletia coccinea
Bletia concolor
Bletia ensifolia
Bletia greenmaniana
Bletia greenwoodiana
Bletia lilacina
Bletia macristhmochila
Bletia mixtecana
Bletia neglecta
Bletia nelsonii
Bletia parkinsonii
Bletia punctata
Bletia riparia
Bletia santosii
Bletia similis
Bletia urbana
Bletia villae
Bletia warfordiana
Bletia x tamayoana
Brachystele luzmariana
Brachystele tamayoana
Brassavola venosa
Brassia maculata
Brassia signata
Bulbophyllum cirrhosum
Bulbophyllum nagelii
Campylocentrum schiedei
Catasetum laminatum
Catasetum pendulum
Clowesia dodsoniana
Clowesia glaucoglossa
Clowesia thylaciochila
Cochleanthes flabelliformis
Coelia bella
Coelia triptera
Corallorhiza bulbosa
Corymborkis forcipigera
Cranichis ciliilabia
Cranichis cochleata
Cranichis hieroglyphica
Cranichis subumbellata
Cuitlauzina dubia
Cuitlauzina pendula
Cuitlauzina pygmaea
Cyclopogon luteo-albus
Cyclopogon pringlei
Cyclopogon saccatus
Cypripedium dickinsonianum
Chysis addita
Chysis bractescens
Chysis laevis
Chysis limminghei
Deiregyne albovaginata
Deiregyne callifera
Deiregyne chartacea
Deiregyne densiflora
Deiregyne diaphana
Deiregyne falcata
Deiregyne nonantzin
Deiregyne pandurata
Deiregyne pseudopyramidalis
Deiregyne rhombilabia
Deiregyne tenorioi
Deiregyne velata
Dichaea glauca
Dichaea intermedia
Dichaea neglecta
Dichaea trichocarpa
Dichromanthus yucundaa
Domingoa kienastii
Dryadella greenwoodiana
Elleanthus teotepecensis
Encyclia adenocaula
Encyclia asperula
Encyclia atrorubens
Encyclia calderoniae
Encyclia candollei
Encyclia contrerasii
Encyclia chiapasensis
Encyclia diota
Encyclia dressleri
Encyclia flabellata
Encyclia halbingeriana
Encyclia hanburyi
Encyclia huertae
Encyclia lorata
Encyclia meliosma
Encyclia microbulbon
Encyclia nizandensis
Encyclia oestlundii
Encyclia papillosa
Encyclia parviflora
Encyclia pollardiana
Encyclia rzedowskiana
Encyclia selligera
Encyclia spatella
Encyclia suaveolens
Encyclia trachycarpa
Encyclia tuerckheimii
Encyclia uxpanapensis
Epidendrum alabastrialatum
Epidendrum anisatum
Epidendrum atroscriptum
Epidendrum camposii
Epidendrum cardiochilum
Epidendrum cilioccidentale
Epidendrum citrosmum
Epidendrum costatum
Epidendrum cusii
Epidendrum cystosum
Epidendrum diffusum
Epidendrum dorsocarinatum
Epidendrum dressleri
Epidendrum erectifolium
Epidendrum examinis
Epidendrum falcatum
Epidendrum galeottianum
Epidendrum gasteriferum
Epidendrum gomezii
Epidendrum gonzalez-tamayoi
Epidendrum guerrerense
Epidendrum hagsateri
Epidendrum hueycantenangense
Epidendrum ibarrae
Epidendrum juergensenii
Epidendrum lignosum
Epidendrum longicaule
Epidendrum longipetalum
Epidendrum lowilliamsii
Epidendrum macdougallii
Epidendrum macroclinium
Epidendrum magnificum
Epidendrum marmoratum
Epidendrum martinezii
Epidendrum matudae
Epidendrum melistagoides
Epidendrum miserum
Epidendrum mixtecanum
Epidendrum mixtum
Epidendrum mocinnoi
Epidendrum motozintlensis
Epidendrum neogaliciense
Epidendrum oaxacanum
Epidendrum pastranae
Epidendrum pollardii
Epidendrum propinquum
Epidendrum pseudoramosum
Epidendrum rosilloi
Epidendrum rowleyi
Epidendrum singuliflorum
Epidendrum succulentum
Epidendrum tacanaense
Epidendrum tortipetalum
Epidendrum tuxtlense
Epidendrum vandifolium
Erycina echinata
Erycina hyalinobulbon
Fernandezia mexicana
Funkiella laxispica
Funkiella markowskiana
Galeandra greenwoodiana
Galeoglossum cactorum
Galeoglossum thysanochilum
Gongora galeata
Gongora galeottiana
Gongora unicolor
Goodyera dolabripetala
Goodyera fimbrilabia
Goodyera purpusii
Goodyera zacuapanensis
Govenia alba
Govenia bella
Govenia capitata
Govenia dressleriana
Govenia jouyana
Govenia pauciflora
Govenia praecox
Govenia rubellilabia
Govenia tequilana
Greenwoodiella micrantha
Habenaria acalcarata
Habenaria agapitae
Habenaria agrestis
Habenaria aguirrei
Habenaria atrata
Habenaria brevilabiata
Habenaria calicis
Habenaria carvajaliana
Habenaria castroi
Habenaria cortesii
Habenaria cuevasiana
Habenaria felipensis
Habenaria filifera
Habenaria flexuosa
Habenaria gonzaleztamayoi
Habenaria horaliae
Habenaria ibarrae
Habenaria ixtlanensis
Habenaria jaliscana
Habenaria jardeliana
Habenaria karinae
Habenaria leon-ibarrae
Habenaria lizbethae
Habenaria luzmariana
Habenaria macvaughiana
Habenaria mariae
Habenaria matudae
Habenaria micheliana
Habenaria mitodes
Habenaria nogeriana
Habenaria oreophila
Habenaria ortiziana
Habenaria pinzonii
Habenaria pseudofilifera
Habenaria rosilloana
Habenaria rosulifolia
Habenaria ruizii
Habenaria rzedowskiana
Habenaria rzedowskii
Habenaria schaffneri
Habenaria sebastianensis
Habenaria socorroae
Habenaria szlachetkoana
Habenaria talaensis
Habenaria tamazulensis
Habenaria tequilana
Habenaria uncata
Habenaria virens
Habenaria xochitlae
Habenaria zamudioana
Hagsatera brachycolumna
Hagsatera rosilloi
Helleriella guerrerensis
Hexalectris brevicaulis
Hexalectris fallax
Hexalectris parviflora
Hintonella mexicana
Homalopetalum pachyphyllum
Homalopetalum pumilum
Isochilus aurantiacus
Isochilus bracteatus
Isochilus langlassei
Isochilus latibracteatus
Isochilus oaxacanus
Isochilus unilateralis
Jacquiniella cernua
Kionophyton sawyeri
Kraenzlinella hintonii
Kreodanthus secundus
Lacaena bicolor
Laelia albida
Laelia aurea
Laelia autumnalis
Laelia crawshayana
Laelia eyermaniana
Laelia furfuracea
Laelia gouldiana
Laelia halbingeriana
Laelia speciosa
Laelia x meavei
Laelia x oaxacana
Leochilus crocodiliceps
Leochilus johnstonii
Leochilus leiboldii
Leochilus oncidioides
Lepanthes ancylopetala
Lepanthes aprica
Lepanthes attenuata
Lepanthes avis
Lepanthes brachystele
Lepanthes breedlovei
Lepanthes calopetala
Lepanthes camposii
Lepanthes catlingii
Lepanthes cryptostele
Lepanthes chiangii
Lepanthes erythroxantha
Lepanthes gabriellae
Lepanthes galeottiana
Lepanthes greenwoodii
Lepanthes guerrerensis
Lepanthes hagsateri
Lepanthes machorroi
Lepanthes maldonadoae
Lepanthes mariae
Lepanthes martinezii
Lepanthes matudana
Lepanthes maxima
Lepanthes mazatlanensis
Lepanthes minima
Lepanthes mixe
Lepanthes moorei
Lepanthes motozintlensis
Lepanthes nagelii
Lepanthes oaxacana
Lepanthes oreophila
Lepanthes papilionacea
Lepanthes pollardii
Lepanthes rekoi
Lepanthes schiedei
